# Subtracting SN=    5.64406e+01.
#        k         Pk_0_HI
   0.03175     1.63349e+04
   0.04446     1.19022e+04
   0.05670     9.88903e+03
   0.06913     8.41887e+03
   0.08163     6.96506e+03
   0.09394     5.45619e+03
   0.10633     4.41092e+03
   0.11897     3.95867e+03
   0.13156     3.66364e+03
   0.14405     3.16394e+03
   0.15655     2.66723e+03
   0.16903     2.37115e+03
   0.18145     2.14104e+03
   0.19391     1.99399e+03
   0.20638     1.81073e+03
   0.21880     1.59947e+03
   0.23135     1.48293e+03
   0.24388     1.36216e+03
   0.25638     1.27778e+03
   0.26888     1.17632e+03
   0.28133     1.10222e+03
   0.29385     1.01641e+03
   0.30628     9.62501e+02
   0.31877     8.93466e+02
   0.33129     8.41080e+02
   0.34378     7.98062e+02
   0.35632     7.48642e+02
   0.36883     7.09287e+02
   0.38133     6.73590e+02
   0.39379     6.38992e+02
   0.40628     6.12630e+02
   0.41878     5.78807e+02
   0.43132     5.47192e+02
   0.44381     5.22382e+02
   0.45630     5.01993e+02
   0.46880     4.83076e+02
   0.48130     4.59085e+02
   0.49379     4.41651e+02
   0.50627     4.20820e+02
   0.51878     4.01118e+02
   0.53128     3.89910e+02
   0.54381     3.73085e+02
   0.55628     3.59322e+02
   0.56880     3.45203e+02
   0.58132     3.30778e+02
   0.59381     3.21522e+02
   0.60631     3.09999e+02
   0.61879     2.99422e+02
   0.63131     2.88641e+02
   0.64381     2.79465e+02
   0.65629     2.68216e+02
   0.66878     2.60117e+02
   0.68130     2.51444e+02
   0.69382     2.42920e+02
   0.70631     2.34444e+02
   0.71877     2.28788e+02
   0.73127     2.20588e+02
   0.74379     2.12983e+02
   0.75629     2.06272e+02
   0.76880     1.99821e+02
   0.78130     1.94868e+02
   0.79378     1.88187e+02
   0.80630     1.82371e+02
   0.81880     1.76895e+02
   0.83127     1.71106e+02
   0.84379     1.65803e+02
   0.85630     1.60964e+02
   0.86879     1.57251e+02
   0.88128     1.52022e+02
   0.89378     1.47030e+02
   0.90628     1.42437e+02
   0.91879     1.38077e+02
   0.93128     1.33764e+02
   0.94378     1.30536e+02
   0.95630     1.26819e+02
   0.96878     1.23554e+02
   0.98127     1.19331e+02
   0.99376     1.16044e+02
   1.00625     1.12135e+02
   1.01876     1.08926e+02
   1.03128     1.05859e+02
   1.04378     1.03383e+02
   1.05626     9.96115e+01
   1.06878     9.67361e+01
   1.08130     9.37752e+01
   1.09378     9.07556e+01
   1.10628     8.81516e+01
   1.11877     8.54643e+01
   1.13126     8.28201e+01
   1.14378     8.00204e+01
   1.15629     7.80194e+01
   1.16880     7.54281e+01
   1.18130     7.28050e+01
   1.19378     7.05824e+01
   1.20627     6.85797e+01
   1.21876     6.61923e+01
   1.23127     6.44605e+01
   1.24378     6.16909e+01
   1.25626     5.97417e+01
   1.26874     5.81621e+01
   1.28126     5.56057e+01
   1.29376     5.39859e+01
   1.30627     5.23411e+01
   1.31878     5.04615e+01
   1.33127     4.87416e+01
   1.34376     4.69279e+01
   1.35626     4.51657e+01
   1.36877     4.35507e+01
   1.38126     4.20306e+01
   1.39377     4.01799e+01
   1.40626     3.86328e+01
   1.41876     3.72923e+01
   1.43128     3.55418e+01
   1.44376     3.40588e+01
   1.45626     3.25918e+01
   1.46878     3.13986e+01
   1.48127     2.98361e+01
   1.49375     2.85164e+01
   1.50627     2.74941e+01
   1.51879     2.57251e+01
   1.53128     2.45693e+01
   1.54377     2.33256e+01
   1.55627     2.20663e+01
   1.56876     2.08936e+01
   1.58126     1.96869e+01
   1.59377     1.84451e+01
   1.60627     1.73609e+01
   1.61877     1.61921e+01
   1.63126     1.52498e+01
   1.64377     1.40592e+01
