# Redshift space power spectrum multipoles.
# Subtracting SN=    6.53145e+01 from monopole.
#        k              P0              P2              P4
   0.05000     1.13408e+04     6.50213e+03     9.06546e+01
   0.07000     8.75207e+03     4.80924e+03     1.86139e+01
   0.09000     6.18934e+03     3.54927e+03     6.48775e+02
   0.11000     4.43544e+03     2.34225e+03     6.14852e+01
   0.13000     3.78608e+03     2.12870e+03     1.33560e+02
   0.15000     3.00728e+03     1.66944e+03     1.27499e+02
   0.17000     2.42128e+03     1.46032e+03     2.39259e+02
   0.19000     2.08233e+03     1.18756e+03     1.43183e+02
   0.21000     1.76310e+03     1.01307e+03     6.97920e+01
   0.23000     1.50486e+03     9.12597e+02     1.15442e+02
   0.25000     1.32964e+03     8.00739e+02     1.07045e+02
   0.27000     1.17031e+03     7.06496e+02     8.04305e+01
   0.29000     1.03615e+03     6.34691e+02     6.93178e+01
   0.31000     9.29772e+02     5.75144e+02     6.95026e+01
   0.33000     8.31651e+02     4.98143e+02     6.59705e+01
   0.35000     7.57155e+02     4.74329e+02     6.38332e+01
   0.37000     6.89038e+02     4.27054e+02     6.23239e+01
   0.39000     6.22460e+02     3.72640e+02     5.87260e+01
   0.41000     5.74675e+02     3.58027e+02     5.89762e+01
   0.43000     5.28054e+02     3.33672e+02     5.33479e+01
   0.45000     4.85113e+02     3.03130e+02     4.49791e+01
   0.47000     4.49736e+02     2.74887e+02     5.06992e+01
   0.49000     4.18182e+02     2.65183e+02     4.97896e+01
   0.51000     3.84743e+02     2.36689e+02     3.90642e+01
   0.53000     3.59852e+02     2.20118e+02     2.85494e+01
   0.55000     3.34043e+02     2.10329e+02     3.97806e+01
   0.57000     3.12200e+02     1.95436e+02     3.36369e+01
   0.59000     2.90562e+02     1.77429e+02     2.88163e+01
   0.61000     2.73165e+02     1.67906e+02     2.74939e+01
   0.63000     2.57028e+02     1.57286e+02     2.80032e+01
   0.65000     2.40706e+02     1.45908e+02     3.02951e+01
   0.67000     2.25652e+02     1.35170e+02     2.32622e+01
   0.69000     2.11559e+02     1.24598e+02     1.90658e+01
   0.71000     2.00329e+02     1.19253e+02     2.14245e+01
   0.73000     1.88346e+02     1.08596e+02     1.93429e+01
   0.75000     1.77931e+02     1.06243e+02     1.94303e+01
   0.77000     1.67178e+02     9.83846e+01     2.03127e+01
   0.79000     1.57808e+02     9.05968e+01     1.81066e+01
   0.81000     1.48936e+02     8.43320e+01     1.62759e+01
