#        k       b1_x       b1_a            Pkmm
   0.00920    2.00840    2.00512     2.72347e+03
   0.01534    1.99327    1.99056     3.23948e+03
   0.02148    2.00052    1.99768     3.13032e+03
   0.02761    2.00273    1.99983     2.79432e+03
   0.03375    2.00767    2.00419     2.39084e+03
   0.03988    2.00429    2.00038     2.03007e+03
   0.04602    2.00390    1.99945     1.76826e+03
   0.05216    2.00933    2.00441     1.58291e+03
   0.05829    2.01030    2.00525     1.48388e+03
   0.06443    2.00695    2.00139     1.36054e+03
   0.07056    2.00838    2.00273     1.28442e+03
   0.07670    2.01237    2.00618     1.15574e+03
   0.08283    2.01384    2.00704     1.03314e+03
   0.08897    2.01653    2.00877     9.02176e+02
   0.09511    2.01537    2.00668     7.96644e+02
   0.10124    2.02344    2.01369     7.19930e+02
   0.10738    2.01933    2.00870     6.55444e+02
   0.11351    2.02273    2.01145     6.14307e+02
   0.11965    2.02414    2.01247     5.83267e+02
   0.12579    2.02806    2.01587     5.65027e+02
   0.13192    2.03567    2.02291     5.36613e+02
   0.13806    2.03330    2.01958     4.96095e+02
   0.14419    2.03862    2.02406     4.64689e+02
   0.15033    2.03742    2.02117     4.20799e+02
   0.15647    2.03993    2.02251     3.86733e+02
   0.16260    2.04395    2.02477     3.56815e+02
   0.16874    2.04795    2.02772     3.39942e+02
   0.17487    2.04932    2.02799     3.19971e+02
   0.18101    2.04793    2.02525     3.04447e+02
   0.18715    2.05368    2.03052     2.95193e+02
   0.19328    2.05559    2.03156     2.87436e+02
   0.19942    2.05351    2.02790     2.69340e+02
   0.20555    2.05928    2.03207     2.53662e+02
   0.21169    2.06152    2.03244     2.40735e+02
   0.21783    2.06577    2.03489     2.27161e+02
   0.22396    2.06827    2.03472     2.10079e+02
   0.23010    2.07335    2.03888     2.04726e+02
   0.23623    2.07652    2.04050     1.95126e+02
   0.24237    2.07390    2.03553     1.85256e+02
   0.24850    2.07976    2.04088     1.82078e+02
   0.25464    2.08167    2.04083     1.75836e+02
   0.26078    2.08359    2.04090     1.67805e+02
   0.26691    2.08473    2.04016     1.60617e+02
   0.27305    2.09012    2.04328     1.54102e+02
   0.27918    2.09354    2.04473     1.49035e+02
   0.28532    2.09404    2.04303     1.43551e+02
   0.29146    2.09783    2.04411     1.36135e+02
   0.29759    2.10080    2.04483     1.30764e+02
   0.30373    2.10456    2.04678     1.26616e+02
   0.30986    2.10660    2.04682     1.23231e+02
   0.31600    2.10669    2.04406     1.18806e+02
   0.32214    2.11064    2.04637     1.15758e+02
   0.32827    2.11025    2.04329     1.11463e+02
   0.33441    2.11606    2.04701     1.07539e+02
   0.34054    2.11809    2.04600     1.03971e+02
   0.34668    2.12184    2.04833     1.01199e+02
   0.35282    2.12429    2.04641     9.70364e+01
   0.35895    2.12710    2.04731     9.45878e+01
   0.36509    2.12799    2.04475     9.13914e+01
   0.37122    2.13079    2.04649     9.07370e+01
   0.37736    2.13631    2.04867     8.73098e+01
   0.38350    2.13840    2.04693     8.35624e+01
   0.38963    2.13757    2.04363     8.16469e+01
   0.39577    2.14246    2.04653     8.04278e+01
   0.40190    2.14360    2.04476     7.80065e+01
   0.40804    2.14883    2.04755     7.64039e+01
   0.41417    2.14786    2.04192     7.32242e+01
   0.42031    2.15186    2.04374     7.20278e+01
   0.42645    2.15721    2.04527     6.96923e+01
   0.43258    2.15596    2.03887     6.67281e+01
   0.43872    2.15708    2.03913     6.65134e+01
   0.44485    2.15903    2.03686     6.46489e+01
   0.45099    2.16202    2.03720     6.33038e+01
   0.45713    2.16455    2.03645     6.15782e+01
   0.46326    2.16664    2.03605     6.06852e+01
   0.46940    2.16960    2.03613     5.93969e+01
   0.47553    2.17224    2.03467     5.78752e+01
   0.48167    2.17437    2.03294     5.65474e+01
