# Subtracting SN=    8.70597e+00.
#        k         Pk_0_HI
   0.03175     9.80155e+03
   0.04446     7.16306e+03
   0.05670     5.93863e+03
   0.06913     5.07273e+03
   0.08163     4.17547e+03
   0.09394     3.27518e+03
   0.10633     2.64793e+03
   0.11897     2.37320e+03
   0.13156     2.19089e+03
   0.14405     1.88715e+03
   0.15655     1.58300e+03
   0.16903     1.39362e+03
   0.18145     1.25915e+03
   0.19391     1.17287e+03
   0.20638     1.06486e+03
   0.21880     9.35009e+02
   0.23135     8.57148e+02
   0.24388     7.87811e+02
   0.25638     7.38155e+02
   0.26888     6.80275e+02
   0.28133     6.30380e+02
   0.29385     5.81131e+02
   0.30628     5.46622e+02
   0.31877     5.10363e+02
   0.33129     4.78419e+02
   0.34378     4.50492e+02
   0.35632     4.21272e+02
   0.36883     3.99353e+02
   0.38133     3.79195e+02
   0.39379     3.59293e+02
   0.40628     3.42401e+02
   0.41878     3.23321e+02
   0.43132     3.04442e+02
   0.44381     2.90789e+02
   0.45630     2.79000e+02
   0.46880     2.67564e+02
   0.48130     2.53700e+02
   0.49379     2.44422e+02
   0.50627     2.33325e+02
   0.51878     2.22142e+02
   0.53128     2.15372e+02
   0.54381     2.06066e+02
   0.55628     1.98961e+02
   0.56880     1.90130e+02
   0.58132     1.83350e+02
   0.59381     1.77128e+02
   0.60631     1.71329e+02
   0.61879     1.65300e+02
   0.63131     1.59691e+02
   0.64381     1.54590e+02
   0.65629     1.48742e+02
   0.66878     1.44015e+02
   0.68130     1.39654e+02
   0.69382     1.34758e+02
   0.70631     1.30552e+02
   0.71877     1.26654e+02
   0.73127     1.23189e+02
   0.74379     1.19256e+02
   0.75629     1.15606e+02
   0.76880     1.12114e+02
   0.78130     1.09450e+02
   0.79378     1.05952e+02
   0.80630     1.02895e+02
   0.81880     1.00298e+02
   0.83127     9.72993e+01
   0.84379     9.43952e+01
   0.85630     9.19378e+01
   0.86879     8.99607e+01
   0.88128     8.73408e+01
   0.89378     8.48381e+01
   0.90628     8.25452e+01
   0.91879     8.03350e+01
   0.93128     7.83702e+01
   0.94378     7.64348e+01
   0.95630     7.44780e+01
   0.96878     7.29178e+01
   0.98127     7.07277e+01
   0.99376     6.90564e+01
   1.00625     6.74653e+01
   1.01876     6.53911e+01
