# Redshift space power spectrum multipoles.
# Subtracting SN=    8.96569e+00 from monopole.
#        k              P0              P2              P4
   0.05000     6.33642e+03     2.33947e+03     2.74023e+01
   0.07000     4.91128e+03     1.80319e+03    -8.64792e+01
   0.09000     3.46862e+03     1.30336e+03     2.52795e+02
   0.11000     2.51029e+03     8.81587e+02    -3.74199e+01
   0.13000     2.15790e+03     8.09272e+02     1.82428e+01
   0.15000     1.70592e+03     6.38382e+02     3.00697e+01
   0.17000     1.35616e+03     5.34491e+02     7.73137e+01
   0.19000     1.17404e+03     4.49659e+02     3.52625e+01
   0.21000     1.00388e+03     3.98891e+02     4.37221e+00
   0.23000     8.44762e+02     3.53489e+02     3.72473e+01
   0.25000     7.48765e+02     3.11854e+02     3.45484e+01
   0.27000     6.60759e+02     2.69081e+02     1.21991e+01
   0.29000     5.82891e+02     2.47734e+02     1.74118e+01
   0.31000     5.22836e+02     2.24772e+02     2.02018e+01
   0.33000     4.70078e+02     2.04301e+02     1.90306e+01
   0.35000     4.25437e+02     1.86437e+02     1.66464e+01
   0.37000     3.89358e+02     1.69587e+02     1.13488e+01
   0.39000     3.55483e+02     1.59047e+02     2.46225e+01
   0.41000     3.27136e+02     1.53680e+02     2.28269e+01
   0.43000     3.00104e+02     1.40633e+02     1.41679e+01
   0.45000     2.77191e+02     1.32480e+02     1.26316e+01
   0.47000     2.59019e+02     1.23810e+02     1.70153e+01
   0.49000     2.40313e+02     1.18500e+02     1.28551e+01
   0.51000     2.23252e+02     1.12277e+02     1.63090e+01
   0.53000     2.09463e+02     1.05031e+02     1.26471e+01
   0.55000     1.96978e+02     1.00797e+02     1.37064e+01
   0.57000     1.84183e+02     9.51606e+01     1.38906e+01
   0.59000     1.73467e+02     8.92559e+01     1.07528e+01
   0.61000     1.64536e+02     8.66437e+01     1.12108e+01
   0.63000     1.55152e+02     8.21259e+01     1.25781e+01
   0.65000     1.46678e+02     7.88315e+01     1.35355e+01
