#        k       b1_x       b1_a            Pkmm
   0.00920    3.48441    3.49491     9.39010e+02
   0.01534    3.42855    3.43948     1.11625e+03
   0.02148    3.45417    3.46567     1.08551e+03
   0.02761    3.47104    3.48555     9.66807e+02
   0.03375    3.49113    3.50367     8.24689e+02
   0.03988    3.48864    3.50626     7.01905e+02
   0.04602    3.46009    3.48022     6.11826e+02
   0.05216    3.49380    3.51650     5.48666e+02
   0.05829    3.49885    3.52290     5.11632e+02
   0.06443    3.46826    3.49089     4.72421e+02
   0.07056    3.47123    3.49942     4.42941e+02
   0.07670    3.49449    3.52514     3.99648e+02
   0.08283    3.48276    3.51808     3.56110e+02
   0.08897    3.49148    3.53147     3.12478e+02
   0.09511    3.47641    3.51795     2.75447e+02
   0.10124    3.51039    3.55833     2.47748e+02
   0.10738    3.48232    3.53126     2.26111e+02
   0.11351    3.50201    3.55297     2.12286e+02
   0.11965    3.50457    3.55859     2.01776e+02
   0.12579    3.51034    3.56517     1.94517e+02
   0.13192    3.54175    3.59858     1.84477e+02
   0.13806    3.52230    3.58363     1.71064e+02
   0.14419    3.53978    3.60533     1.58745e+02
   0.15033    3.53492    3.60458     1.44233e+02
   0.15647    3.52963    3.60588     1.31868e+02
   0.16260    3.54419    3.62444     1.21522e+02
   0.16874    3.55233    3.63489     1.14794e+02
   0.17487    3.55087    3.63858     1.08428e+02
   0.18101    3.53152    3.62026     1.03516e+02
   0.18715    3.54757    3.63812     1.00283e+02
   0.19328    3.55944    3.65260     9.71092e+01
   0.19942    3.55563    3.65310     9.14698e+01
   0.20555    3.57108    3.67200     8.60457e+01
   0.21169    3.57346    3.67667     8.11761e+01
   0.21783    3.58251    3.68977     7.61321e+01
   0.22396    3.58201    3.69273     7.06956e+01
   0.23010    3.59839    3.71352     6.80269e+01
   0.23623    3.59946    3.72046     6.47919e+01
   0.24237    3.59126    3.71400     6.20319e+01
   0.24850    3.60531    3.72713     6.04557e+01
   0.25464    3.60595    3.73063     5.82194e+01
   0.26078    3.61632    3.74651     5.57764e+01
   0.26691    3.60304    3.73476     5.33442e+01
   0.27305    3.62586    3.75951     5.10701e+01
   0.27918    3.63786    3.77113     4.88594e+01
   0.28532    3.63992    3.77345     4.68494e+01
   0.29146    3.65199    3.79649     4.44908e+01
   0.29759    3.64408    3.79173     4.26221e+01
   0.30373    3.66341    3.81188     4.12003e+01
   0.30986    3.66659    3.81892     3.99105e+01
   0.31600    3.66035    3.81146     3.85855e+01
   0.32214    3.67590    3.82398     3.74830e+01
   0.32827    3.66086    3.81709     3.60424e+01
   0.33441    3.67909    3.83746     3.47624e+01
   0.34054    3.68067    3.84202     3.34409e+01
   0.34668    3.69604    3.86416     3.23915e+01
   0.35282    3.69956    3.86277     3.10780e+01
   0.35895    3.70982    3.87738     3.00924e+01
   0.36509    3.70798    3.87636     2.91453e+01
   0.37122    3.72082    3.88925     2.85838e+01
   0.37736    3.73615    3.90578     2.75463e+01
   0.38350    3.73510    3.91201     2.64536e+01
   0.38963    3.73119    3.90827     2.58584e+01
   0.39577    3.74334    3.91761     2.52377e+01
   0.40190    3.74707    3.92830     2.44137e+01
   0.40804    3.75692    3.93835     2.37835e+01
   0.41417    3.74324    3.93035     2.28408e+01
   0.42031    3.76579    3.94920     2.23605e+01
   0.42645    3.77281    3.95716     2.15887e+01
   0.43258    3.75934    3.95140     2.07574e+01
   0.43872    3.77137    3.95717     2.05192e+01
   0.44485    3.77350    3.96122     1.99129e+01
   0.45099    3.78667    3.97328     1.94352e+01
   0.45713    3.78379    3.97826     1.88566e+01
   0.46326    3.79331    3.98354     1.84810e+01
   0.46940    3.80660    3.99490     1.81073e+01
   0.47553    3.80666    3.99935     1.75208e+01
   0.48167    3.81495    4.00886     1.70396e+01
   0.48781    3.81596    4.00712     1.66931e+01
   0.49394    3.82937    4.02136     1.62493e+01
   0.50008    3.82452    4.02178     1.57473e+01
   0.50621    3.82792    4.02568     1.54896e+01
   0.51235    3.83294    4.02736     1.49968e+01
   0.51849    3.83559    4.03225     1.47213e+01
