# Subtracting SN=    3.06250e+01.
#        k         Pk_0_HI
   0.03175     1.27614e+04
   0.04446     9.29220e+03
   0.05670     7.68327e+03
   0.06913     6.55091e+03
   0.08163     5.39787e+03
   0.09394     4.21728e+03
   0.10633     3.39520e+03
   0.11897     3.03337e+03
   0.13156     2.78589e+03
   0.14405     2.40663e+03
   0.15655     2.02102e+03
   0.16903     1.79347e+03
   0.18145     1.61712e+03
   0.19391     1.49709e+03
   0.20638     1.34744e+03
   0.21880     1.19265e+03
   0.23135     1.09857e+03
   0.24388     1.00853e+03
   0.25638     9.40231e+02
   0.26888     8.64272e+02
   0.28133     8.06929e+02
   0.29385     7.39417e+02
   0.30628     6.98345e+02
   0.31877     6.46997e+02
   0.33129     6.06695e+02
   0.34378     5.73703e+02
   0.35632     5.35417e+02
   0.36883     5.07084e+02
   0.38133     4.77616e+02
   0.39379     4.52311e+02
   0.40628     4.32354e+02
   0.41878     4.06943e+02
   0.43132     3.85146e+02
   0.44381     3.66479e+02
   0.45630     3.50099e+02
   0.46880     3.35930e+02
   0.48130     3.18914e+02
   0.49379     3.05709e+02
   0.50627     2.90437e+02
   0.51878     2.76543e+02
   0.53128     2.66966e+02
   0.54381     2.55146e+02
   0.55628     2.44678e+02
   0.56880     2.34756e+02
   0.58132     2.24131e+02
   0.59381     2.17696e+02
   0.60631     2.08683e+02
   0.61879     2.01164e+02
   0.63131     1.93598e+02
   0.64381     1.86637e+02
   0.65629     1.79000e+02
   0.66878     1.72834e+02
   0.68130     1.66711e+02
   0.69382     1.60372e+02
   0.70631     1.54912e+02
   0.71877     1.50741e+02
   0.73127     1.44430e+02
   0.74379     1.39544e+02
   0.75629     1.34968e+02
   0.76880     1.30267e+02
   0.78130     1.26512e+02
   0.79378     1.21863e+02
   0.80630     1.17982e+02
   0.81880     1.14119e+02
   0.83127     1.10052e+02
   0.84379     1.06369e+02
   0.85630     1.03002e+02
   0.86879     1.00372e+02
   0.88128     9.66724e+01
   0.89378     9.36103e+01
   0.90628     9.01223e+01
   0.91879     8.75433e+01
   0.93128     8.45310e+01
   0.94378     8.20916e+01
   0.95630     7.94859e+01
   0.96878     7.73071e+01
   0.98127     7.45634e+01
   0.99376     7.23189e+01
   1.00625     6.97804e+01
   1.01876     6.77557e+01
   1.03128     6.54356e+01
   1.04378     6.37488e+01
   1.05626     6.15108e+01
   1.06878     5.95015e+01
   1.08130     5.76597e+01
   1.09378     5.57107e+01
   1.10628     5.38406e+01
   1.11877     5.20092e+01
   1.13126     5.04404e+01
   1.14378     4.87854e+01
   1.15629     4.73588e+01
   1.16880     4.56388e+01
   1.18130     4.40314e+01
   1.19378     4.26302e+01
   1.20627     4.11854e+01
   1.21876     3.97210e+01
   1.23127     3.85355e+01
   1.24378     3.69768e+01
   1.25626     3.57085e+01
   1.26874     3.46935e+01
   1.28126     3.30027e+01
   1.29376     3.19791e+01
   1.30627     3.08711e+01
   1.31878     2.98600e+01
   1.33127     2.87378e+01
   1.34376     2.76024e+01
   1.35626     2.65368e+01
   1.36877     2.55630e+01
   1.38126     2.44944e+01
   1.39377     2.35829e+01
   1.40626     2.25216e+01
   1.41876     2.16771e+01
   1.43128     2.06605e+01
   1.44376     1.97496e+01
   1.45626     1.88701e+01
   1.46878     1.81173e+01
   1.48127     1.71982e+01
   1.49375     1.63708e+01
   1.50627     1.57846e+01
   1.51879     1.48078e+01
   1.53128     1.40487e+01
   1.54377     1.33524e+01
   1.55627     1.25552e+01
   1.56876     1.18098e+01
   1.58126     1.11462e+01
   1.59377     1.04443e+01
   1.60627     9.83096e+00
   1.61877     9.15472e+00
   1.63126     8.51909e+00
   1.64377     7.89187e+00
   1.65627     7.25692e+00
   1.66875     6.67698e+00
   1.68125     6.06834e+00
   1.69375     5.49830e+00
   1.70626     4.93521e+00
   1.71876     4.35915e+00
   1.73127     3.82141e+00
   1.74377     3.20555e+00
   1.75628     2.69835e+00
   1.76876     2.21987e+00
   1.78125     1.70087e+00
   1.79375     1.20272e+00
   1.80627     7.33411e-01
   1.81877     2.68706e-01
   1.83126    -2.35818e-01
   1.84377    -6.83997e-01
   1.85627    -1.09863e+00
   1.86877    -1.53532e+00
   1.88127    -2.02294e+00
   1.89376    -2.47148e+00
   1.90627    -2.86092e+00
   1.91877    -3.22149e+00
   1.93127    -3.68733e+00
   1.94377    -4.05340e+00
   1.95627    -4.45914e+00
   1.96877    -4.84504e+00
   1.98126    -5.21599e+00
   1.99375    -5.56505e+00
   2.00625    -5.88910e+00
   2.01875    -6.33046e+00
   2.03126    -6.65137e+00
   2.04377    -7.02398e+00
   2.05627    -7.34640e+00
   2.06876    -7.67531e+00
   2.08126    -7.96085e+00
   2.09376    -8.31615e+00
   2.10626    -8.61556e+00
   2.11877    -8.91510e+00
   2.13126    -9.23419e+00
   2.14377    -9.55262e+00
   2.15626    -9.84228e+00
   2.16875    -1.00995e+01
   2.18126    -1.04005e+01
   2.19376    -1.06924e+01
   2.20626    -1.09114e+01
   2.21876    -1.12118e+01
   2.23126    -1.14753e+01
   2.24376    -1.17326e+01
   2.25626    -1.19922e+01
   2.26876    -1.22533e+01
   2.28127    -1.24916e+01
   2.29377    -1.27446e+01
   2.30626    -1.29766e+01
   2.31876    -1.31939e+01
   2.33127    -1.34243e+01
   2.34377    -1.36601e+01
   2.35626    -1.39035e+01
   2.36877    -1.40945e+01
   2.38126    -1.43165e+01
   2.39375    -1.45263e+01
   2.40626    -1.47291e+01
   2.41875    -1.49336e+01
   2.43125    -1.51500e+01
   2.44376    -1.53478e+01
   2.45626    -1.55265e+01
   2.46877    -1.57375e+01
   2.48127    -1.59219e+01
   2.49376    -1.61227e+01
   2.50625    -1.62746e+01
   2.51875    -1.64723e+01
   2.53126    -1.66412e+01
   2.54376    -1.68111e+01
   2.55626    -1.70100e+01
   2.56876    -1.71576e+01
   2.58126    -1.73195e+01
   2.59377    -1.74622e+01
   2.60626    -1.76322e+01
   2.61876    -1.77985e+01
   2.63126    -1.79508e+01
   2.64376    -1.81064e+01
   2.65626    -1.82399e+01
   2.66876    -1.84005e+01
   2.68126    -1.85380e+01
   2.69376    -1.86838e+01
   2.70626    -1.88100e+01
   2.71876    -1.89536e+01
   2.73126    -1.90840e+01
   2.74376    -1.92218e+01
   2.75626    -1.93487e+01
   2.76877    -1.94753e+01
   2.78127    -1.96084e+01
   2.79377    -1.97406e+01
   2.80626    -1.98428e+01
   2.81875    -1.99602e+01
   2.83126    -2.00791e+01
   2.84377    -2.01940e+01
   2.85627    -2.02972e+01
   2.86876    -2.04102e+01
   2.88127    -2.05246e+01
   2.89377    -2.06193e+01
   2.90626    -2.07218e+01
   2.91876    -2.08285e+01
   2.93126    -2.09282e+01
   2.94376    -2.10276e+01
   2.95626    -2.11196e+01
   2.96876    -2.12011e+01
   2.98126    -2.13010e+01
   2.99376    -2.13935e+01
   3.00625    -2.14907e+01
   3.01875    -2.15671e+01
   3.03125    -2.16543e+01
   3.04376    -2.17344e+01
   3.05626    -2.18202e+01
   3.06876    -2.18968e+01
   3.08126    -2.19806e+01
   3.09376    -2.20492e+01
   3.10626    -2.21231e+01
   3.11876    -2.22047e+01
   3.13126    -2.22730e+01
