# Redshift space power spectrum multipoles.
# Subtracting SN=    2.25926e+01 from monopole.
#        k              P0              P2              P4
   0.05000     8.17669e+03     3.13007e+03     2.56966e+01
   0.07000     6.33595e+03     2.40762e+03    -1.01738e+02
   0.09000     4.48193e+03     1.74571e+03     3.31394e+02
   0.11000     3.24512e+03     1.17547e+03    -5.00484e+01
   0.13000     2.79542e+03     1.08924e+03     2.64899e+01
   0.15000     2.21725e+03     8.63721e+02     4.32524e+01
   0.17000     1.77043e+03     7.34061e+02     1.08479e+02
   0.19000     1.53277e+03     6.15329e+02     5.26123e+01
   0.21000     1.31340e+03     5.45934e+02     7.09142e+00
   0.23000     1.11205e+03     4.91739e+02     5.88139e+01
   0.25000     9.86681e+02     4.34025e+02     5.01774e+01
   0.27000     8.71962e+02     3.74954e+02     2.14381e+01
   0.29000     7.72922e+02     3.47601e+02     2.74881e+01
   0.31000     6.94793e+02     3.16941e+02     2.89539e+01
   0.33000     6.25522e+02     2.87633e+02     2.80112e+01
   0.35000     5.68253e+02     2.66550e+02     2.67274e+01
   0.37000     5.20946e+02     2.42248e+02     1.99919e+01
   0.39000     4.76004e+02     2.26204e+02     3.58344e+01
   0.41000     4.39478e+02     2.20039e+02     3.34096e+01
   0.43000     4.04176e+02     2.03005e+02     2.38635e+01
   0.45000     3.73480e+02     1.90770e+02     1.97814e+01
   0.47000     3.50076e+02     1.79319e+02     2.77678e+01
   0.49000     3.25267e+02     1.71644e+02     2.04014e+01
   0.51000     3.02052e+02     1.62747e+02     2.46136e+01
   0.53000     2.83959e+02     1.52589e+02     1.98269e+01
   0.55000     2.67201e+02     1.47282e+02     2.21120e+01
   0.57000     2.50017e+02     1.38980e+02     2.31613e+01
   0.59000     2.35753e+02     1.31256e+02     1.80250e+01
   0.61000     2.23626e+02     1.25957e+02     1.71627e+01
   0.63000     2.11125e+02     1.20256e+02     1.95715e+01
   0.65000     1.99521e+02     1.14483e+02     2.01229e+01
   0.67000     1.89446e+02     1.11979e+02     1.83059e+01
   0.69000     1.79267e+02     1.04629e+02     1.52298e+01
   0.71000     1.69964e+02     1.00334e+02     1.62836e+01
   0.73000     1.62513e+02     9.80899e+01     1.73457e+01
   0.75000     1.54054e+02     9.14666e+01     1.24515e+01
   0.77000     1.46587e+02     8.85983e+01     1.41103e+01
   0.79000     1.40453e+02     8.72637e+01     1.66537e+01
   0.81000     1.33790e+02     8.14067e+01     1.49033e+01
   0.83000     1.27344e+02     7.96218e+01     1.34265e+01
   0.85000     1.21537e+02     7.65122e+01     1.38490e+01
   0.87000     1.16574e+02     7.32644e+01     1.45150e+01
   0.89000     1.11159e+02     7.00888e+01     1.34645e+01
   0.91000     1.06163e+02     6.83718e+01     1.24012e+01
   0.93000     1.01292e+02     6.49945e+01     1.29689e+01
   0.95000     9.74549e+01     6.38716e+01     1.36437e+01
   0.97000     9.32646e+01     6.11170e+01     1.27818e+01
   0.99000     8.94008e+01     5.85223e+01     1.17547e+01
   1.01000     8.54045e+01     5.66380e+01     1.09487e+01
   1.03000     8.18239e+01     5.42246e+01     1.07837e+01
