#        k       b1_x       b1_a            Pkmm
   0.00920    2.13453    2.13019     2.72347e+03
   0.01534    2.11313    2.10962     3.23948e+03
   0.02148    2.12077    2.11720     3.13032e+03
   0.02761    2.12562    2.12197     2.79432e+03
   0.03375    2.13254    2.12791     2.39084e+03
   0.03988    2.13074    2.12579     2.03007e+03
   0.04602    2.12585    2.12021     1.76826e+03
   0.05216    2.13584    2.12969     1.58291e+03
   0.05829    2.13829    2.13193     1.48388e+03
   0.06443    2.12899    2.12179     1.36054e+03
   0.07056    2.13145    2.12445     1.28442e+03
   0.07670    2.13987    2.13217     1.15574e+03
   0.08283    2.13971    2.13141     1.03314e+03
   0.08897    2.14339    2.13385     9.02176e+02
   0.09511    2.13956    2.12868     7.96644e+02
   0.10124    2.15388    2.14188     7.19930e+02
   0.10738    2.14619    2.13281     6.55444e+02
   0.11351    2.15241    2.13815     6.14307e+02
   0.11965    2.15383    2.13916     5.83267e+02
   0.12579    2.15875    2.14324     5.65027e+02
   0.13192    2.17160    2.15550     5.36613e+02
   0.13806    2.16574    2.14842     4.96094e+02
   0.14419    2.17458    2.15633     4.64689e+02
   0.15033    2.17339    2.15277     4.20799e+02
   0.15647    2.17538    2.15313     3.86733e+02
   0.16260    2.18164    2.15710     3.56815e+02
   0.16874    2.18722    2.16138     3.39942e+02
   0.17487    2.18940    2.16210     3.19971e+02
   0.18101    2.18430    2.15497     3.04447e+02
   0.18715    2.19362    2.16362     2.95193e+02
   0.19328    2.19697    2.16597     2.87436e+02
   0.19942    2.19517    2.16211     2.69340e+02
   0.20555    2.20426    2.16907     2.53662e+02
   0.21169    2.20523    2.16736     2.40735e+02
   0.21783    2.21252    2.17204     2.27161e+02
   0.22396    2.21471    2.17030     2.10079e+02
   0.23010    2.22326    2.17789     2.04726e+02
   0.23623    2.22600    2.17875     1.95126e+02
   0.24237    2.22340    2.17274     1.85256e+02
   0.24850    2.23202    2.18034     1.82078e+02
   0.25464    2.23395    2.17972     1.75836e+02
   0.26078    2.23718    2.18066     1.67805e+02
   0.26691    2.23812    2.17869     1.60617e+02
   0.27305    2.24510    2.18252     1.54102e+02
   0.27918    2.25152    2.18589     1.49035e+02
   0.28532    2.25356    2.18465     1.43551e+02
   0.29146    2.25932    2.18733     1.36135e+02
   0.29759    2.26226    2.18704     1.30764e+02
   0.30373    2.26716    2.18909     1.26616e+02
   0.30986    2.27119    2.19056     1.23231e+02
   0.31600    2.27055    2.18567     1.18806e+02
   0.32214    2.27657    2.18921     1.15758e+02
   0.32827    2.27568    2.18479     1.11463e+02
   0.33441    2.28448    2.19068     1.07539e+02
   0.34054    2.28708    2.18903     1.03971e+02
   0.34668    2.29285    2.19305     1.01199e+02
   0.35282    2.29731    2.19073     9.70364e+01
   0.35895    2.30120    2.19210     9.45878e+01
   0.36509    2.30160    2.18757     9.13914e+01
   0.37122    2.30773    2.19222     9.07370e+01
   0.37736    2.31518    2.19480     8.73098e+01
   0.38350    2.31885    2.19341     8.35624e+01
   0.38963    2.31812    2.18907     8.16469e+01
   0.39577    2.32397    2.19205     8.04278e+01
   0.40190    2.32743    2.19138     7.80065e+01
   0.40804    2.33348    2.19404     7.64039e+01
   0.41417    2.33175    2.18595     7.32242e+01
   0.42031    2.33854    2.18926     7.20278e+01
   0.42645    2.34590    2.19112     6.96923e+01
   0.43258    2.34520    2.18327     6.67281e+01
   0.43872    2.34727    2.18379     6.65134e+01
   0.44485    2.35022    2.18092     6.46489e+01
   0.45099    2.35463    2.18132     6.33038e+01
   0.45713    2.35846    2.18085     6.15782e+01
   0.46326    2.36346    2.18227     6.06852e+01
   0.46940    2.36721    2.18141     5.93969e+01
   0.47553    2.37095    2.17976     5.78752e+01
   0.48167    2.37558    2.17891     5.65474e+01
   0.48781    2.37545    2.17298     5.52486e+01
   0.49394    2.38097    2.17433     5.42133e+01
   0.50008    2.38321    2.16940     5.23776e+01
   0.50621    2.38558    2.16830     5.17017e+01
   0.51235    2.38842    2.16136     4.98469e+01
   0.51849    2.39380    2.16397     4.93151e+01
   0.52462    2.39293    2.15843     4.85251e+01
   0.53076    2.39902    2.15906     4.75103e+01
   0.53689    2.40183    2.15664     4.65686e+01
   0.54303    2.40170    2.15077     4.56827e+01
   0.54917    2.40938    2.15339     4.48583e+01
   0.55530    2.41025    2.14648     4.36490e+01
   0.56144    2.41613    2.14887     4.30979e+01
   0.56757    2.41758    2.14175     4.19413e+01
   0.57371    2.42236    2.14173     4.12670e+01
   0.57984    2.41926    2.13265     4.06484e+01
   0.58598    2.42656    2.13520     3.99716e+01
   0.59212    2.42868    2.13022     3.91897e+01
   0.59825    2.43291    2.12754     3.84713e+01
   0.60439    2.43776    2.12992     3.81044e+01
   0.61052    2.43711    2.11985     3.71825e+01
   0.61666    2.44207    2.12159     3.67443e+01
   0.62280    2.44436    2.11567     3.59779e+01
   0.62893    2.44793    2.11169     3.52707e+01
   0.63507    2.45211    2.11142     3.48631e+01
   0.64120    2.45402    2.10666     3.43549e+01
