# Subtracting SN=    4.21637e+01.
#        k         Pk_0_HI
   0.03175     1.38520e+04
   0.04446     1.01021e+04
   0.05670     8.37715e+03
   0.06913     7.13299e+03
   0.08163     5.89270e+03
   0.09394     4.61101e+03
   0.10633     3.72053e+03
   0.11897     3.33069e+03
   0.13156     3.07645e+03
   0.14405     2.65751e+03
   0.15655     2.23487e+03
   0.16903     1.98287e+03
   0.18145     1.78789e+03
   0.19391     1.66290e+03
   0.20638     1.50481e+03
   0.21880     1.32845e+03
   0.23135     1.22770e+03
   0.24388     1.12737e+03
   0.25638     1.05483e+03
   0.26888     9.70823e+02
   0.28133     9.07038e+02
   0.29385     8.34889e+02
   0.30628     7.88866e+02
   0.31877     7.31821e+02
   0.33129     6.87808e+02
   0.34378     6.50953e+02
   0.35632     6.08569e+02
   0.36883     5.77333e+02
   0.38133     5.45994e+02
   0.39379     5.18065e+02
   0.40628     4.95885e+02
   0.41878     4.67431e+02
   0.43132     4.41748e+02
   0.44381     4.21376e+02
   0.45630     4.03917e+02
   0.46880     3.88377e+02
   0.48130     3.68568e+02
   0.49379     3.54016e+02
   0.50627     3.37106e+02
   0.51878     3.20749e+02
   0.53128     3.10994e+02
   0.54381     2.97507e+02
   0.55628     2.86049e+02
   0.56880     2.74173e+02
   0.58132     2.62822e+02
   0.59381     2.55257e+02
   0.60631     2.45450e+02
   0.61879     2.36607e+02
   0.63131     2.28223e+02
   0.64381     2.20667e+02
   0.65629     2.11355e+02
   0.66878     2.04893e+02
   0.68130     1.97858e+02
   0.69382     1.90535e+02
   0.70631     1.84051e+02
   0.71877     1.79288e+02
   0.73127     1.72583e+02
   0.74379     1.66654e+02
   0.75629     1.61116e+02
   0.76880     1.55969e+02
   0.78130     1.51908e+02
   0.79378     1.46596e+02
   0.80630     1.41773e+02
   0.81880     1.37358e+02
   0.83127     1.32777e+02
   0.84379     1.28530e+02
   0.85630     1.24548e+02
   0.86879     1.21593e+02
   0.88128     1.17431e+02
   0.89378     1.13540e+02
   0.90628     1.09670e+02
   0.91879     1.06276e+02
   0.93128     1.02860e+02
   0.94378     1.00190e+02
   0.95630     9.71827e+01
   0.96878     9.45931e+01
   0.98127     9.13558e+01
   0.99376     8.86788e+01
   1.00625     8.56888e+01
   1.01876     8.31403e+01
   1.03128     8.05436e+01
   1.04378     7.86484e+01
   1.05626     7.57651e+01
   1.06878     7.34434e+01
   1.08130     7.11324e+01
   1.09378     6.87603e+01
   1.10628     6.66743e+01
   1.11877     6.45293e+01
   1.13126     6.25190e+01
   1.14378     6.03099e+01
   1.15629     5.87757e+01
   1.16880     5.67803e+01
   1.18130     5.46846e+01
   1.19378     5.29501e+01
   1.20627     5.13192e+01
   1.21876     4.95458e+01
   1.23127     4.81282e+01
   1.24378     4.61139e+01
   1.25626     4.45300e+01
   1.26874     4.32901e+01
   1.28126     4.12541e+01
   1.29376     3.99664e+01
   1.30627     3.87285e+01
   1.31878     3.73026e+01
   1.33127     3.60080e+01
   1.34376     3.45882e+01
   1.35626     3.32833e+01
   1.36877     3.20283e+01
   1.38126     3.07910e+01
   1.39377     2.94812e+01
   1.40626     2.82024e+01
   1.41876     2.72034e+01
   1.43128     2.58338e+01
   1.44376     2.46927e+01
   1.45626     2.35503e+01
   1.46878     2.26797e+01
   1.48127     2.14919e+01
   1.49375     2.05097e+01
   1.50627     1.97334e+01
   1.51879     1.83899e+01
   1.53128     1.75286e+01
   1.54377     1.65723e+01
   1.55627     1.55723e+01
   1.56876     1.47215e+01
   1.58126     1.38193e+01
   1.59377     1.28913e+01
   1.60627     1.20909e+01
   1.61877     1.12066e+01
   1.63126     1.04657e+01
   1.64377     9.59712e+00
   1.65627     8.81277e+00
   1.66875     8.03510e+00
   1.68125     7.25422e+00
   1.69375     6.51257e+00
   1.70626     5.82873e+00
   1.71876     5.10944e+00
   1.73127     4.34724e+00
   1.74377     3.51579e+00
   1.75628     2.85095e+00
   1.76876     2.21972e+00
   1.78125     1.58372e+00
   1.79375     9.17073e-01
   1.80627     3.57423e-01
   1.81877    -3.01936e-01
   1.83126    -9.13958e-01
   1.84377    -1.54991e+00
   1.85627    -2.12043e+00
   1.86877    -2.69853e+00
   1.88127    -3.28131e+00
   1.89376    -3.90217e+00
   1.90627    -4.41156e+00
   1.91877    -4.94446e+00
   1.93127    -5.49196e+00
   1.94377    -6.03289e+00
   1.95627    -6.51174e+00
   1.96877    -7.05889e+00
   1.98126    -7.57805e+00
   1.99375    -8.05420e+00
   2.00625    -8.48488e+00
   2.01875    -9.06406e+00
   2.03126    -9.46103e+00
   2.04377    -9.99579e+00
   2.05627    -1.03849e+01
   2.06876    -1.08053e+01
   2.08126    -1.12711e+01
   2.09376    -1.16972e+01
   2.10626    -1.21193e+01
   2.11877    -1.25021e+01
   2.13126    -1.29200e+01
   2.14377    -1.33706e+01
   2.15626    -1.37690e+01
   2.16875    -1.40756e+01
   2.18126    -1.45113e+01
   2.19376    -1.48815e+01
   2.20626    -1.52226e+01
   2.21876    -1.55867e+01
   2.23126    -1.59529e+01
   2.24376    -1.63072e+01
   2.25626    -1.66607e+01
   2.26876    -1.69976e+01
   2.28127    -1.73326e+01
   2.29377    -1.76746e+01
   2.30626    -1.79572e+01
   2.31876    -1.82972e+01
