# Redshift space power spectrum multipoles.
# Subtracting SN=    3.35814e+01 from monopole.
#        k              P0              P2              P4
   0.05000     9.17617e+03     2.76172e+03     4.62874e+01
   0.07000     7.12753e+03     2.16400e+03    -1.66819e+02
   0.09000     5.06549e+03     1.55322e+03     3.20481e+02
   0.11000     3.69312e+03     1.05289e+03    -9.49974e+01
   0.13000     3.19637e+03     9.91316e+02     5.61762e-01
   0.15000     2.55020e+03     7.90967e+02     3.38479e+01
   0.17000     2.04313e+03     6.64605e+02     1.06268e+02
   0.19000     1.77499e+03     5.72480e+02     4.58496e+01
   0.21000     1.53333e+03     5.16796e+02    -9.18048e+00
   0.23000     1.30006e+03     4.66922e+02     4.60962e+01
   0.25000     1.16081e+03     4.13800e+02     4.91206e+01
   0.27000     1.02904e+03     3.55195e+02     1.18217e+01
   0.29000     9.16238e+02     3.30625e+02     1.89323e+01
   0.31000     8.27409e+02     3.06253e+02     2.48237e+01
   0.33000     7.47413e+02     2.81103e+02     2.37501e+01
   0.35000     6.82018e+02     2.57067e+02     2.24978e+01
   0.37000     6.28409e+02     2.35954e+02     1.12576e+01
   0.39000     5.77932e+02     2.26442e+02     3.52564e+01
   0.41000     5.34941e+02     2.20313e+02     3.23462e+01
   0.43000     4.92630e+02     2.01265e+02     1.92013e+01
   0.45000     4.57417e+02     1.93109e+02     1.67046e+01
   0.47000     4.29847e+02     1.81252e+02     2.44566e+01
   0.49000     4.00605e+02     1.74902e+02     1.56269e+01
   0.51000     3.73546e+02     1.67143e+02     2.41281e+01
   0.53000     3.52180e+02     1.57099e+02     1.80815e+01
   0.55000     3.33197e+02     1.52277e+02     2.08375e+01
   0.57000     3.12545e+02     1.44597e+02     2.09071e+01
   0.59000     2.95556e+02     1.35502e+02     1.52057e+01
   0.61000     2.81453e+02     1.33051e+02     1.61823e+01
   0.63000     2.66593e+02     1.27232e+02     1.86768e+01
   0.65000     2.52758e+02     1.22910e+02     2.09055e+01
   0.67000     2.40448e+02     1.20021e+02     1.64711e+01
   0.69000     2.28525e+02     1.12962e+02     1.33980e+01
   0.71000     2.17094e+02     1.08605e+02     1.66560e+01
   0.73000     2.08363e+02     1.07251e+02     1.67691e+01
   0.75000     1.98159e+02     1.00101e+02     1.12496e+01
   0.77000     1.89008e+02     9.78109e+01     1.35444e+01
   0.79000     1.81463e+02     9.64088e+01     1.69336e+01
   0.81000     1.73329e+02     9.06347e+01     1.57631e+01
   0.83000     1.65524e+02     8.94765e+01     1.35294e+01
   0.85000     1.58503e+02     8.63587e+01     1.51735e+01
   0.87000     1.52326e+02     8.20418e+01     1.46855e+01
   0.89000     1.45721e+02     7.98405e+01     1.45754e+01
   0.91000     1.39505e+02     7.80074e+01     1.33719e+01
   0.93000     1.33595e+02     7.50915e+01     1.41129e+01
   0.95000     1.28712e+02     7.37103e+01     1.53360e+01
   0.97000     1.23440e+02     7.05886e+01     1.33607e+01
   0.99000     1.18622e+02     6.80616e+01     1.34119e+01
   1.01000     1.13771e+02     6.61019e+01     1.19983e+01
   1.03000     1.09389e+02     6.40799e+01     1.18236e+01
   1.05000     1.05529e+02     6.34423e+01     1.22042e+01
   1.07000     1.00586e+02     5.98866e+01     1.24476e+01
   1.09000     9.69883e+01     5.88522e+01     1.25491e+01
   1.11000     9.32136e+01     5.66021e+01     1.19358e+01
   1.13000     8.94817e+01     5.51522e+01     1.06476e+01
   1.15000     8.59077e+01     5.33850e+01     1.02696e+01
   1.17000     8.28943e+01     5.22266e+01     1.11794e+01
   1.19000     7.93692e+01     5.06405e+01     1.05283e+01
   1.21000     7.62717e+01     4.89722e+01     9.91747e+00
   1.23000     7.32021e+01     4.76247e+01     1.05480e+01
   1.25000     7.05513e+01     4.72911e+01     1.08024e+01
   1.27000     6.75119e+01     4.49785e+01     9.80669e+00
   1.29000     6.49165e+01     4.37537e+01     9.33126e+00
   1.31000     6.22765e+01     4.21528e+01     9.18147e+00
   1.33000     5.97146e+01     4.05360e+01     8.88407e+00
   1.35000     5.73374e+01     3.94141e+01     8.68453e+00
   1.37000     5.49958e+01     3.87881e+01     8.05048e+00
   1.39000     5.27324e+01     3.73179e+01     8.67689e+00
   1.41000     5.04469e+01     3.65724e+01     8.37909e+00
   1.43000     4.82402e+01     3.47556e+01     7.63771e+00
   1.45000     4.61607e+01     3.42839e+01     7.94049e+00
   1.47000     4.43777e+01     3.33703e+01     7.90583e+00
   1.49000     4.22126e+01     3.19093e+01     7.72557e+00
   1.51000     4.03943e+01     3.13580e+01     7.54943e+00
   1.53000     3.85927e+01     3.03959e+01     7.47343e+00
   1.55000     3.68373e+01     2.92081e+01     7.42121e+00
   1.57000     3.49577e+01     2.84956e+01     6.97081e+00
   1.59000     3.33156e+01     2.76400e+01     6.62356e+00
   1.61000     3.16486e+01     2.70253e+01     6.25620e+00
   1.63000     3.00496e+01     2.59823e+01     6.53363e+00
   1.65000     2.84651e+01     2.51623e+01     6.41914e+00
   1.67000     2.69618e+01     2.44312e+01     6.08422e+00
   1.69000     2.54700e+01     2.36438e+01     6.25256e+00
   1.71000     2.40880e+01     2.28306e+01     5.95047e+00
   1.73000     2.26383e+01     2.21399e+01     5.83421e+00
   1.75000     2.13076e+01     2.15096e+01     5.61347e+00
   1.77000     1.99824e+01     2.08634e+01     5.36837e+00
   1.79000     1.87874e+01     2.03562e+01     5.54626e+00
   1.81000     1.74360e+01     1.94810e+01     5.22688e+00
   1.83000     1.61806e+01     1.88893e+01     5.05386e+00
   1.85000     1.50150e+01     1.85012e+01     5.24373e+00
   1.87000     1.38356e+01     1.76742e+01     4.93757e+00
   1.89000     1.27167e+01     1.71859e+01     4.66770e+00
   1.91000     1.15796e+01     1.65328e+01     4.43112e+00
   1.93000     1.05704e+01     1.62282e+01     4.73669e+00
   1.95000     9.54527e+00     1.57004e+01     4.69672e+00
   1.97000     8.48013e+00     1.51706e+01     4.54795e+00
   1.99000     7.46081e+00     1.45415e+01     4.31277e+00
   2.01000     6.54914e+00     1.43076e+01     4.38458e+00
   2.03000     5.51017e+00     1.36891e+01     4.25655e+00
   2.05000     4.61025e+00     1.32678e+01     4.08238e+00
   2.07000     3.76924e+00     1.28385e+01     4.10692e+00
   2.09000     2.86940e+00     1.23762e+01     4.02572e+00
   2.11000     2.00450e+00     1.20242e+01     3.78505e+00
   2.13000     1.18645e+00     1.16748e+01     3.84350e+00
   2.15000     3.23619e-01     1.11841e+01     3.67280e+00
   2.17000    -4.26121e-01     1.08705e+01     3.88007e+00
   2.19000    -1.23971e+00     1.04857e+01     3.62214e+00
   2.21000    -1.95382e+00     1.01507e+01     3.52196e+00
   2.23000    -2.68771e+00     9.83412e+00     3.68858e+00
   2.25000    -3.42281e+00     9.44909e+00     3.52732e+00
   2.27000    -4.11503e+00     9.16999e+00     3.38928e+00
   2.29000    -4.80321e+00     8.84072e+00     3.37495e+00
   2.31000    -5.47542e+00     8.58923e+00     3.42600e+00
   2.33000    -6.12369e+00     8.29824e+00     3.36620e+00
   2.35000    -6.79976e+00     7.95122e+00     3.29423e+00
