#        k       b1_x       b1_a            Pkmm
   0.00920    1.66810    1.66431     3.66978e+03
   0.01534    1.66672    1.66356     4.36532e+03
   0.02148    1.66563    1.66232     4.20887e+03
   0.02761    1.66781    1.66421     3.75971e+03
   0.03375    1.66944    1.66525     3.22067e+03
   0.03988    1.66709    1.66218     2.73238e+03
   0.04602    1.66887    1.66325     2.37899e+03
   0.05216    1.67053    1.66426     2.12812e+03
   0.05829    1.67208    1.66550     1.99916e+03
   0.06443    1.67106    1.66388     1.82801e+03
   0.07056    1.67229    1.66476     1.73001e+03
   0.07670    1.67411    1.66579     1.55513e+03
   0.08283    1.67579    1.66657     1.39204e+03
   0.08897    1.67785    1.66725     1.21348e+03
   0.09511    1.67784    1.66594     1.07244e+03
   0.10124    1.68223    1.66902     9.71185e+02
   0.10738    1.68094    1.66650     8.83547e+02
   0.11351    1.68289    1.66748     8.27266e+02
   0.11965    1.68372    1.66758     7.85240e+02
   0.12579    1.68609    1.66943     7.61909e+02
   0.13192    1.69000    1.67253     7.23970e+02
   0.13806    1.68984    1.67095     6.68585e+02
   0.14419    1.69252    1.67249     6.28743e+02
   0.15033    1.69180    1.66954     5.68491e+02
   0.15647    1.69422    1.67022     5.23949e+02
   0.16260    1.69745    1.67139     4.83588e+02
   0.16874    1.69979    1.67253     4.62277e+02
   0.17487    1.70065    1.67174     4.34817e+02
   0.18101    1.70091    1.67041     4.13368e+02
   0.18715    1.70326    1.67186     4.00708e+02
   0.19328    1.70522    1.67298     3.90784e+02
   0.19942    1.70488    1.67045     3.65701e+02
   0.20555    1.70775    1.67125     3.44689e+02
   0.21169    1.70928    1.67073     3.27680e+02
   0.21783    1.71263    1.67196     3.10191e+02
   0.22396    1.71365    1.66958     2.86645e+02
   0.23010    1.71675    1.67174     2.80504e+02
   0.23623    1.71910    1.67200     2.67640e+02
   0.24237    1.71744    1.66748     2.53188e+02
   0.24850    1.72170    1.67121     2.49617e+02
   0.25464    1.72298    1.67057     2.41569e+02
   0.26078    1.72366    1.66862     2.30214e+02
   0.26691    1.72512    1.66773     2.20441e+02
   0.27305    1.72765    1.66769     2.11502e+02
   0.27918    1.72979    1.66804     2.05612e+02
   0.28532    1.73067    1.66659     1.98316e+02
   0.29146    1.73201    1.66432     1.87968e+02
   0.29759    1.73500    1.66474     1.80922e+02
   0.30373    1.73660    1.66403     1.75184e+02
   0.30986    1.73845    1.66389     1.70864e+02
   0.31600    1.73868    1.66106     1.64625e+02
   0.32214    1.74072    1.66115     1.60436e+02
   0.32827    1.74133    1.65876     1.54781e+02
   0.33441    1.74446    1.65897     1.49321e+02
   0.34054    1.74579    1.65746     1.44819e+02
   0.34668    1.74766    1.65718     1.41125e+02
   0.35282    1.74969    1.65503     1.35389e+02
   0.35895    1.75111    1.65421     1.32273e+02
   0.36509    1.75190    1.65125     1.27644e+02
   0.37122    1.75357    1.65245     1.27200e+02
   0.37736    1.75645    1.65137     1.22402e+02
   0.38350    1.75811    1.64843     1.17260e+02
   0.38963    1.75751    1.64495     1.14481e+02
   0.39577    1.76027    1.64618     1.13007e+02
   0.40190    1.76172    1.64429     1.09845e+02
   0.40804    1.76407    1.64423     1.07729e+02
   0.41417    1.76432    1.63917     1.03290e+02
   0.42031    1.76575    1.63850     1.01727e+02
   0.42645    1.76896    1.63770     9.86694e+01
   0.43258    1.76984    1.63256     9.44635e+01
   0.43872    1.77015    1.63256     9.42879e+01
   0.44485    1.77072    1.62899     9.18153e+01
   0.45099    1.77240    1.62763     8.98874e+01
   0.45713    1.77452    1.62598     8.75830e+01
   0.46326    1.77602    1.62538     8.64901e+01
   0.46940    1.77721    1.62310     8.45170e+01
   0.47553    1.77877    1.62090     8.26617e+01
   0.48167    1.77967    1.61800     8.08861e+01
   0.48781    1.78114    1.61535     7.89292e+01
   0.49394    1.78227    1.61353     7.76605e+01
   0.50008    1.78437    1.60978     7.51079e+01
   0.50621    1.78476    1.60802     7.42469e+01
   0.51235    1.78479    1.60080     7.15139e+01
   0.51849    1.78748    1.60202     7.09616e+01
   0.52462    1.78684    1.59793     6.98161e+01
   0.53076    1.78883    1.59609     6.84510e+01
   0.53689    1.78932    1.59288     6.72342e+01
   0.54303    1.78974    1.58920     6.59585e+01
   0.54917    1.79222    1.58835     6.48823e+01
   0.55530    1.79246    1.58237     6.31218e+01
   0.56144    1.79450    1.58192     6.24178e+01
   0.56757    1.79531    1.57683     6.08139e+01
   0.57371    1.79633    1.57434     5.99081e+01
   0.57984    1.79594    1.57085     5.91949e+01
   0.58598    1.79806    1.56908     5.82055e+01
   0.59212    1.79933    1.56546     5.70623e+01
   0.59825    1.80058    1.56203     5.60256e+01
   0.60439    1.80144    1.56044     5.54812e+01
   0.61052    1.80156    1.55483     5.43429e+01
   0.61666    1.80323    1.55341     5.36559e+01
   0.62280    1.80403    1.54961     5.27890e+01
   0.62893    1.80530    1.54538     5.17171e+01
   0.63507    1.80588    1.54280     5.11567e+01
   0.64120    1.80643    1.53926     5.04742e+01
   0.64734    1.80840    1.53610     4.95264e+01
   0.65348    1.80880    1.53040     4.85407e+01
   0.65961    1.80831    1.52612     4.79760e+01
   0.66575    1.80984    1.52245     4.71817e+01
   0.67188    1.81096    1.52084     4.67409e+01
   0.67802    1.81202    1.51742     4.60957e+01
   0.68416    1.81237    1.51128     4.51975e+01
   0.69029    1.81357    1.50727     4.44674e+01
   0.69643    1.81365    1.50379     4.40376e+01
   0.70256    1.81506    1.50033     4.33992e+01
   0.70870    1.81464    1.49332     4.26163e+01
   0.71484    1.81690    1.49343     4.23205e+01
   0.72097    1.81692    1.48863     4.17677e+01
   0.72711    1.81797    1.48435     4.11688e+01
   0.73324    1.81887    1.47801     4.03642e+01
   0.73938    1.82058    1.47656     4.00101e+01
   0.74551    1.81742    1.46880     3.96168e+01
   0.75165    1.81992    1.46625     3.90640e+01
   0.75779    1.82062    1.45959     3.83570e+01
   0.76392    1.82107    1.45611     3.79846e+01
   0.77006    1.82112    1.45082     3.75232e+01
   0.77619    1.82224    1.44762     3.71046e+01
   0.78233    1.82242    1.44612     3.69817e+01
   0.78847    1.82396    1.44127     3.64016e+01
   0.79460    1.82451    1.43481     3.58263e+01
   0.80074    1.82435    1.43204     3.56341e+01
   0.80687    1.82512    1.42458     3.49887e+01
   0.81301    1.82467    1.41732     3.44862e+01
   0.81915    1.82478    1.41273     3.41508e+01
   0.82528    1.82631    1.41065     3.38803e+01
   0.83142    1.82530    1.40210     3.33719e+01
   0.83755    1.82685    1.39880     3.30311e+01
   0.84369    1.82716    1.39304     3.26196e+01
   0.84983    1.82748    1.38796     3.22743e+01
   0.85596    1.82901    1.38499     3.19667e+01
   0.86210    1.82904    1.38035     3.16889e+01
   0.86823    1.82879    1.37504     3.13938e+01
   0.87437    1.82922    1.36696     3.08932e+01
   0.88050    1.82932    1.36584     3.08459e+01
   0.88664    1.83000    1.35471     3.01828e+01
   0.89278    1.82937    1.35016     2.99901e+01
   0.89891    1.82909    1.34229     2.95901e+01
   0.90505    1.83032    1.33933     2.93616e+01
   0.91118    1.83031    1.33497     2.91502e+01
   0.91732    1.83033    1.32860     2.88526e+01
   0.92346    1.83017    1.31885     2.84015e+01
   0.92959    1.83103    1.31517     2.81803e+01
   0.93573    1.83024    1.30719     2.78779e+01
   0.94186    1.83159    1.30714     2.77919e+01
   0.94800    1.83136    1.29807     2.74144e+01
   0.95414    1.83184    1.29212     2.71406e+01
   0.96027    1.83129    1.28576     2.69125e+01
   0.96641    1.83190    1.28286     2.67700e+01
   0.97254    1.83146    1.27248     2.63888e+01
   0.97868    1.83154    1.26822     2.62236e+01
   0.98482    1.83230    1.26060     2.59013e+01
   0.99095    1.83173    1.25637     2.57776e+01
   0.99709    1.83292    1.24889     2.54474e+01
   1.00322    1.83211    1.23894     2.51491e+01
   1.00936    1.83189    1.23744     2.51177e+01
   1.01550    1.83213    1.22393     2.46531e+01
   1.02163    1.83228    1.21885     2.44882e+01
   1.02777    1.83242    1.21320     2.43011e+01
   1.03390    1.83187    1.20845     2.41854e+01
   1.04004    1.83265    1.20241     2.39645e+01
   1.04617    1.83242    1.19513     2.37608e+01
   1.05231    1.83142    1.18672     2.35655e+01
   1.05845    1.83170    1.18007     2.33671e+01
   1.06458    1.83169    1.17309     2.31775e+01
   1.07072    1.83206    1.16359     2.29027e+01
   1.07685    1.83230    1.15517     2.26773e+01
   1.08299    1.83184    1.15520     2.26920e+01
   1.08913    1.83123    1.14010     2.23366e+01
   1.09526    1.82997    1.13394     2.22406e+01
   1.10140    1.83004    1.12383     2.19965e+01
   1.10753    1.83102    1.12054     2.18768e+01
   1.11367    1.83011    1.11017     2.16745e+01
   1.11981    1.82982    1.10081     2.14771e+01
   1.12594    1.82949    1.09673     2.14047e+01
   1.13208    1.82970    1.08712     2.11868e+01
   1.13821    1.82905    1.07810     2.10239e+01
