# Subtracting SN=    1.47065e+01.
#        k         Pk_0_HI
   0.03175     1.04949e+04
   0.04446     7.65717e+03
   0.05670     6.33617e+03
   0.06913     5.40721e+03
   0.08163     4.45187e+03
   0.09394     3.47920e+03
   0.10633     2.80553e+03
   0.11897     2.50885e+03
   0.13156     2.30786e+03
   0.14405     1.98980e+03
   0.15655     1.66845e+03
   0.16903     1.47402e+03
   0.18145     1.33044e+03
   0.19391     1.23452e+03
   0.20638     1.11488e+03
   0.21880     9.82524e+02
   0.23135     9.02391e+02
   0.24388     8.28707e+02
   0.25638     7.73773e+02
   0.26888     7.11669e+02
   0.28133     6.61770e+02
   0.29385     6.08328e+02
   0.30628     5.72817e+02
   0.31877     5.32195e+02
   0.33129     4.99374e+02
   0.34378     4.70702e+02
   0.35632     4.39302e+02
   0.36883     4.16045e+02
   0.38133     3.93110e+02
   0.39379     3.72634e+02
   0.40628     3.55680e+02
   0.41878     3.35160e+02
   0.43132     3.16061e+02
   0.44381     3.01255e+02
   0.45630     2.88756e+02
   0.46880     2.76821e+02
   0.48130     2.62461e+02
   0.49379     2.52407e+02
   0.50627     2.40360e+02
   0.51878     2.28403e+02
   0.53128     2.21323e+02
   0.54381     2.11617e+02
   0.55628     2.03373e+02
   0.56880     1.94741e+02
   0.58132     1.87112e+02
   0.59381     1.81271e+02
   0.60631     1.74393e+02
   0.61879     1.68051e+02
   0.63131     1.62165e+02
   0.64381     1.56740e+02
   0.65629     1.50413e+02
   0.66878     1.45695e+02
   0.68130     1.40672e+02
   0.69382     1.35561e+02
   0.70631     1.31039e+02
   0.71877     1.27499e+02
   0.73127     1.23101e+02
   0.74379     1.18950e+02
   0.75629     1.15094e+02
   0.76880     1.11584e+02
   0.78130     1.08628e+02
   0.79378     1.05061e+02
   0.80630     1.01730e+02
   0.81880     9.88242e+01
   0.83127     9.57296e+01
   0.84379     9.27014e+01
   0.85630     8.99723e+01
   0.86879     8.78731e+01
   0.88128     8.50836e+01
   0.89378     8.24318e+01
   0.90628     7.99531e+01
   0.91879     7.75941e+01
   0.93128     7.53214e+01
   0.94378     7.34614e+01
   0.95630     7.14398e+01
   0.96878     6.96418e+01
   0.98127     6.74833e+01
   0.99376     6.56991e+01
   1.00625     6.37139e+01
   1.01876     6.19213e+01
   1.03128     6.02621e+01
   1.04378     5.90046e+01
   1.05626     5.70114e+01
   1.06878     5.54486e+01
   1.08130     5.38712e+01
   1.09378     5.23848e+01
   1.10628     5.10186e+01
   1.11877     4.96756e+01
   1.13126     4.82526e+01
   1.14378     4.67735e+01
   1.15629     4.57338e+01
   1.16880     4.44547e+01
   1.18130     4.31111e+01
   1.19378     4.19686e+01
   1.20627     4.08973e+01
   1.21876     3.97768e+01
   1.23127     3.87514e+01
   1.24378     3.75792e+01
   1.25626     3.65275e+01
   1.26874     3.56081e+01
   1.28126     3.44347e+01
   1.29376     3.35732e+01
   1.30627     3.27208e+01
   1.31878     3.17156e+01
   1.33127     3.09475e+01
   1.34376     3.00223e+01
   1.35626     2.92159e+01
   1.36877     2.83565e+01
   1.38126     2.76270e+01
   1.39377     2.67237e+01
   1.40626     2.59294e+01
   1.41876     2.52471e+01
   1.43128     2.43866e+01
   1.44376     2.36977e+01
   1.45626     2.29573e+01
   1.46878     2.23667e+01
   1.48127     2.16463e+01
   1.49375     2.10008e+01
   1.50627     2.04880e+01
   1.51879     1.96528e+01
   1.53128     1.91292e+01
   1.54377     1.84991e+01
   1.55627     1.78598e+01
   1.56876     1.73102e+01
   1.58126     1.67477e+01
   1.59377     1.61809e+01
   1.60627     1.56635e+01
   1.61877     1.50848e+01
   1.63126     1.46338e+01
   1.64377     1.40977e+01
   1.65627     1.35851e+01
   1.66875     1.30759e+01
   1.68125     1.26192e+01
   1.69375     1.21336e+01
   1.70626     1.17192e+01
   1.71876     1.12197e+01
   1.73127     1.07770e+01
   1.74377     1.02936e+01
   1.75628     9.86515e+00
   1.76876     9.44919e+00
   1.78125     9.06348e+00
   1.79375     8.65932e+00
   1.80627     8.30531e+00
   1.81877     7.90540e+00
   1.83126     7.53102e+00
   1.84377     7.11876e+00
   1.85627     6.78232e+00
   1.86877     6.41845e+00
   1.88127     6.06280e+00
   1.89376     5.72002e+00
   1.90627     5.37544e+00
   1.91877     5.03986e+00
   1.93127     4.73500e+00
   1.94377     4.39952e+00
   1.95627     4.10011e+00
   1.96877     3.77383e+00
   1.98126     3.44519e+00
   1.99375     3.15566e+00
   2.00625     2.90594e+00
   2.01875     2.55955e+00
   2.03126     2.29603e+00
   2.04377     2.00898e+00
   2.05627     1.75406e+00
   2.06876     1.51107e+00
   2.08126     1.22567e+00
   2.09376     9.75130e-01
   2.10626     7.20767e-01
   2.11877     4.87778e-01
   2.13126     2.51127e-01
   2.14377    -1.52903e-02
   2.15626    -2.49295e-01
   2.16875    -4.44318e-01
   2.18126    -6.92069e-01
   2.19376    -9.05409e-01
   2.20626    -1.11441e+00
   2.21876    -1.33828e+00
   2.23126    -1.55792e+00
   2.24376    -1.74156e+00
   2.25626    -1.97063e+00
   2.26876    -2.15585e+00
   2.28127    -2.36578e+00
   2.29377    -2.55447e+00
   2.30626    -2.74184e+00
   2.31876    -2.91636e+00
   2.33127    -3.09404e+00
   2.34377    -3.28079e+00
   2.35626    -3.46172e+00
   2.36877    -3.62417e+00
   2.38126    -3.79748e+00
   2.39375    -3.95371e+00
   2.40626    -4.11653e+00
   2.41875    -4.28373e+00
   2.43125    -4.43324e+00
   2.44376    -4.59848e+00
   2.45626    -4.73213e+00
   2.46877    -4.90215e+00
   2.48127    -5.05788e+00
   2.49376    -5.18355e+00
   2.50625    -5.33107e+00
   2.51875    -5.46675e+00
