# Redshift space power spectrum multipoles.
# Subtracting SN=    2.30259e+01 from monopole.
#        k              P0              P2              P4
   0.05000     7.37544e+03     4.08881e+03     1.29519e+02
   0.07000     5.69603e+03     3.07717e+03     6.63077e+00
   0.09000     4.01765e+03     2.25513e+03     4.21051e+02
   0.11000     2.88539e+03     1.50246e+03     1.64568e+01
   0.13000     2.46917e+03     1.36216e+03     6.92015e+01
   0.15000     1.95502e+03     1.07406e+03     8.06806e+01
   0.17000     1.56150e+03     9.18173e+02     1.37594e+02
   0.19000     1.34405e+03     7.53298e+02     7.37180e+01
   0.21000     1.14098e+03     6.51551e+02     3.63983e+01
   0.23000     9.67872e+02     5.88834e+02     7.97168e+01
   0.25000     8.53931e+02     5.15282e+02     6.70163e+01
   0.27000     7.51139e+02     4.48472e+02     4.02119e+01
   0.29000     6.64190e+02     4.07661e+02     4.38239e+01
   0.31000     5.94340e+02     3.70778e+02     4.09623e+01
   0.33000     5.31934e+02     3.27640e+02     3.98693e+01
   0.35000     4.82376e+02     3.07707e+02     3.86542e+01
   0.37000     4.39835e+02     2.77346e+02     3.56818e+01
   0.39000     3.97977e+02     2.49866e+02     4.16267e+01
   0.41000     3.66951e+02     2.40605e+02     3.85654e+01
   0.43000     3.37047e+02     2.24914e+02     3.41778e+01
   0.45000     3.09786e+02     2.06298e+02     2.71373e+01
   0.47000     2.88796e+02     1.91797e+02     3.50010e+01
   0.49000     2.67486e+02     1.83004e+02     2.96563e+01
   0.51000     2.46784e+02     1.68780e+02     2.84639e+01
   0.53000     2.30856e+02     1.56950e+02     2.25531e+01
   0.55000     2.15616e+02     1.51323e+02     2.65416e+01
   0.57000     2.01366e+02     1.40915e+02     2.57455e+01
   0.59000     1.88844e+02     1.32615e+02     2.25889e+01
   0.61000     1.77619e+02     1.24164e+02     2.00869e+01
   0.63000     1.67189e+02     1.18362e+02     2.21232e+01
   0.65000     1.56819e+02     1.10215e+02     2.19472e+01
   0.67000     1.48193e+02     1.06541e+02     2.02336e+01
   0.69000     1.39145e+02     9.85473e+01     1.80515e+01
   0.71000     1.31814e+02     9.39829e+01     1.67717e+01
   0.73000     1.24550e+02     8.87776e+01     1.72934e+01
   0.75000     1.17709e+02     8.41743e+01     1.48323e+01
   0.77000     1.11137e+02     7.96482e+01     1.57865e+01
   0.79000     1.05712e+02     7.63898e+01     1.57425e+01
   0.81000     1.00142e+02     7.13720e+01     1.43358e+01
   0.83000     9.45092e+01     6.78867e+01     1.19210e+01
   0.85000     8.95707e+01     6.48523e+01     1.32846e+01
   0.87000     8.54293e+01     6.14407e+01     1.35605e+01
   0.89000     8.08166e+01     5.80755e+01     1.17744e+01
   0.91000     7.64709e+01     5.52585e+01     1.13408e+01
   0.93000     7.26285e+01     5.21700e+01     1.03060e+01
   0.95000     6.89931e+01     4.95414e+01     1.05323e+01
   0.97000     6.58395e+01     4.81342e+01     1.04405e+01
   0.99000     6.24863e+01     4.46525e+01     9.54864e+00
   1.01000     5.92307e+01     4.34447e+01     9.79078e+00
   1.03000     5.61913e+01     4.04914e+01     8.40284e+00
   1.05000     5.37138e+01     3.91278e+01     9.15972e+00
   1.07000     5.07628e+01     3.68793e+01     8.25570e+00
   1.09000     4.82912e+01     3.54828e+01     9.04200e+00
   1.11000     4.57009e+01     3.33773e+01     8.41360e+00
   1.13000     4.33467e+01     3.20091e+01     7.97319e+00
   1.15000     4.13399e+01     3.03620e+01     7.34764e+00
   1.17000     3.91103e+01     2.89292e+01     7.58316e+00
   1.19000     3.70551e+01     2.76708e+01     6.75282e+00
   1.21000     3.50697e+01     2.60821e+01     6.52630e+00
   1.23000     3.33186e+01     2.53188e+01     6.49616e+00
   1.25000     3.14213e+01     2.37128e+01     5.96229e+00
   1.27000     2.98317e+01     2.29521e+01     6.09465e+00
   1.29000     2.79567e+01     2.14465e+01     5.68866e+00
   1.31000     2.65532e+01     2.05243e+01     5.35566e+00
   1.33000     2.51132e+01     1.95396e+01     5.70415e+00
   1.35000     2.36349e+01     1.85129e+01     5.06644e+00
   1.37000     2.22497e+01     1.78571e+01     4.71524e+00
   1.39000     2.09584e+01     1.69083e+01     4.88303e+00
   1.41000     1.96150e+01     1.61947e+01     4.76510e+00
   1.43000     1.83854e+01     1.51884e+01     4.61440e+00
   1.45000     1.71627e+01     1.44583e+01     4.32598e+00
   1.47000     1.60521e+01     1.39828e+01     4.21229e+00
   1.49000     1.49379e+01     1.30748e+01     3.82129e+00
   1.51000     1.39641e+01     1.25412e+01     3.82420e+00
   1.53000     1.28905e+01     1.18987e+01     3.74694e+00
   1.55000     1.18724e+01     1.13877e+01     3.72640e+00
   1.57000     1.08882e+01     1.07707e+01     3.74799e+00
   1.59000     9.99658e+00     1.02690e+01     3.22743e+00
   1.61000     9.15497e+00     9.81133e+00     3.29660e+00
   1.63000     8.26093e+00     9.28052e+00     3.14904e+00
   1.65000     7.43776e+00     8.87215e+00     3.22164e+00
   1.67000     6.68077e+00     8.45615e+00     2.97198e+00
   1.69000     5.87349e+00     8.13562e+00     2.97555e+00
   1.71000     5.15059e+00     7.60393e+00     2.87083e+00
   1.73000     4.39120e+00     7.34941e+00     2.65861e+00
   1.75000     3.65310e+00     7.02909e+00     2.61371e+00
   1.77000     3.01054e+00     6.64072e+00     2.42922e+00
   1.79000     2.33523e+00     6.19824e+00     2.44173e+00
   1.81000     1.72526e+00     6.02826e+00     2.45496e+00
   1.83000     1.10158e+00     5.65264e+00     2.22268e+00
   1.85000     5.11850e-01     5.45352e+00     2.21059e+00
   1.87000    -6.76956e-02     5.18904e+00     2.22480e+00
   1.89000    -6.54728e-01     4.90023e+00     2.21854e+00
   1.91000    -1.17687e+00     4.65647e+00     2.00909e+00
   1.93000    -1.71205e+00     4.46523e+00     2.03427e+00
   1.95000    -2.22039e+00     4.17047e+00     1.99920e+00
   1.97000    -2.72280e+00     4.06682e+00     1.94628e+00
   1.99000    -3.19300e+00     3.92171e+00     1.80250e+00
   2.01000    -3.65352e+00     3.68776e+00     1.88602e+00
   2.03000    -4.13927e+00     3.50024e+00     1.84329e+00
   2.05000    -4.58560e+00     3.31486e+00     1.81709e+00
   2.07000    -5.00299e+00     3.17136e+00     1.73289e+00
   2.09000    -5.41450e+00     2.98796e+00     1.75385e+00
