#        k       b1_x       b1_a            Pkmm
   0.00920    3.33617    3.34558     1.34926e+03
   0.01534    3.27897    3.28934     1.60437e+03
   0.02148    3.30232    3.31321     1.55714e+03
   0.02761    3.32082    3.33497     1.38789e+03
   0.03375    3.34476    3.35601     1.18488e+03
   0.03988    3.34580    3.36257     1.00773e+03
   0.04602    3.31473    3.33350     8.78286e+02
   0.05216    3.34953    3.37056     7.87235e+02
   0.05829    3.35732    3.37983     7.35170e+02
   0.06443    3.32106    3.34153     6.77480e+02
   0.07056    3.32521    3.35187     6.36474e+02
   0.07670    3.35140    3.38007     5.73816e+02
   0.08283    3.33981    3.37307     5.11752e+02
   0.08897    3.35047    3.38812     4.48399e+02
   0.09511    3.33356    3.37177     3.95433e+02
   0.10124    3.37352    3.41875     3.56106e+02
   0.10738    3.34405    3.38886     3.24755e+02
   0.11351    3.36527    3.41158     3.04785e+02
   0.11965    3.36642    3.41616     2.89596e+02
   0.12579    3.37568    3.42574     2.79586e+02
   0.13192    3.41093    3.46260     2.65263e+02
   0.13806    3.38797    3.44375     2.45762e+02
   0.14419    3.41007    3.46941     2.28628e+02
   0.15033    3.40597    3.46838     2.07555e+02
   0.15647    3.40229    3.47081     1.89978e+02
   0.16260    3.41746    3.48896     1.75135e+02
   0.16874    3.42894    3.50200     1.65829e+02
   0.17487    3.42716    3.50510     1.56436e+02
   0.18101    3.40774    3.48516     1.49188e+02
   0.18715    3.42701    3.50533     1.44593e+02
   0.19328    3.44101    3.52190     1.40262e+02
   0.19942    3.43793    3.52252     1.31895e+02
   0.20555    3.45776    3.54468     1.24096e+02
   0.21169    3.45821    3.54570     1.17295e+02
   0.21783    3.47140    3.56122     1.10158e+02
   0.22396    3.46981    3.56091     1.02143e+02
   0.23010    3.49219    3.58630     9.86533e+01
   0.23623    3.49287    3.59209     9.39543e+01
   0.24237    3.48477    3.58497     8.97614e+01
   0.24850    3.50263    3.60076     8.76871e+01
   0.25464    3.50479    3.60488     8.44756e+01
   0.26078    3.51549    3.62040     8.08452e+01
   0.26691    3.50561    3.60904     7.73367e+01
   0.27305    3.52639    3.63032     7.41049e+01
   0.27918    3.54428    3.64544     7.10785e+01
   0.28532    3.54846    3.64729     6.82509e+01
   0.29146    3.56431    3.67370     6.47874e+01
   0.29759    3.55706    3.66735     6.20863e+01
   0.30373    3.57569    3.68494     6.00561e+01
   0.30986    3.58237    3.69407     5.82403e+01
   0.31600    3.57733    3.68514     5.62605e+01
   0.32214    3.59566    3.69926     5.47169e+01
   0.32827    3.57966    3.68968     5.26054e+01
   0.33441    3.60322    3.71293     5.07509e+01
   0.34054    3.60511    3.71560     4.88613e+01
   0.34668    3.62350    3.73906     4.74052e+01
   0.35282    3.62953    3.73685     4.54684e+01
   0.35895    3.64099    3.75093     4.41059e+01
   0.36509    3.63745    3.74518     4.26993e+01
   0.37122    3.65432    3.76015     4.20282e+01
   0.37736    3.67371    3.77835     4.04736e+01
   0.38350    3.67653    3.78619     3.88023e+01
   0.38963    3.67215    3.78041     3.79404e+01
   0.39577    3.68550    3.78807     3.71356e+01
   0.40190    3.69279    3.79933     3.59365e+01
   0.40804    3.70310    3.80777     3.50685e+01
   0.41417    3.69160    3.79920     3.36444e+01
   0.42031    3.71650    3.81695     3.29890e+01
   0.42645    3.72765    3.82622     3.18497e+01
   0.43258    3.71714    3.81996     3.05727e+01
   0.43872    3.72831    3.82298     3.03142e+01
   0.44485    3.73220    3.82512     2.94166e+01
   0.45099    3.74585    3.83537     2.87494e+01
   0.45713    3.74829    3.84316     2.79027e+01
   0.46326    3.76057    3.84781     2.73889e+01
   0.46940    3.77253    3.85466     2.68471e+01
   0.47553    3.77529    3.85927     2.60074e+01
   0.48167    3.78922    3.87055     2.53247e+01
   0.48781    3.78793    3.86297     2.48018e+01
   0.49394    3.80318    3.87613     2.41916e+01
   0.50008    3.79872    3.87301     2.34104e+01
   0.50621    3.80624    3.87906     2.30503e+01
   0.51235    3.81168    3.87586     2.22873e+01
   0.51849    3.81826    3.88137     2.19228e+01
   0.52462    3.82324    3.88048     2.15273e+01
   0.53076    3.83667    3.89022     2.10543e+01
   0.53689    3.84782    3.90066     2.05231e+01
   0.54303    3.84127    3.89175     2.01540e+01
   0.54917    3.86493    3.91053     1.97287e+01
   0.55530    3.86678    3.91100     1.92319e+01
   0.56144    3.87644    3.91829     1.88994e+01
   0.56757    3.87311    3.90811     1.83629e+01
   0.57371    3.88797    3.91859     1.80765e+01
   0.57984    3.87152    3.89878     1.76927e+01
   0.58598    3.89504    3.92077     1.73499e+01
   0.59212    3.90393    3.92043     1.70444e+01
   0.59825    3.91230    3.92443     1.67237e+01
   0.60439    3.92623    3.93481     1.65269e+01
   0.61052    3.91727    3.92038     1.60551e+01
   0.61666    3.92928    3.93156     1.58600e+01
   0.62280    3.93476    3.93096     1.54271e+01
   0.62893    3.94368    3.93450     1.51329e+01
   0.63507    3.96038    3.94601     1.49360e+01
   0.64120    3.96340    3.94198     1.46777e+01
   0.64734    3.96993    3.94455     1.44112e+01
   0.65348    3.97442    3.94654     1.40887e+01
   0.65961    3.96359    3.92836     1.38723e+01
   0.66575    3.98068    3.93642     1.36206e+01
   0.67188    3.99119    3.94666     1.33625e+01
   0.67802    3.99743    3.94576     1.31701e+01
   0.68416    4.00245    3.94685     1.29275e+01
   0.69029    4.01588    3.95699     1.26859e+01
   0.69643    4.00709    3.93430     1.24845e+01
   0.70256    4.01519    3.93923     1.22720e+01
   0.70870    4.02198    3.94372     1.20554e+01
   0.71484    4.03395    3.94492     1.18437e+01
   0.72097    4.03421    3.93733     1.17436e+01
   0.72711    4.04933    3.95502     1.15191e+01
   0.73324    4.04885    3.93626     1.12760e+01
   0.73938    4.06167    3.94708     1.11267e+01
   0.74551    4.06311    3.94343     1.09920e+01
   0.75165    4.06227    3.93339     1.08597e+01
   0.75779    4.06727    3.93190     1.06437e+01
   0.76392    4.07535    3.93410     1.04368e+01
   0.77006    4.08332    3.93303     1.02983e+01
   0.77619    4.08732    3.92615     1.01611e+01
   0.78233    4.09621    3.93180     1.00764e+01
   0.78847    4.10282    3.93237     9.89852e+00
   0.79460    4.10590    3.92108     9.68802e+00
   0.80074    4.11188    3.92467     9.58247e+00
   0.80687    4.11367    3.91897     9.42075e+00
   0.81301    4.12077    3.91722     9.32381e+00
   0.81915    4.13003    3.91754     9.17667e+00
   0.82528    4.12804    3.90596     9.06002e+00
   0.83142    4.12749    3.89460     8.90531e+00
   0.83755    4.13913    3.90021     8.78804e+00
   0.84369    4.14596    3.89426     8.66704e+00
   0.84983    4.15507    3.89672     8.53684e+00
   0.85596    4.16384    3.90045     8.41288e+00
   0.86210    4.16869    3.89621     8.33616e+00
   0.86823    4.17132    3.88741     8.22493e+00
   0.87437    4.18212    3.88900     8.10125e+00
   0.88050    4.18430    3.88738     8.00903e+00
   0.88664    4.18433    3.87108     7.87525e+00
   0.89278    4.18960    3.86444     7.79360e+00
   0.89891    4.18510    3.85584     7.68345e+00
   0.90505    4.19712    3.85525     7.56468e+00
   0.91118    4.19651    3.84678     7.51218e+00
   0.91732    4.20444    3.84371     7.41359e+00
   0.92346    4.20500    3.83057     7.28759e+00
   0.92959    4.21629    3.83528     7.22030e+00
   0.93573    4.21526    3.82168     7.11964e+00
   0.94186    4.22049    3.82158     7.04796e+00
