# Subtracting SN=    1.20732e+02.
#        k         Pk_0_HI
   0.03175     1.84216e+04
   0.04446     1.33817e+04
   0.05670     1.10653e+04
   0.06913     9.40551e+03
   0.08163     7.77081e+03
   0.09394     6.06975e+03
   0.10633     4.87917e+03
   0.11897     4.35215e+03
   0.13156     3.99299e+03
   0.14405     3.46046e+03
   0.15655     2.91960e+03
   0.16903     2.60927e+03
   0.18145     2.34468e+03
   0.19391     2.16786e+03
   0.20638     1.94333e+03
   0.21880     1.73218e+03
   0.23135     1.60110e+03
   0.24388     1.46955e+03
   0.25638     1.36904e+03
   0.26888     1.25632e+03
   0.28133     1.17972e+03
   0.29385     1.07430e+03
   0.30628     1.01781e+03
   0.31877     9.40834e+02
   0.33129     8.79395e+02
   0.34378     8.34124e+02
   0.35632     7.80462e+02
   0.36883     7.38240e+02
   0.38133     6.91130e+02
   0.39379     6.51963e+02
   0.40628     6.23104e+02
   0.41878     5.86038e+02
   0.43132     5.54615e+02
   0.44381     5.27214e+02
   0.45630     5.00616e+02
   0.46880     4.80111e+02
   0.48130     4.55581e+02
   0.49379     4.33386e+02
   0.50627     4.09303e+02
   0.51878     3.90974e+02
   0.53128     3.73833e+02
   0.54381     3.55998e+02
   0.55628     3.39304e+02
   0.56880     3.25789e+02
   0.58132     3.08129e+02
   0.59381     2.96669e+02
   0.60631     2.82642e+02
   0.61879     2.73788e+02
   0.63131     2.60904e+02
   0.64381     2.49388e+02
   0.65629     2.38434e+02
   0.66878     2.26994e+02
   0.68130     2.19004e+02
   0.69382     2.08091e+02
   0.70631     2.01559e+02
   0.71877     1.93280e+02
   0.73127     1.84151e+02
   0.74379     1.77410e+02
   0.75629     1.69472e+02
   0.76880     1.62035e+02
   0.78130     1.55517e+02
   0.79378     1.48836e+02
   0.80630     1.42909e+02
   0.81880     1.36546e+02
   0.83127     1.30353e+02
   0.84379     1.24667e+02
   0.85630     1.19662e+02
   0.86879     1.14502e+02
   0.88128     1.09288e+02
   0.89378     1.04196e+02
   0.90628     9.91075e+01
   0.91879     9.57687e+01
   0.93128     9.08502e+01
   0.94378     8.63615e+01
   0.95630     8.26618e+01
   0.96878     7.87563e+01
   0.98127     7.52786e+01
   0.99376     7.09960e+01
   1.00625     6.76876e+01
   1.01876     6.39643e+01
   1.03128     6.10294e+01
   1.04378     5.79359e+01
   1.05626     5.47793e+01
   1.06878     5.12679e+01
   1.08130     4.84646e+01
   1.09378     4.55791e+01
   1.10628     4.28034e+01
   1.11877     3.97274e+01
   1.13126     3.71687e+01
   1.14378     3.48384e+01
   1.15629     3.26740e+01
   1.16880     3.02402e+01
   1.18130     2.73982e+01
   1.19378     2.52339e+01
   1.20627     2.30537e+01
   1.21876     2.12696e+01
   1.23127     1.86466e+01
   1.24378     1.68228e+01
   1.25626     1.48372e+01
   1.26874     1.27462e+01
   1.28126     1.05396e+01
   1.29376     9.28058e+00
   1.30627     7.18693e+00
   1.31878     5.63269e+00
   1.33127     3.53355e+00
   1.34376     2.18199e+00
   1.35626     3.51602e-01
   1.36877    -1.30817e+00
   1.38126    -2.79274e+00
   1.39377    -4.52201e+00
   1.40626    -5.69458e+00
   1.41876    -7.33564e+00
   1.43128    -8.85265e+00
   1.44376    -1.02018e+01
   1.45626    -1.14881e+01
   1.46878    -1.26024e+01
   1.48127    -1.42625e+01
   1.49375    -1.53334e+01
   1.50627    -1.65595e+01
   1.51879    -1.82540e+01
   1.53128    -1.93806e+01
   1.54377    -2.04809e+01
   1.55627    -2.15275e+01
   1.56876    -2.27923e+01
   1.58126    -2.37773e+01
   1.59377    -2.50214e+01
   1.60627    -2.61363e+01
   1.61877    -2.71041e+01
   1.63126    -2.81743e+01
   1.64377    -2.91794e+01
   1.65627    -3.02561e+01
   1.66875    -3.14215e+01
   1.68125    -3.21441e+01
   1.69375    -3.30476e+01
   1.70626    -3.41605e+01
   1.71876    -3.51616e+01
   1.73127    -3.60937e+01
   1.74377    -3.69376e+01
   1.75628    -3.77889e+01
   1.76876    -3.86153e+01
   1.78125    -3.96470e+01
   1.79375    -4.04055e+01
   1.80627    -4.12539e+01
   1.81877    -4.20778e+01
   1.83126    -4.28772e+01
   1.84377    -4.37457e+01
   1.85627    -4.44547e+01
   1.86877    -4.53688e+01
   1.88127    -4.59463e+01
   1.89376    -4.68455e+01
   1.90627    -4.75962e+01
   1.91877    -4.83652e+01
   1.93127    -4.90391e+01
   1.94377    -4.98710e+01
   1.95627    -5.05351e+01
   1.96877    -5.12353e+01
   1.98126    -5.18822e+01
   1.99375    -5.26980e+01
   2.00625    -5.32841e+01
   2.01875    -5.40525e+01
   2.03126    -5.46010e+01
   2.04377    -5.54509e+01
   2.05627    -5.59350e+01
   2.06876    -5.66876e+01
   2.08126    -5.72758e+01
   2.09376    -5.79001e+01
   2.10626    -5.85487e+01
   2.11877    -5.92285e+01
   2.13126    -5.97090e+01
   2.14377    -6.02805e+01
   2.15626    -6.09813e+01
   2.16875    -6.14838e+01
   2.18126    -6.21402e+01
   2.19376    -6.27073e+01
   2.20626    -6.32360e+01
   2.21876    -6.37757e+01
