# Redshift space power spectrum multipoles.
# Subtracting SN=    8.78245e+01 from monopole.
#        k              P0              P2              P4
   0.05000     1.22046e+04     3.11037e+03     1.27113e+02
   0.07000     9.49955e+03     2.48622e+03    -2.54508e+02
   0.09000     6.80031e+03     1.77351e+03     3.96130e+02
   0.11000     4.99627e+03     1.20472e+03    -1.70408e+02
   0.13000     4.35237e+03     1.16670e+03    -2.75698e+01
   0.15000     3.50494e+03     9.40462e+02     3.97691e+01
   0.17000     2.83001e+03     7.87238e+02     1.36777e+02
   0.19000     2.46814e+03     6.97659e+02     5.57291e+01
   0.21000     2.15320e+03     6.40001e+02    -2.62103e+01
   0.23000     1.83772e+03     5.90124e+02     5.28977e+01
   0.25000     1.65289e+03     5.23061e+02     6.81435e+01
   0.27000     1.47048e+03     4.47796e+02     9.50175e+00
   0.29000     1.32094e+03     4.18234e+02     1.89933e+01
   0.31000     1.19923e+03     3.98216e+02     2.80710e+01
   0.33000     1.08828e+03     3.67021e+02     2.93680e+01
   0.35000     1.00008e+03     3.35616e+02     2.93379e+01
   0.37000     9.26570e+02     3.10926e+02     9.36972e+00
   0.39000     8.57670e+02     3.05625e+02     4.84941e+01
   0.41000     7.97780e+02     2.97442e+02     4.20986e+01
   0.43000     7.36998e+02     2.71101e+02     2.59615e+01
   0.45000     6.87422e+02     2.64815e+02     2.16231e+01
   0.47000     6.48795e+02     2.49529e+02     3.34640e+01
   0.49000     6.06744e+02     2.42728e+02     1.84226e+01
   0.51000     5.67637e+02     2.32890e+02     3.38353e+01
   0.53000     5.37015e+02     2.19387e+02     2.45159e+01
   0.55000     5.10627e+02     2.15139e+02     2.96315e+01
   0.57000     4.80180e+02     2.04889e+02     2.95601e+01
   0.59000     4.55596e+02     1.92084e+02     2.04044e+01
   0.61000     4.34966e+02     1.90102e+02     2.24366e+01
   0.63000     4.13336e+02     1.83266e+02     2.62517e+01
   0.65000     3.92661e+02     1.77994e+02     3.04492e+01
   0.67000     3.74354e+02     1.74646e+02     2.25726e+01
   0.69000     3.56675e+02     1.64938e+02     1.91535e+01
   0.71000     3.39570e+02     1.58256e+02     2.37830e+01
   0.73000     3.26703e+02     1.57754e+02     2.40969e+01
   0.75000     3.10891e+02     1.47058e+02     1.51980e+01
   0.77000     2.97002e+02     1.44924e+02     1.95931e+01
   0.79000     2.85652e+02     1.43116e+02     2.50923e+01
   0.81000     2.72968e+02     1.34964e+02     2.29075e+01
   0.83000     2.60940e+02     1.34231e+02     1.96772e+01
   0.85000     2.50211e+02     1.29507e+02     2.30699e+01
   0.87000     2.40565e+02     1.22794e+02     2.20871e+01
   0.89000     2.30298e+02     1.20363e+02     2.17483e+01
   0.91000     2.20477e+02     1.17445e+02     1.99842e+01
   0.93000     2.11137e+02     1.14330e+02     2.16857e+01
   0.95000     2.03468e+02     1.11588e+02     2.32280e+01
   0.97000     1.94937e+02     1.07292e+02     2.01363e+01
   0.99000     1.87481e+02     1.03877e+02     2.09201e+01
   1.01000     1.79750e+02     1.01103e+02     1.81517e+01
   1.03000     1.72773e+02     9.85632e+01     1.78117e+01
   1.05000     1.66456e+02     9.78152e+01     1.86331e+01
   1.07000     1.58391e+02     9.23086e+01     1.94627e+01
