#        k       b1_x       b1_a            Pkmm
   0.03682    2.51533    3.02885     9.17601e+02
   0.06136    0.01754    0.12631     3.09914e+05
   0.08590    0.02904    0.44809     1.63684e+04
   0.11045    0.01580    0.21501     4.87193e+04
   0.13499    0.15042    0.81838     2.75730e+03
   0.15953    0.08428    0.45630     6.56478e+03
   0.18408    0.09584    0.59886     2.97042e+03
   0.20862    0.80122    1.66938     3.22877e+02
   0.23317    0.39705    1.22059     5.22374e+02
   0.25771    0.13705    0.71886     1.15545e+03
   0.28225    0.47424    1.25296     3.45897e+02
   0.30680    0.15563    0.81299     7.12069e+02
   0.33134    0.43503    1.23820     2.77766e+02
   0.35588    0.23546    0.91511     4.25627e+02
   0.38043    0.53334    1.39902     1.61402e+02
   0.40497    0.81083    1.71172     1.02562e+02
   0.42951    0.70585    1.60818     1.02035e+02
   0.45406    0.35556    1.20473     1.62110e+02
   0.47860    0.65603    1.58639     8.68815e+01
   0.50315    0.38459    1.23516     1.31919e+02
   0.52769    0.65957    1.61508     7.26005e+01
   0.55223    0.43979    1.33669     9.66204e+01
   0.57678    0.74711    1.70830     5.71847e+01
   0.60132    0.81119    1.79202     4.55791e+01
   0.62586    0.75784    1.73206     4.69906e+01
   0.65041    0.58974    1.53868     5.52755e+01
   0.67495    0.74257    1.76607     4.02743e+01
   0.69950    0.60723    1.55848     4.85912e+01
   0.72404    0.72580    1.74253     3.60484e+01
   0.74858    0.61586    1.60932     4.01458e+01
   0.77313    0.82791    1.83456     2.95856e+01
   0.79767    0.84589    1.91049     2.55533e+01
   0.82221    0.85085    1.90898     2.46540e+01
   0.84676    0.70639    1.75257     2.68360e+01
   0.87130    0.83814    1.92147     2.20773e+01
   0.89584    0.73975    1.76717     2.37974e+01
   0.92039    0.82678    1.91187     2.01599e+01
   0.94493    0.77611    1.80479     2.14407e+01
   0.96948    0.86975    1.93791     1.76052e+01
   0.99402    0.92251    2.00900     1.60301e+01
   1.01856    0.90660    2.00157     1.56256e+01
   1.04311    0.84884    1.93859     1.59012e+01
   1.06765    0.88636    1.97763     1.44400e+01
   1.09219    0.88045    1.96617     1.39097e+01
   1.11674    0.90261    2.01183     1.31117e+01
   1.14128    0.87042    1.97428     1.32448e+01
   1.16583    0.93700    2.01071     1.19805e+01
   1.19037    0.96409    2.08472     1.07986e+01
   1.21491    0.96066    2.06630     1.05698e+01
   1.23946    0.93137    2.03517     1.05714e+01
   1.26400    0.94422    2.05795     9.84755e+00
   1.28854    0.97462    2.09053     9.23967e+00
   1.31309    0.96935    2.07964     9.14431e+00
   1.33763    0.93886    2.07979     8.91388e+00
   1.36217    1.01493    2.11658     8.35499e+00
   1.38672    1.02680    2.14822     7.76511e+00
   1.41126    1.02858    2.13704     7.76225e+00
   1.43581    0.98617    2.11175     7.53113e+00
   1.46035    1.00832    2.13100     7.13419e+00
   1.48489    1.03649    2.17262     6.76997e+00
   1.50944    1.02424    2.16135     6.56095e+00
   1.53398    1.01527    2.14671     6.48514e+00
   1.55852    1.05024    2.18513     6.08532e+00
   1.58307    1.07901    2.20803     5.75648e+00
   1.60761    1.05820    2.19826     5.64124e+00
   1.63216    1.07128    2.17365     5.67293e+00
   1.65670    1.04678    2.19446     5.28969e+00
   1.68124    1.10348    2.21629     5.08023e+00
   1.70579    1.07728    2.19806     5.04254e+00
   1.73033    1.07765    2.19553     4.92429e+00
   1.75487    1.10774    2.21677     4.70830e+00
   1.77942    1.11226    2.22262     4.53602e+00
   1.80396    1.11398    2.22335     4.41462e+00
   1.82851    1.09961    2.21650     4.37517e+00
   1.85305    1.12395    2.23082     4.17739e+00
   1.87759    1.14676    2.25802     3.98199e+00
   1.90214    1.13852    2.24627     3.92141e+00
   1.92668    1.11932    2.22232     3.87042e+00
   1.95122    1.16069    2.24192     3.68343e+00
   1.97577    1.15807    2.26450     3.53681e+00
   2.00031    1.16794    2.25350     3.49492e+00
   2.02485    1.15539    2.22996     3.47525e+00
   2.04940    1.17810    2.23949     3.32265e+00
   2.07394    1.19063    2.25715     3.21377e+00
   2.09849    1.17527    2.22271     3.16943e+00
   2.12303    1.15874    2.22345     3.12451e+00
   2.14757    1.18366    2.24271     2.97515e+00
   2.17212    1.20670    2.25611     2.88881e+00
   2.19666    1.19732    2.24535     2.81687e+00
   2.22120    1.18280    2.21834     2.79360e+00
   2.24575    1.19657    2.22364     2.68915e+00
   2.27029    1.21597    2.24825     2.59700e+00
   2.29484    1.22354    2.23070     2.57400e+00
   2.31938    1.18998    2.20252     2.56063e+00
   2.34392    1.21802    2.21898     2.44395e+00
   2.36847    1.24247    2.22844     2.36129e+00
   2.39301    1.23339    2.22277     2.30551e+00
   2.41755    1.23017    2.19775     2.30383e+00
   2.44210    1.24986    2.21408     2.23049e+00
   2.46664    1.25864    2.22124     2.14886e+00
   2.49118    1.26056    2.21163     2.12321e+00
   2.51573    1.24242    2.19161     2.09764e+00
   2.54027    1.27212    2.19892     2.02668e+00
   2.56482    1.28032    2.19534     1.97145e+00
   2.58936    1.26876    2.17393     1.92948e+00
   2.61390    1.26334    2.17854     1.89819e+00
   2.63845    1.27125    2.15652     1.84507e+00
   2.66299    1.28856    2.15582     1.80773e+00
   2.68753    1.29618    2.15572     1.78080e+00
   2.71208    1.27729    2.13785     1.76026e+00
   2.73662    1.30245    2.11445     1.70989e+00
