# Subtracting SN=    1.52032e+01.
#        k         Pk_0_HI
   0.03471     1.17072e+04
   0.04533     9.31174e+03
   0.05750     6.97327e+03
   0.07243     6.16957e+03
   0.08030     4.96961e+03
   0.09129     3.75702e+03
   0.10670     3.13799e+03
   0.11962     2.96098e+03
   0.12974     2.80657e+03
   0.14416     2.08646e+03
   0.15607     1.92332e+03
   0.16886     1.68587e+03
   0.18066     1.46858e+03
   0.19462     1.32979e+03
   0.20682     1.23814e+03
   0.21908     1.13024e+03
   0.23113     1.08226e+03
   0.24367     9.78380e+02
   0.25601     8.46158e+02
   0.26906     7.98482e+02
   0.28135     7.84647e+02
   0.29458     6.66372e+02
   0.30676     6.61174e+02
   0.31943     6.25451e+02
   0.33214     6.24067e+02
   0.34474     5.47953e+02
   0.35626     4.93318e+02
   0.36909     4.72488e+02
   0.38137     4.49030e+02
   0.39368     4.44372e+02
   0.40596     4.14476e+02
   0.41935     4.04138e+02
   0.43138     3.52172e+02
   0.44349     3.45124e+02
   0.45625     3.20344e+02
   0.46966     3.21606e+02
   0.48162     3.13251e+02
   0.49397     2.98194e+02
   0.50656     2.79478e+02
   0.51863     2.79700e+02
   0.53044     2.58903e+02
   0.54375     2.52584e+02
   0.55676     2.39240e+02
   0.56902     2.28016e+02
   0.58090     2.20077e+02
   0.59394     2.18958e+02
   0.60659     2.03227e+02
   0.61858     1.98690e+02
   0.63073     1.99593e+02
   0.64386     1.82353e+02
   0.65636     1.81044e+02
   0.66869     1.75198e+02
   0.68131     1.67682e+02
   0.69392     1.69436e+02
   0.70632     1.62375e+02
   0.71842     1.50331e+02
   0.73133     1.50687e+02
   0.74383     1.42086e+02
   0.75642     1.40441e+02
   0.76892     1.34309e+02
   0.78169     1.33382e+02
   0.79408     1.28041e+02
   0.80610     1.23817e+02
   0.81834     1.19832e+02
   0.83113     1.18084e+02
   0.84356     1.11431e+02
   0.85621     1.08632e+02
   0.86876     1.07712e+02
   0.88154     1.04072e+02
   0.89355     1.04073e+02
   0.90634     9.87741e+01
   0.91886     9.92833e+01
   0.93130     9.49605e+01
   0.94392     9.32178e+01
   0.95621     9.05885e+01
   0.96854     8.73181e+01
   0.98126     8.84794e+01
   0.99357     8.26939e+01
   1.00643     8.24327e+01
   1.01870     8.14924e+01
   1.03126     7.91427e+01
   1.04402     7.76447e+01
   1.05654     7.59633e+01
   1.06869     7.58043e+01
   1.08129     6.92457e+01
   1.09371     6.88363e+01
   1.10646     6.75875e+01
   1.11883     6.71523e+01
   1.13137     6.53719e+01
   1.14381     6.36505e+01
   1.15611     6.35052e+01
   1.16847     6.05012e+01
   1.18123     5.94507e+01
   1.19379     5.73876e+01
   1.20615     5.55156e+01
   1.21876     5.44431e+01
   1.23169     5.28432e+01
   1.24362     5.17003e+01
   1.25596     5.20717e+01
   1.26862     5.05258e+01
   1.28125     4.88672e+01
   1.29378     4.92860e+01
   1.30632     4.62409e+01
   1.31873     4.58427e+01
   1.33129     4.58181e+01
   1.34365     4.48905e+01
   1.35617     4.41123e+01
   1.36877     4.28899e+01
   1.38124     4.21968e+01
   1.39384     3.99518e+01
   1.40620     4.00399e+01
   1.41870     3.97762e+01
   1.43133     3.79692e+01
   1.44395     3.81788e+01
