# Redshift space power spectrum multipoles.
# Subtracting SN=    9.15079e+00 from monopole.
#        k              P0              P2              P4
   0.05000     6.79588e+03     2.54217e+03     4.27631e+03
   0.07000     5.49654e+03     2.18344e+03    -1.55715e+03
   0.09000     3.76932e+03     5.94346e+02    -1.54877e+03
   0.11000     2.89825e+03     7.32033e+02    -4.27971e+01
   0.13000     2.49986e+03     1.00980e+03     8.91177e+02
   0.15000     1.87180e+03     5.71400e+02     1.62794e+02
   0.17000     1.52152e+03     4.93856e+02    -3.60396e+02
   0.19000     1.31091e+03     4.53291e+02    -1.18459e+01
   0.21000     1.15060e+03     3.77793e+02    -1.62028e+02
   0.23000     1.01451e+03     4.45193e+02     1.81640e+02
   0.25000     8.23638e+02     1.84955e+02    -1.33403e+02
   0.27000     7.61036e+02     2.00133e+02    -1.16568e+02
   0.29000     6.60767e+02     2.03333e+02    -5.29784e+01
   0.31000     6.23863e+02     3.13729e+02     6.78166e+01
   0.33000     5.79483e+02     2.33779e+02     9.98057e+01
   0.35000     4.87239e+02     1.89404e+02     1.09070e+02
   0.37000     4.43340e+02     1.39617e+02     1.58995e+01
   0.39000     4.28247e+02     1.81225e+02     2.54282e+01
   0.41000     3.86666e+02     1.18634e+02    -7.21342e+01
   0.43000     3.53302e+02     1.30383e+02     2.81905e+01
   0.45000     3.20877e+02     1.12386e+02     2.11597e+01
   0.47000     3.06826e+02     1.12755e+02     9.50963e-01
   0.49000     2.87124e+02     1.36124e+02     3.27233e+01
   0.51000     2.75177e+02     9.46688e+01     9.73287e+00
   0.53000     2.58485e+02     9.78157e+01    -1.46072e+01
   0.55000     2.35404e+02     7.88590e+01    -1.85615e+01
   0.57000     2.35719e+02     9.17183e+01     2.14152e+01
   0.59000     2.13325e+02     8.42607e+01     1.91212e+01
   0.61000     2.03063e+02     9.35929e+01    -5.69395e+00
   0.63000     1.95934e+02     8.08867e+01     2.33842e+01
   0.65000     1.83423e+02     7.45807e+01     3.26871e+00
   0.67000     1.83509e+02     8.73782e+01     6.79470e+00
   0.69000     1.71463e+02     8.17716e+01     3.19945e+00
   0.71000     1.63451e+02     7.25329e+01     2.11059e+01
   0.73000     1.51366e+02     7.06873e+01    -4.39509e+00
   0.75000     1.48703e+02     7.82906e+01     7.69279e+00
   0.77000     1.44474e+02     7.16315e+01     2.93415e+01
   0.79000     1.37791e+02     6.33015e+01     1.43119e+01
   0.81000     1.31931e+02     5.75852e+01     7.90479e+00
   0.83000     1.25692e+02     5.58308e+01    -6.19530e+00
   0.85000     1.20457e+02     6.25189e+01    -4.30651e-01
   0.87000     1.17750e+02     5.86251e+01     1.94343e+01
