#        k       b1_x       b1_a            Pkmm
   0.03682    4.14784    4.17395     6.61224e+02
   0.06136    4.02940    4.07621     4.07997e+02
   0.08590    3.95272    4.02390     2.75747e+02
   0.11045    4.06348    4.16398     1.79990e+02
   0.13499    4.08699    4.18650     1.45564e+02
   0.15953    4.15159    4.30798     1.04358e+02
   0.18408    4.08578    4.26386     8.25318e+01
   0.20862    4.17904    4.37253     6.71329e+01
   0.23317    4.30319    4.52003     5.52694e+01
   0.25771    4.11087    4.34762     4.48757e+01
   0.28225    4.19095    4.46255     3.92608e+01
   0.30680    4.31064    4.60892     3.25373e+01
   0.33134    4.33131    4.63067     2.90353e+01
   0.35588    4.31084    4.65205     2.41621e+01
   0.38043    4.29970    4.65308     2.13786e+01
   0.40497    4.46562    4.82861     1.92825e+01
   0.42951    4.43571    4.82488     1.69232e+01
   0.45406    4.47785    4.86770     1.49151e+01
   0.47860    4.49819    4.92990     1.35616e+01
   0.50315    4.52923    4.94834     1.23904e+01
   0.52769    4.65381    5.07656     1.12298e+01
   0.55223    4.62204    5.07408     1.02024e+01
   0.57678    4.68685    5.15286     9.62448e+00
   0.60132    4.67420    5.14810     8.51650e+00
   0.62586    4.72328    5.20759     7.98704e+00
   0.65041    4.79002    5.29007     7.25579e+00
   0.67495    4.81767    5.32425     6.89927e+00
   0.69950    4.84695    5.36701     6.38027e+00
   0.72404    4.86608    5.37434     5.85927e+00
   0.74858    4.90979    5.42890     5.47524e+00
   0.77313    4.95205    5.46453     5.20958e+00
   0.79767    4.98268    5.53052     4.78788e+00
   0.82221    5.07891    5.63402     4.47567e+00
   0.84676    5.00170    5.54564     4.18983e+00
   0.87130    5.07844    5.59023     4.07460e+00
   0.89584    5.10440    5.62217     3.66850e+00
   0.92039    5.19462    5.68258     3.58331e+00
   0.94493    5.20381    5.70857     3.36637e+00
   0.96948    5.21923    5.74905     3.14515e+00
   0.99402    5.27844    5.76053     3.04832e+00
   1.01856    5.32486    5.81891     2.91723e+00
   1.04311    5.34915    5.86424     2.73355e+00
   1.06765    5.35707    5.84349     2.58421e+00
   1.09219    5.39023    5.83694     2.45764e+00
