# Subtracting SN=    2.86541e+01.
#        k         Pk_0_HI
   0.03471     1.38245e+04
   0.04533     1.02638e+04
   0.05750     7.96585e+03
   0.07243     7.19653e+03
   0.08030     5.49662e+03
   0.09129     4.48123e+03
   0.10670     3.79248e+03
   0.11962     3.53819e+03
   0.12974     3.14832e+03
   0.14416     2.47215e+03
   0.15607     2.36852e+03
   0.16886     2.07039e+03
   0.18066     1.76463e+03
   0.19462     1.66336e+03
   0.20682     1.50762e+03
   0.21908     1.42000e+03
   0.23113     1.34438e+03
   0.24367     1.22253e+03
   0.25601     1.01058e+03
   0.26906     9.79413e+02
   0.28135     9.55998e+02
   0.29458     8.50338e+02
   0.30676     8.56598e+02
   0.31943     7.96908e+02
   0.33214     7.68681e+02
   0.34474     6.82326e+02
   0.35626     6.23128e+02
   0.36909     6.09701e+02
   0.38137     5.66789e+02
   0.39368     5.80459e+02
   0.40596     5.22463e+02
   0.41935     5.24928e+02
   0.43138     4.64596e+02
   0.44349     4.52624e+02
   0.45625     4.24694e+02
   0.46966     4.19929e+02
   0.48162     4.08048e+02
   0.49397     3.90141e+02
   0.50656     3.67092e+02
   0.51863     3.82773e+02
   0.53044     3.45658e+02
   0.54375     3.42641e+02
   0.55676     3.17801e+02
   0.56902     3.30244e+02
   0.58090     3.06482e+02
   0.59394     2.89913e+02
   0.60659     2.82432e+02
   0.61858     2.73273e+02
   0.63073     2.73442e+02
   0.64386     2.60660e+02
   0.65636     2.55659e+02
   0.66869     2.59231e+02
   0.68131     2.36285e+02
   0.69392     2.42569e+02
   0.70632     2.29239e+02
   0.71842     2.22005e+02
   0.73133     2.08048e+02
   0.74383     2.12978e+02
   0.75642     2.08380e+02
   0.76892     1.97622e+02
   0.78169     2.02051e+02
   0.79408     1.88039e+02
   0.80610     1.82881e+02
   0.81834     1.84229e+02
   0.83113     1.79343e+02
   0.84356     1.74098e+02
   0.85621     1.63941e+02
   0.86876     1.65777e+02
   0.88154     1.66058e+02
   0.89355     1.55308e+02
   0.90634     1.54665e+02
   0.91886     1.50558e+02
   0.93130     1.49242e+02
   0.94392     1.44268e+02
   0.95621     1.39848e+02
   0.96854     1.40829e+02
   0.98126     1.37535e+02
   0.99357     1.35273e+02
   1.00643     1.32746e+02
   1.01870     1.30787e+02
   1.03126     1.27184e+02
   1.04402     1.27529e+02
   1.05654     1.22949e+02
   1.06869     1.20751e+02
   1.08129     1.16280e+02
   1.09371     1.12662e+02
   1.10646     1.09218e+02
   1.11883     1.11350e+02
   1.13137     1.12798e+02
   1.14381     1.06112e+02
   1.15611     1.05183e+02
   1.16847     1.02211e+02
   1.18123     1.00933e+02
   1.19379     9.90085e+01
