# Redshift space power spectrum multipoles.
# Subtracting SN=    3.20945e+01 from monopole.
#        k              P0              P2              P4
   0.05000     8.30965e+03     4.50833e+03     6.04804e+03
   0.07000     6.83007e+03     3.63091e+03    -2.04973e+03
   0.09000     4.48185e+03     1.21470e+03    -2.09446e+03
   0.11000     3.46300e+03     1.40307e+03     1.33544e+02
   0.13000     3.07894e+03     1.73690e+03     1.15782e+03
   0.15000     2.24457e+03     1.06415e+03     3.97576e+02
   0.17000     1.82380e+03     8.08692e+02    -5.66679e+02
   0.19000     1.54626e+03     6.84995e+02     1.87590e+01
   0.21000     1.37172e+03     6.84448e+02    -1.86739e+02
   0.23000     1.21674e+03     7.24783e+02     2.28831e+02
   0.25000     9.94507e+02     3.86338e+02    -1.27353e+02
   0.27000     9.29607e+02     3.69182e+02    -1.30446e+02
   0.29000     7.82880e+02     3.57397e+02    -8.68936e+01
   0.31000     7.38078e+02     4.65830e+02     5.26866e+01
   0.33000     7.08266e+02     4.21433e+02     2.03303e+02
   0.35000     5.82706e+02     3.09777e+02     1.67385e+02
   0.37000     5.37224e+02     2.71985e+02     2.57473e+01
   0.39000     5.06317e+02     2.94914e+02     3.10132e+01
   0.41000     4.68054e+02     2.52943e+02    -5.18746e+01
   0.43000     4.20358e+02     1.99196e+02     2.00557e+01
   0.45000     3.77207e+02     1.96725e+02     4.34065e+01
   0.47000     3.66394e+02     2.22765e+02     3.28032e+01
   0.49000     3.45552e+02     2.34732e+02     6.50206e+01
   0.51000     3.29797e+02     1.73777e+02    -1.01953e+01
   0.53000     2.99324e+02     1.63980e+02     3.72946e+00
   0.55000     2.78643e+02     1.58356e+02     1.35766e+01
   0.57000     2.68175e+02     1.29646e+02     3.71856e+01
   0.59000     2.50557e+02     1.42831e+02     3.12492e+01
   0.61000     2.32925e+02     1.32204e+02    -8.26454e+00
   0.63000     2.28270e+02     1.30724e+02     3.85862e+01
   0.65000     2.11099e+02     1.22889e+02     2.51183e+01
   0.67000     2.04600e+02     1.35284e+02     1.70321e+01
   0.69000     1.95957e+02     1.25017e+02    -5.32260e+00
   0.71000     1.84229e+02     1.19718e+02     3.57769e+01
   0.73000     1.72127e+02     1.08998e+02     6.98023e+00
   0.75000     1.65089e+02     1.07787e+02     1.24822e+01
   0.77000     1.60753e+02     1.05682e+02     4.67148e+01
   0.79000     1.53801e+02     9.74920e+01     1.78803e+01
