#        k       b1_x       b1_a            Pkmm
   0.03682    2.94376    2.94873     1.11725e+03
   0.06136    2.86764    2.87811     6.90116e+02
   0.08590    2.84480    2.85934     4.61666e+02
   0.11045    2.90325    2.92434     3.02660e+02
   0.13499    2.92391    2.94219     2.46583e+02
   0.15953    2.94929    2.98207     1.76650e+02
   0.18408    2.92883    2.96552     1.39129e+02
   0.20862    2.97920    3.01684     1.13229e+02
   0.23317    3.04286    3.08475     9.47313e+01
   0.25771    2.96482    3.00530     7.61292e+01
   0.28225    3.00760    3.05369     6.72814e+01
   0.30680    3.06543    3.11610     5.57689e+01
   0.33134    3.08523    3.12935     5.03615e+01
   0.35588    3.09173    3.13962     4.16345e+01
   0.38043    3.08554    3.13385     3.69686e+01
   0.40497    3.16592    3.20582     3.35853e+01
   0.42951    3.16608    3.20751     2.95960e+01
   0.45406    3.18189    3.21400     2.59648e+01
   0.47860    3.20645    3.24488     2.38924e+01
   0.50315    3.22649    3.25199     2.17530e+01
   0.52769    3.28258    3.29858     1.98126e+01
   0.55223    3.28285    3.29827     1.81088e+01
   0.57678    3.31602    3.32898     1.71846e+01
   0.60132    3.30222    3.29958     1.51666e+01
   0.62586    3.34725    3.34327     1.43205e+01
   0.65041    3.38482    3.36951     1.30244e+01
   0.67495    3.39507    3.37243     1.24373e+01
   0.69950    3.41730    3.38730     1.15577e+01
   0.72404    3.44007    3.38987     1.07404e+01
   0.74858    3.47113    3.41476     1.00022e+01
   0.77313    3.48403    3.41796     9.52384e+00
   0.79767    3.50965    3.43050     8.85699e+00
   0.82221    3.55633    3.46875     8.27125e+00
   0.84676    3.53313    3.42884     7.72786e+00
   0.87130    3.57549    3.45056     7.58374e+00
   0.89584    3.60250    3.45458     6.86184e+00
   0.92039    3.63276    3.47119     6.67081e+00
   0.94493    3.64824    3.47313     6.26226e+00
   0.96948    3.66262    3.47522     5.96206e+00
   0.99402    3.69468    3.48589     5.76894e+00
   1.01856    3.71119    3.48835     5.53134e+00
   1.04311    3.74840    3.51266     5.24972e+00
   1.06765    3.75969    3.49990     4.97379e+00
   1.09219    3.78397    3.48718     4.70262e+00
   1.11674    3.80352    3.49785     4.58824e+00
   1.14128    3.83412    3.50457     4.39980e+00
   1.16583    3.83774    3.48859     4.19116e+00
   1.19037    3.85918    3.48012     4.00527e+00
   1.21491    3.88119    3.48105     3.83617e+00
   1.23946    3.90194    3.47293     3.71295e+00
   1.26400    3.91620    3.46260     3.52187e+00
   1.28854    3.94506    3.46521     3.39795e+00
   1.31309    3.95964    3.46841     3.29888e+00
   1.33763    4.00602    3.48623     3.17781e+00
   1.36217    4.01709    3.47704     3.10536e+00
   1.38672    4.02620    3.44116     2.95605e+00
   1.41126    4.07895    3.48292     2.88361e+00
   1.43581    4.05901    3.42978     2.77334e+00
   1.46035    4.09060    3.42815     2.66999e+00
   1.48489    4.11413    3.42320     2.61486e+00
   1.50944    4.13192    3.40464     2.50239e+00
   1.53398    4.16622    3.40608     2.42689e+00
   1.55852    4.19155    3.40522     2.35329e+00
   1.58307    4.21238    3.39030     2.27171e+00
   1.60761    4.22159    3.35751     2.19399e+00
   1.63216    4.22839    3.33594     2.16191e+00
   1.65670    4.25914    3.32834     2.05965e+00
   1.68124    4.27306    3.30207     2.02278e+00
   1.70579    4.28992    3.28711     1.96895e+00
   1.73033    4.32159    3.27687     1.90652e+00
   1.75487    4.35067    3.27480     1.84684e+00
   1.77942    4.37249    3.24963     1.79885e+00
   1.80396    4.38505    3.22423     1.75390e+00
   1.82851    4.40201    3.22595     1.73179e+00
   1.85305    4.42296    3.19610     1.67490e+00
   1.87759    4.45671    3.17971     1.62286e+00
   1.90214    4.47757    3.16286     1.58036e+00
   1.92668    4.49210    3.11959     1.53839e+00
   1.95122    4.49822    3.07329     1.48821e+00
   1.97577    4.52905    3.06627     1.45714e+00
   2.00031    4.55143    3.05504     1.42896e+00
   2.02485    4.55769    3.00151     1.39504e+00
   2.04940    4.58369    2.98747     1.36255e+00
   2.07394    4.60786    2.96633     1.33284e+00
   2.09849    4.60116    2.87004     1.28962e+00
   2.12303    4.64951    2.88841     1.26092e+00
   2.14757    4.65218    2.82528     1.23520e+00
   2.17212    4.67179    2.80735     1.21326e+00
   2.19666    4.69647    2.75639     1.17824e+00
   2.22120    4.69813    2.68473     1.15036e+00
   2.24575    4.72533    2.65383     1.12036e+00
   2.27029    4.73707    2.60457     1.09681e+00
   2.29484    4.76007    2.56286     1.07413e+00
   2.31938    4.79104    2.53527     1.05328e+00
   2.34392    4.79920    2.46721     1.03075e+00
   2.36847    4.80667    2.39342     1.00927e+00
   2.39301    4.84496    2.31484     9.72311e-01
   2.41755    4.84584    2.24325     9.58879e-01
   2.44210    4.87296    2.24164     9.47082e-01
   2.46664    4.89704    2.17082     9.21350e-01
   2.49118    4.91434    2.08302     9.03010e-01
   2.51573    4.93322    2.02507     8.85451e-01
   2.54027    4.95611    1.95963     8.68130e-01
   2.56482    4.96851    1.89150     8.54826e-01
   2.58936    4.98547    1.72420     8.27462e-01
   2.61390    5.01755    1.70090     8.14397e-01
   2.63845    5.02030    1.53830     7.97332e-01
   2.66299    5.04338    1.48015     7.87297e-01
   2.68753    5.07416    1.37571     7.69419e-01
   2.71208    5.06949    1.16090     7.56180e-01
   2.73662    5.08733    0.94525     7.38540e-01
   2.76117    5.10096    0.61956     7.20992e-01
   2.78571    5.13272    0.39931     7.06733e-01
   2.81025    5.14407    0.64015     6.92464e-01
   2.83480    5.14839    0.85153     6.85845e-01
   2.85934    5.17002    1.07178     6.70435e-01
   2.88388    5.19671    1.28083     6.54050e-01
   2.90843    5.20935    1.43641     6.44737e-01
   2.93297    5.23126    1.64567     6.27507e-01
   2.95751    5.23486    1.73436     6.20987e-01
   2.98206    5.25940    1.89667     6.05500e-01
   3.00660    5.28846    2.01039     5.92144e-01
   3.03115    5.31025    2.03584     5.87735e-01
   3.05569    5.32319    2.17780     5.74951e-01
   3.08023    5.34109    2.28787     5.65314e-01
   3.10478    5.34505    2.46738     5.52623e-01
   3.12932    5.36859    2.52306     5.44431e-01
   3.15386    5.38383    2.63245     5.35087e-01
   3.17841    5.39436    2.77199     5.23499e-01
   3.20295    5.42669    2.79997     5.17140e-01
   3.22750    5.44269    2.90052     5.08165e-01
   3.25204    5.45334    3.06424     4.95354e-01
   3.27658    5.46939    3.13438     4.88604e-01
   3.30113    5.48111    3.24076     4.79717e-01
   3.32567    5.51191    3.31538     4.70648e-01
   3.35021    5.52050    3.42694     4.62140e-01
   3.37476    5.54268    3.52854     4.53034e-01
   3.39930    5.55922    3.62556     4.44722e-01
   3.42385    5.57254    3.70484     4.38690e-01
   3.44839    5.57974    3.83108     4.29353e-01
   3.47293    5.60134    3.91216     4.22102e-01
   3.49748    5.61266    3.97888     4.17038e-01
   3.52202    5.63752    4.07105     4.08795e-01
   3.54656    5.66004    4.16360     4.00870e-01
   3.57111    5.67971    4.23693     3.94593e-01
   3.59565    5.69479    4.37261     3.85477e-01
   3.62019    5.69389    4.46318     3.80269e-01
   3.64474    5.72224    4.53078     3.73790e-01
   3.66928    5.74317    4.63389     3.66534e-01
   3.69383    5.75027    4.72037     3.60943e-01
   3.71837    5.76204    4.81164     3.55337e-01
   3.74291    5.77456    4.90567     3.49495e-01
   3.76746    5.79122    4.99121     3.43277e-01
   3.79200    5.80424    5.08969     3.37011e-01
   3.81654    5.83564    5.17309     3.30723e-01
   3.84109    5.84732    5.29311     3.24108e-01
   3.86563    5.85389    5.36324     3.20277e-01
   3.89018    5.86175    5.47711     3.14220e-01
   3.91472    5.88854    5.54564     3.09544e-01
   3.93926    5.90933    5.60894     3.05555e-01
   3.96381    5.92383    5.75867     2.97576e-01
   3.98835    5.92531    5.84593     2.93536e-01
   4.01289    5.95984    5.90000     2.89541e-01
   4.03744    5.96382    6.02643     2.83602e-01
   4.06198    5.98768    6.12500     2.78466e-01
   4.08652    5.98902    6.23517     2.73436e-01
   4.11107    6.02243    6.28661     2.69775e-01
   4.13561    6.03508    6.38083     2.65742e-01
   4.16016    6.03389    6.49755     2.61053e-01
   4.18470    6.06390    6.58834     2.56170e-01
   4.20924    6.07661    6.67592     2.52374e-01
   4.23379    6.09839    6.77191     2.47959e-01
   4.25833    6.11141    6.86594     2.44072e-01
   4.28287    6.12666    6.94872     2.40262e-01
   4.30742    6.14073    7.06442     2.35896e-01
   4.33196    6.16317    7.13625     2.32654e-01
   4.35651    6.17991    7.25999     2.27750e-01
   4.38105    6.19506    7.35787     2.24085e-01
   4.40559    6.22057    7.44028     2.20542e-01
   4.43014    6.23786    7.55108     2.16458e-01
   4.45468    6.23165    7.62929     2.14390e-01
   4.47922    6.24900    7.74087     2.10337e-01
   4.50377    6.26410    7.85082     2.06506e-01
   4.52831    6.28546    7.93551     2.03617e-01
   4.55285    6.30822    8.04961     1.99523e-01
   4.57740    6.31678    8.15383     1.96477e-01
   4.60194    6.33497    8.25436     1.93345e-01
   4.62649    6.34902    8.36463     1.89837e-01
   4.65103    6.36710    8.42689     1.87939e-01
   4.67557    6.38775    8.55534     1.84114e-01
   4.70012    6.39677    8.65627     1.81348e-01
   4.72466    6.40955    8.78919     1.77774e-01
   4.74920    6.42737    8.89185     1.74760e-01
   4.77375    6.44128    8.98537     1.72366e-01
   4.79829    6.46532    9.08011     1.69760e-01
   4.82284    6.46165    9.21602     1.66579e-01
   4.84738    6.48733    9.30248     1.64232e-01
   4.87192    6.50987    9.40242     1.61684e-01
   4.89647    6.50915    9.54648     1.58568e-01
   4.92101    6.53556    9.62479     1.56442e-01
   4.94555    6.54651    9.74929     1.53708e-01
   4.97010    6.55587    9.84236     1.51792e-01
   4.99464    6.57497    9.93535     1.49633e-01
   5.01919    6.59481   10.07760     1.46658e-01
   5.04373    6.61557   10.16729     1.44546e-01
   5.06827    6.62875   10.29377     1.42060e-01
   5.09282    6.63931   10.39318     1.40186e-01
   5.11736    6.64945   10.49292     1.38242e-01
   5.14190    6.66330   10.64858     1.35338e-01
   5.16645    6.68820   10.75479     1.33204e-01
   5.19099    6.70056   10.86965     1.31192e-01
   5.21553    6.70729   10.99262     1.29058e-01
   5.24008    6.72792   11.10222     1.27009e-01
   5.26462    6.74478   11.21775     1.25122e-01
   5.28917    6.76241   11.33110     1.23150e-01
   5.31371    6.77073   11.43773     1.21522e-01
   5.33825    6.78484   11.57029     1.19377e-01
   5.36280    6.80533   11.66968     1.17861e-01
   5.38734    6.81204   11.81634     1.15635e-01
   5.41188    6.83424   11.94474     1.13701e-01
   5.43643    6.84420   12.03537     1.12407e-01
   5.46097    6.85833   12.16166     1.10638e-01
   5.48552    6.86479   12.27180     1.09144e-01
   5.51006    6.89745   12.41299     1.07109e-01
   5.53460    6.90199   12.53121     1.05583e-01
   5.55915    6.92989   12.63187     1.04149e-01
   5.58369    6.92905   12.77601     1.02448e-01
   5.60823    6.94511   12.86202     1.01342e-01
   5.63278    6.95967   12.99540     9.97468e-02
   5.65732    6.97453   13.11086     9.83124e-02
   5.68186    6.99597   13.24764     9.67034e-02
   5.70641    7.01282   13.35557     9.54288e-02
   5.73095    6.99858   13.49235     9.41147e-02
   5.75550    7.03413   13.59260     9.28539e-02
   5.78004    7.03292   13.71108     9.16372e-02
   5.80458    7.06015   13.84664     9.01308e-02
   5.82913    7.07126   13.97258     8.88595e-02
   5.85367    7.06392   14.08565     8.77678e-02
   5.87821    7.09098   14.19889     8.66387e-02
   5.90276    7.09412   14.31895     8.55021e-02
   5.92730    7.11198   14.45111     8.42115e-02
   5.95185    7.13419   14.57125     8.29950e-02
   5.97639    7.14146   14.68612     8.19918e-02
   6.00093    7.15048   14.82882     8.07225e-02
   6.02548    7.16656   14.95642     7.96278e-02
   6.05002    7.17537   15.03844     7.88899e-02
   6.07456    7.19375   15.14938     7.79396e-02
   6.09911    7.19901   15.27799     7.68935e-02
   6.12365    7.21307   15.38221     7.60348e-02
   6.14819    7.21562   15.47298     7.53205e-02
   6.17274    7.23576   15.61780     7.41429e-02
   6.19728    7.24308   15.75332     7.30727e-02
   6.22183    7.25666   15.85789     7.22874e-02
   6.24637    7.25611   15.97967     7.14153e-02
   6.27091    7.27868   16.06413     7.07657e-02
