# Subtracting SN=    2.71366e+01.
#        k         Pk_0_HI
   0.03471     1.23687e+04
   0.04533     9.56469e+03
   0.05750     7.26255e+03
   0.07243     6.48491e+03
   0.08030     5.12162e+03
   0.09129     3.94732e+03
   0.10670     3.30894e+03
   0.11962     3.11672e+03
   0.12974     2.91229e+03
   0.14416     2.18535e+03
   0.15607     2.03677e+03
   0.16886     1.78241e+03
   0.18066     1.54354e+03
   0.19462     1.41846e+03
   0.20682     1.30270e+03
   0.21908     1.20377e+03
   0.23113     1.15055e+03
   0.24367     1.03665e+03
   0.25601     8.84314e+02
   0.26906     8.41392e+02
   0.28135     8.26398e+02
   0.29458     7.08991e+02
   0.30676     7.05892e+02
   0.31943     6.65395e+02
   0.33214     6.58038e+02
   0.34474     5.81469e+02
   0.35626     5.21125e+02
   0.36909     5.05008e+02
   0.38137     4.76309e+02
   0.39368     4.73013e+02
   0.40596     4.37788e+02
   0.41935     4.31254e+02
   0.43138     3.77152e+02
   0.44349     3.66163e+02
   0.45625     3.40711e+02
   0.46966     3.45059e+02
   0.48162     3.34362e+02
   0.49397     3.18659e+02
   0.50656     2.98116e+02
   0.51863     3.00657e+02
   0.53044     2.76656e+02
   0.54375     2.72397e+02
   0.55676     2.54906e+02
   0.56902     2.49403e+02
   0.58090     2.37509e+02
   0.59394     2.33002e+02
   0.60659     2.17548e+02
   0.61858     2.13444e+02
   0.63073     2.12842e+02
   0.64386     1.97761e+02
   0.65636     1.96395e+02
   0.66869     1.91592e+02
   0.68131     1.80550e+02
   0.69392     1.84288e+02
   0.70632     1.75455e+02
   0.71842     1.63166e+02
   0.73133     1.61639e+02
   0.74383     1.56584e+02
   0.75642     1.53465e+02
   0.76892     1.45080e+02
   0.78169     1.47220e+02
   0.79408     1.39605e+02
   0.80610     1.35027e+02
   0.81834     1.30806e+02
   0.83113     1.29677e+02
   0.84356     1.23274e+02
   0.85621     1.18918e+02
   0.86876     1.19433e+02
   0.88154     1.15505e+02
   0.89355     1.14298e+02
   0.90634     1.08763e+02
   0.91886     1.08103e+02
   0.93130     1.04174e+02
   0.94392     1.02771e+02
   0.95621     9.96916e+01
   0.96854     9.62848e+01
   0.98126     9.66879e+01
   0.99357     9.15109e+01
   1.00643     9.03528e+01
   1.01870     9.03062e+01
   1.03126     8.82760e+01
   1.04402     8.66036e+01
   1.05654     8.45307e+01
   1.06869     8.39139e+01
   1.08129     7.55984e+01
   1.09371     7.48035e+01
   1.10646     7.36417e+01
   1.11883     7.47845e+01
   1.13137     7.22738e+01
   1.14381     6.99630e+01
   1.15611     6.95769e+01
   1.16847     6.72524e+01
   1.18123     6.63905e+01
   1.19379     6.37003e+01
   1.20615     6.16645e+01
   1.21876     6.00755e+01
   1.23169     5.86078e+01
   1.24362     5.74368e+01
   1.25596     5.70780e+01
   1.26862     5.60415e+01
   1.28125     5.37845e+01
   1.29378     5.41870e+01
   1.30632     5.17126e+01
