# Redshift space power spectrum multipoles.
# Subtracting SN=    2.26226e+01 from monopole.
#        k              P0              P2              P4
   0.05000     7.77055e+03     3.62670e+03     5.19206e+03
   0.07000     6.39234e+03     2.96418e+03    -1.88417e+03
   0.09000     4.27387e+03     9.21491e+02    -1.88523e+03
   0.11000     3.29540e+03     1.05920e+03     1.44438e+01
   0.13000     2.88411e+03     1.37230e+03     1.03966e+03
   0.15000     2.13386e+03     8.18156e+02     2.75960e+02
   0.17000     1.73382e+03     6.63211e+02    -4.71659e+02
   0.19000     1.48609e+03     5.81435e+02     1.76586e+00
   0.21000     1.30937e+03     5.37902e+02    -1.76780e+02
   0.23000     1.16174e+03     6.00780e+02     2.11674e+02
   0.25000     9.41858e+02     2.79568e+02    -1.52709e+02
   0.27000     8.78772e+02     2.89357e+02    -1.32819e+02
   0.29000     7.51155e+02     2.86051e+02    -7.83061e+01
   0.31000     7.09531e+02     4.04902e+02     6.68209e+01
   0.33000     6.69231e+02     3.36351e+02     1.58565e+02
   0.35000     5.57324e+02     2.60438e+02     1.45436e+02
   0.37000     5.09394e+02     2.12888e+02     1.85246e+01
   0.39000     4.88126e+02     2.44511e+02     2.65473e+01
   0.41000     4.44969e+02     1.87875e+02    -6.61047e+01
   0.43000     4.04429e+02     1.73400e+02     2.90433e+01
   0.45000     3.63822e+02     1.58209e+02     2.46692e+01
   0.47000     3.51211e+02     1.73461e+02     1.84179e+01
   0.49000     3.30732e+02     1.97039e+02     5.62617e+01
   0.51000     3.15307e+02     1.37550e+02     7.98035e-01
   0.53000     2.91013e+02     1.35386e+02    -3.97247e+00
   0.55000     2.68682e+02     1.20180e+02    -6.06282e+00
   0.57000     2.64531e+02     1.16054e+02     2.80113e+01
   0.59000     2.42429e+02     1.17435e+02     2.36860e+01
   0.61000     2.27652e+02     1.21121e+02    -5.90457e+00
   0.63000     2.21482e+02     1.10566e+02     3.48834e+01
   0.65000     2.06830e+02     1.06642e+02     1.51823e+01
   0.67000     2.03803e+02     1.19752e+02     1.20443e+01
   0.69000     1.92737e+02     1.10716e+02     5.46011e-01
   0.71000     1.82243e+02     1.00708e+02     2.89534e+01
   0.73000     1.70004e+02     9.64667e+01     7.41188e-01
   0.75000     1.65547e+02     1.02892e+02     1.23578e+01
   0.77000     1.60035e+02     9.46877e+01     4.15920e+01
   0.79000     1.54143e+02     8.96240e+01     1.74251e+01
   0.81000     1.46088e+02     7.66000e+01     1.07134e+01
   0.83000     1.39217e+02     7.70276e+01    -4.99049e+00
   0.85000     1.32689e+02     8.24599e+01     1.17302e+00
   0.87000     1.30550e+02     7.91752e+01     2.52313e+01
   0.89000     1.25654e+02     7.70009e+01     3.53709e-01
   0.91000     1.20412e+02     8.04467e+01     2.28053e+01
   0.93000     1.14339e+02     7.69985e+01     1.77494e+01
   0.95000     1.10838e+02     6.84755e+01     4.23779e+00
   0.97000     1.07024e+02     6.98743e+01     1.90106e+01
   0.99000     1.04875e+02     6.61102e+01     1.51862e+01
   1.01000     1.01125e+02     6.01559e+01     1.23778e+01
   1.03000     9.92688e+01     6.05965e+01     1.03592e+01
   1.05000     9.54660e+01     6.27597e+01     1.13252e+01
   1.07000     9.16204e+01     6.08973e+01     1.83288e+01
   1.09000     8.63386e+01     5.25221e+01     1.18600e+01
   1.11000     8.29248e+01     5.31842e+01     2.06968e+01
   1.13000     8.41773e+01     5.19601e+01     1.11422e+01
   1.15000     7.99849e+01     4.95966e+01     1.87580e+01
   1.17000     7.78581e+01     5.11707e+01     1.75944e+00
   1.19000     7.48513e+01     4.99196e+01     9.10728e+00
   1.21000     7.25747e+01     5.53298e+01     1.08089e+01
   1.23000     6.87717e+01     4.55677e+01     1.28684e+01
   1.25000     6.73389e+01     4.76245e+01     1.16038e+01
   1.27000     6.57101e+01     4.31428e+01     5.91367e+00
   1.29000     6.29801e+01     3.97393e+01     3.11919e+00
   1.31000     6.19038e+01     4.20233e+01     1.09185e+01
   1.33000     5.93047e+01     3.72309e+01     1.62444e+01
   1.35000     5.95569e+01     3.71931e+01     7.54291e+00
   1.37000     5.66283e+01     3.72386e+01     9.13186e+00
   1.39000     5.47451e+01     3.54750e+01     9.57850e+00
   1.41000     5.40127e+01     3.48523e+01     9.70131e+00
   1.43000     5.15945e+01     3.67164e+01     1.49609e+01
   1.45000     4.99327e+01     3.36079e+01     9.99654e+00
   1.47000     4.83140e+01     3.19308e+01     7.93125e+00
   1.49000     4.62061e+01     2.87302e+01     4.96395e+00
   1.51000     4.61245e+01     2.93495e+01     5.85577e+00
   1.53000     4.39062e+01     2.70803e+01     9.48126e+00
   1.55000     4.36762e+01     2.99005e+01     1.05663e+01
   1.57000     4.17357e+01     2.80582e+01     6.98070e+00
   1.59000     4.07042e+01     2.65446e+01     4.14149e+00
   1.61000     3.93474e+01     2.56878e+01     4.80397e+00
   1.63000     3.80264e+01     2.59944e+01     9.01101e+00
   1.65000     3.74193e+01     2.63572e+01     8.95228e+00
   1.67000     3.57238e+01     2.61361e+01     8.80389e+00
   1.69000     3.47845e+01     2.44497e+01     7.27133e+00
   1.71000     3.40009e+01     2.33075e+01     5.99946e+00
   1.73000     3.27729e+01     2.36383e+01     6.77305e+00
   1.75000     3.17383e+01     2.26927e+01     8.10025e+00
   1.77000     3.07537e+01     2.16908e+01     6.62939e+00
   1.79000     2.99877e+01     1.99061e+01     7.03307e+00
   1.81000     2.97651e+01     2.03109e+01     4.66208e+00
   1.83000     2.84841e+01     1.96102e+01     7.06114e+00
   1.85000     2.80546e+01     1.99766e+01     6.62970e+00
   1.87000     2.70321e+01     1.88013e+01     7.08736e+00
   1.89000     2.67333e+01     1.92447e+01     7.08705e+00
   1.91000     2.54924e+01     1.82824e+01     6.90336e+00
   1.93000     2.46205e+01     1.80334e+01     4.31117e+00
   1.95000     2.36333e+01     1.68665e+01     5.26373e+00
   1.97000     2.31397e+01     1.65926e+01     4.10204e+00
   1.99000     2.23569e+01     1.58521e+01     4.41137e+00
   2.01000     2.18502e+01     1.51679e+01     3.52322e+00
   2.03000     2.11066e+01     1.52728e+01     4.26166e+00
   2.05000     2.04924e+01     1.48481e+01     4.68922e+00
   2.07000     2.00308e+01     1.48372e+01     5.72136e+00
   2.09000     1.93022e+01     1.46403e+01     4.98176e+00
   2.11000     1.82680e+01     1.35616e+01     4.31910e+00
   2.13000     1.77576e+01     1.27566e+01     3.86257e+00
   2.15000     1.72039e+01     1.21851e+01     2.81053e+00
   2.17000     1.70241e+01     1.33520e+01     4.96229e+00
   2.19000     1.61637e+01     1.27403e+01     5.13489e+00
   2.21000     1.54948e+01     1.14301e+01     3.00100e+00
   2.23000     1.49578e+01     1.18148e+01     4.92449e+00
   2.25000     1.43664e+01     1.13011e+01     2.39052e+00
   2.27000     1.38049e+01     1.09830e+01     2.37183e+00
   2.29000     1.37936e+01     1.10416e+01     5.38549e+00
   2.31000     1.30457e+01     1.06982e+01     4.36546e+00
   2.33000     1.23733e+01     1.00016e+01     3.60859e+00
   2.35000     1.20121e+01     1.01078e+01     2.83587e+00
   2.37000     1.14304e+01     1.00757e+01     4.41266e+00
   2.39000     1.12867e+01     9.58659e+00     3.38198e+00
   2.41000     1.04414e+01     9.10469e+00     3.00366e+00
   2.43000     1.00611e+01     8.49763e+00     3.17395e+00
   2.45000     9.90837e+00     8.73490e+00     2.69313e+00
   2.47000     9.35685e+00     8.63733e+00     3.80105e+00
   2.49000     8.95353e+00     8.35545e+00     2.90066e+00
   2.51000     8.45679e+00     8.69285e+00     4.75240e+00
   2.53000     8.18832e+00     7.36436e+00     4.07111e+00
   2.55000     7.89922e+00     7.16564e+00     3.01651e+00
   2.57000     7.33263e+00     7.62529e+00     3.09873e+00
   2.59000     6.87161e+00     6.87395e+00     3.23558e+00
   2.61000     6.64595e+00     7.40610e+00     4.20726e+00
   2.63000     6.36527e+00     6.99845e+00     2.90392e+00
   2.65000     6.11854e+00     6.99740e+00     2.42038e+00
   2.67000     5.55049e+00     6.60925e+00     2.98807e+00
   2.69000     5.38036e+00     6.14320e+00     2.15942e+00
   2.71000     4.97594e+00     5.83888e+00     3.70107e+00
   2.73000     4.71553e+00     5.80436e+00     3.38015e+00
   2.75000     4.34868e+00     6.19996e+00     2.64475e+00
   2.77000     3.91534e+00     5.73154e+00     1.97119e+00
   2.79000     3.78732e+00     5.22069e+00     2.38232e+00
   2.81000     3.43264e+00     5.73559e+00     2.50525e+00
   2.83000     3.07224e+00     5.59015e+00     2.63111e+00
   2.85000     2.81873e+00     5.10307e+00     3.09308e+00
   2.87000     2.58408e+00     5.20394e+00     2.81965e+00
   2.89000     2.18298e+00     5.00260e+00     1.66068e+00
   2.91000     1.96239e+00     4.62443e+00     2.54332e+00
   2.93000     1.69972e+00     4.64964e+00     2.19733e+00
   2.95000     1.39063e+00     4.61116e+00     2.43329e+00
   2.97000     1.07075e+00     4.45241e+00     1.93827e+00
   2.99000     8.18246e-01     4.48544e+00     2.00602e+00
   3.01000     5.42258e-01     4.16439e+00     1.51988e+00
   3.03000     4.26636e-01     3.78341e+00     2.04086e+00
   3.05000     1.56517e-01     4.05672e+00     2.43380e+00
   3.07000    -1.00826e-01     3.91193e+00     2.33366e+00
   3.09000    -3.45731e-01     3.72766e+00     1.62609e+00
   3.11000    -5.71065e-01     3.49814e+00     1.72676e+00
   3.13000    -7.80140e-01     3.55217e+00     1.99494e+00
   3.15000    -1.21305e+00     3.51332e+00     1.90113e+00
   3.17000    -1.36720e+00     3.32606e+00     1.86705e+00
   3.19000    -1.52589e+00     3.36354e+00     1.97659e+00
   3.21000    -1.78040e+00     3.30371e+00     2.40711e+00
   3.23000    -1.94137e+00     2.73341e+00     1.55970e+00
   3.25000    -2.23119e+00     3.00963e+00     1.50433e+00
   3.27000    -2.47681e+00     2.96070e+00     1.93392e+00
   3.29000    -2.56280e+00     2.76923e+00     1.66427e+00
   3.31000    -2.91063e+00     2.43883e+00     1.33980e+00
   3.33000    -2.96968e+00     3.03892e+00     1.76147e+00
   3.35000    -3.41517e+00     2.82819e+00     1.63237e+00
