#        k       b1_x       b1_a            Pkmm
   0.03682    2.17372    2.60687     1.20204e+03
   0.06136    0.01814    0.12476     3.10406e+05
   0.08590    0.03928    0.43981     1.65562e+04
   0.11045    0.01733    0.21119     4.89560e+04
   0.13499    0.16283    0.77886     2.96367e+03
   0.15953    0.08785    0.44212     6.73550e+03
   0.18408    0.10642    0.57548     3.11019e+03
   0.20862    0.68843    1.42756     4.24247e+02
   0.23317    0.39526    1.11542     6.02681e+02
   0.25771    0.15223    0.69363     1.20114e+03
   0.28225    0.45367    1.13206     4.09708e+02
   0.30680    0.17544    0.77643     7.48337e+02
   0.33134    0.42448    1.12157     3.26414e+02
   0.35588    0.24841    0.86198     4.61225e+02
   0.38043    0.50519    1.24065     1.97486e+02
   0.40497    0.70820    1.45962     1.34894e+02
   0.42951    0.64413    1.39970     1.29419e+02
   0.45406    0.36504    1.11002     1.82115e+02
   0.47860    0.60472    1.38082     1.09924e+02
   0.50315    0.40305    1.14066     1.47909e+02
   0.52769    0.60141    1.39795     9.22476e+01
   0.55223    0.44164    1.20980     1.12687e+02
   0.57678    0.67528    1.46890     7.37736e+01
   0.60132    0.70961    1.51093     6.08622e+01
   0.62586    0.67813    1.48299     6.10639e+01
   0.65041    0.56810    1.36196     6.70140e+01
   0.67495    0.66664    1.50043     5.29240e+01
   0.69950    0.59773    1.38931     5.80382e+01
   0.72404    0.65738    1.48601     4.72950e+01
   0.74858    0.59127    1.40813     4.98490e+01
   0.77313    0.73069    1.54898     3.93558e+01
   0.79767    0.74441    1.60007     3.46375e+01
   0.82221    0.75575    1.60394     3.29684e+01
   0.84676    0.66331    1.50614     3.44196e+01
   0.87130    0.74981    1.61904     2.95602e+01
   0.89584    0.69624    1.53282     3.00610e+01
   0.92039    0.73822    1.60456     2.70109e+01
   0.94493    0.71566    1.54547     2.75223e+01
   0.96948    0.77976    1.62582     2.36996e+01
   0.99402    0.80029    1.66505     2.20868e+01
   1.01856    0.79592    1.66503     2.12910e+01
   1.04311    0.77059    1.63541     2.12187e+01
   1.06765    0.79104    1.65388     1.96437e+01
   1.09219    0.80170    1.65779     1.85498e+01
   1.11674    0.80362    1.67493     1.78480e+01
   1.14128    0.78852    1.65936     1.76227e+01
   1.16583    0.82327    1.66832     1.64945e+01
   1.19037    0.83958    1.71260     1.50303e+01
   1.21491    0.84266    1.70085     1.46777e+01
   1.23946    0.83192    1.68848     1.44314e+01
   1.26400    0.83300    1.69802     1.35694e+01
   1.28854    0.86349    1.72358     1.27698e+01
   1.31309    0.85024    1.71113     1.26737e+01
   1.33763    0.83417    1.71842     1.22601e+01
   1.36217    0.89050    1.74092     1.16527e+01
   1.38672    0.88787    1.74657     1.09792e+01
   1.41126    0.90208    1.74847     1.08971e+01
   1.43581    0.87082    1.72892     1.05547e+01
   1.46035    0.88603    1.73983     1.00812e+01
   1.48489    0.90564    1.77093     9.57201e+00
   1.50944    0.90176    1.76250     9.25691e+00
   1.53398    0.89629    1.75576     9.07821e+00
   1.55852    0.91889    1.77753     8.63772e+00
   1.58307    0.93902    1.78834     8.24003e+00
   1.60761    0.91867    1.77460     8.07218e+00
   1.63216    0.93202    1.76115     8.04246e+00
   1.65670    0.92167    1.77675     7.55642e+00
   1.68124    0.95545    1.78627     7.29928e+00
   1.70579    0.93795    1.77138     7.24350e+00
   1.73033    0.94060    1.77231     7.05236e+00
   1.75487    0.95867    1.78009     6.80533e+00
   1.77942    0.95938    1.78319     6.57844e+00
   1.80396    0.96663    1.78318     6.41084e+00
   1.82851    0.95936    1.78147     6.35331e+00
   1.85305    0.97882    1.78949     6.07101e+00
   1.87759    0.99075    1.80446     5.81324e+00
   1.90214    0.98985    1.79667     5.71164e+00
   1.92668    0.97958    1.78116     5.61571e+00
   1.95122    0.99523    1.78265     5.39778e+00
   1.97577    1.00009    1.79965     5.19627e+00
   2.00031    1.00737    1.79681     5.13044e+00
   2.02485    1.00626    1.77595     5.08278e+00
   2.04940    1.02810    1.78512     4.90976e+00
   2.07394    1.03430    1.79510     4.75597e+00
   2.09849    1.01264    1.75836     4.70184e+00
   2.12303    1.00987    1.77027     4.60286e+00
   2.14757    1.02386    1.77494     4.42138e+00
   2.17212    1.04905    1.78134     4.31110e+00
   2.19666    1.03241    1.77671     4.19211e+00
   2.22120    1.02907    1.75505     4.14501e+00
   2.24575    1.03511    1.75613     4.01856e+00
   2.27029    1.04509    1.76441     3.88779e+00
   2.29484    1.05085    1.75459     3.84409e+00
   2.31938    1.03590    1.74011     3.82086e+00
   2.34392    1.05261    1.74875     3.65960e+00
   2.36847    1.06891    1.74711     3.55579e+00
   2.39301    1.06393    1.74077     3.45398e+00
   2.41755    1.06674    1.71807     3.45083e+00
   2.44210    1.08080    1.73305     3.35866e+00
   2.46664    1.08472    1.73240     3.25799e+00
   2.49118    1.08047    1.71612     3.22269e+00
   2.51573    1.07797    1.70987     3.16247e+00
   2.54027    1.09400    1.71433     3.06944e+00
   2.56482    1.10247    1.71154     3.01385e+00
   2.58936    1.09148    1.69066     2.93118e+00
   2.61390    1.09266    1.69382     2.88942e+00
   2.63845    1.09734    1.68403     2.80643e+00
   2.66299    1.11659    1.68062     2.76652e+00
   2.68753    1.11436    1.67811     2.70517e+00
   2.71208    1.10317    1.65711     2.67415e+00
   2.73662    1.11945    1.64199     2.61404e+00
   2.76117    1.12550    1.63816     2.52670e+00
   2.78571    1.13536    1.63878     2.48213e+00
   2.81025    1.12704    1.60940     2.46723e+00
   2.83480    1.14169    1.61234     2.39573e+00
   2.85934    1.13773    1.60521     2.34163e+00
   2.88388    1.13259    1.58903     2.29622e+00
   2.90843    1.13047    1.57249     2.26949e+00
   2.93297    1.13985    1.55761     2.21125e+00
   2.95751    1.15445    1.55389     2.16351e+00
   2.98206    1.15350    1.53537     2.12461e+00
   3.00660    1.15291    1.51819     2.09736e+00
   3.03115    1.16601    1.52899     2.05290e+00
   3.05569    1.16965    1.50950     2.01180e+00
   3.08023    1.17001    1.49047     1.99088e+00
   3.10478    1.16123    1.45373     1.96041e+00
   3.12932    1.17640    1.46231     1.89584e+00
