# Subtracting SN=    9.39155e+00.
#        k         Pk_0_HI
   0.03471     1.04278e+04
   0.04533     8.01088e+03
   0.05750     6.15190e+03
   0.07243     5.45742e+03
   0.08030     4.34273e+03
   0.09129     3.38011e+03
   0.10670     2.81531e+03
   0.11962     2.63096e+03
   0.12974     2.44200e+03
   0.14416     1.86033e+03
   0.15607     1.72393e+03
   0.16886     1.50593e+03
   0.18066     1.30404e+03
   0.19462     1.21200e+03
   0.20682     1.10132e+03
   0.21908     1.01773e+03
   0.23113     9.65846e+02
   0.24367     8.73560e+02
   0.25601     7.40819e+02
   0.26906     7.07865e+02
   0.28135     6.92587e+02
   0.29458     5.99584e+02
   0.30676     5.93765e+02
   0.31943     5.59454e+02
   0.33214     5.46149e+02
   0.34474     4.84349e+02
   0.35626     4.37650e+02
   0.36909     4.24459e+02
   0.38137     3.99050e+02
   0.39368     3.98143e+02
   0.40596     3.62935e+02
   0.41935     3.61788e+02
   0.43138     3.17215e+02
   0.44349     3.06030e+02
   0.45625     2.87911e+02
   0.46966     2.87494e+02
   0.48162     2.78997e+02
   0.49397     2.66877e+02
   0.50656     2.48629e+02
   0.51863     2.52907e+02
   0.53044     2.32868e+02
   0.54375     2.28399e+02
   0.55676     2.14336e+02
   0.56902     2.14393e+02
   0.58090     2.01040e+02
   0.59394     1.94494e+02
   0.60659     1.83030e+02
   0.61858     1.79179e+02
   0.63073     1.78751e+02
   0.64386     1.67452e+02
   0.65636     1.66679e+02
   0.66869     1.64535e+02
   0.68131     1.52384e+02
   0.69392     1.56615e+02
   0.70632     1.48579e+02
   0.71842     1.40914e+02
   0.73133     1.36211e+02
   0.74383     1.34951e+02
   0.75642     1.32189e+02
   0.76892     1.23978e+02
   0.78169     1.26604e+02
   0.79408     1.19413e+02
   0.80610     1.15702e+02
   0.81834     1.13192e+02
   0.83113     1.11518e+02
   0.84356     1.08122e+02
   0.85621     1.03362e+02
   0.86876     1.03935e+02
   0.88154     1.01737e+02
   0.89355     9.84905e+01
   0.90634     9.51438e+01
   0.91886     9.33151e+01
   0.93130     9.08469e+01
   0.94392     8.89279e+01
   0.95621     8.69780e+01
   0.96854     8.56693e+01
   0.98126     8.37554e+01
   0.99357     8.09806e+01
   1.00643     7.97041e+01
   1.01870     7.94463e+01
   1.03126     7.74480e+01
   1.04402     7.71470e+01
   1.05654     7.46298e+01
   1.06869     7.35558e+01
   1.08129     6.83995e+01
   1.09371     6.75570e+01
   1.10646     6.54898e+01
   1.11883     6.69389e+01
   1.13137     6.55411e+01
   1.14381     6.32238e+01
   1.15611     6.25962e+01
   1.16847     6.14172e+01
   1.18123     6.00095e+01
   1.19379     5.84145e+01
   1.20615     5.68010e+01
   1.21876     5.56357e+01
   1.23169     5.45422e+01
   1.24362     5.35313e+01
   1.25596     5.27042e+01
   1.26862     5.18105e+01
   1.28125     4.99709e+01
   1.29378     5.01675e+01
   1.30632     4.92775e+01
   1.31873     4.75054e+01
   1.33129     4.72027e+01
   1.34365     4.75942e+01
   1.35617     4.57231e+01
   1.36877     4.52294e+01
   1.38124     4.43738e+01
   1.39384     4.25351e+01
   1.40620     4.27610e+01
   1.41870     4.24097e+01
   1.43133     4.09980e+01
   1.44395     3.98719e+01
   1.45629     3.96299e+01
   1.46888     3.82582e+01
   1.48123     3.79019e+01
   1.49385     3.64320e+01
   1.50637     3.75713e+01
   1.51879     3.55668e+01
   1.53118     3.50897e+01
   1.54377     3.53752e+01
   1.55620     3.43850e+01
   1.56872     3.40933e+01
   1.58120     3.24106e+01
   1.59371     3.27002e+01
   1.60599     3.17160e+01
   1.61865     3.13190e+01
   1.63133     3.07581e+01
   1.64389     2.99991e+01
   1.65620     2.97472e+01
