# Redshift space power spectrum multipoles.
# Subtracting SN=    2.64609e+01 from monopole.
#        k              P0              P2              P4
   0.05000     8.91764e+03     6.11721e+03     7.36470e+03
   0.07000     7.30299e+03     4.78651e+03    -2.41704e+03
   0.09000     4.68929e+03     1.77473e+03    -2.30464e+03
   0.11000     3.58900e+03     1.93812e+03     3.19253e+02
   0.13000     3.26728e+03     2.34720e+03     1.22341e+03
   0.15000     2.34074e+03     1.47903e+03     6.36840e+02
   0.17000     1.90103e+03     1.04661e+03    -7.19596e+02
   0.19000     1.56530e+03     7.59328e+02     1.26822e+01
   0.21000     1.42090e+03     8.93525e+02    -2.29165e+02
   0.23000     1.24115e+03     8.70651e+02     2.58110e+02
   0.25000     1.04513e+03     5.67606e+02    -2.52642e+01
   0.27000     9.76624e+02     5.02472e+02    -9.52457e+01
   0.29000     8.02385e+02     4.37751e+02    -9.63954e+01
   0.31000     7.51102e+02     5.33808e+02     3.64732e+01
   0.33000     7.29350e+02     4.98369e+02     2.32927e+02
   0.35000     5.98677e+02     3.40592e+02     1.66967e+02
   0.37000     5.56299e+02     3.36806e+02     4.00951e+01
   0.39000     5.11806e+02     3.27704e+02     5.29834e+01
   0.41000     4.82168e+02     3.13799e+02    -3.43029e+01
   0.43000     4.22976e+02     2.19865e+02     1.92230e+01
   0.45000     3.86327e+02     2.33963e+02     8.50497e+01
   0.47000     3.66371e+02     2.39583e+02     3.71870e+01
   0.49000     3.47845e+02     2.24769e+02     4.22361e+01
   0.51000     3.31398e+02     1.99168e+02     1.79958e-01
   0.53000     3.01545e+02     1.71139e+02    -2.88621e+00
   0.55000     2.78390e+02     1.66063e+02     1.06344e+01
   0.57000     2.60809e+02     1.30048e+02     6.17630e+01
   0.59000     2.46272e+02     1.33268e+02     4.15324e+01
   0.61000     2.33780e+02     1.16152e+02    -4.50986e+00
   0.63000     2.25315e+02     1.21117e+02     3.38257e+01
   0.65000     2.06203e+02     1.02730e+02     2.74038e+01
   0.67000     1.94710e+02     1.13752e+02     1.73311e+01
   0.69000     1.90617e+02     1.06589e+02    -2.37235e+00
   0.71000     1.77878e+02     1.08937e+02     3.87567e+01
   0.73000     1.67793e+02     9.09486e+01     9.28571e+00
   0.75000     1.54680e+02     7.32613e+01     1.81771e+01
   0.77000     1.54404e+02     8.27719e+01     3.99603e+01
