#        k       b1_x       b1_a            Pkmm
   0.03682    2.87539    2.87959     1.23574e+03
   0.06136    2.80512    2.81398     7.63544e+02
   0.08590    2.77933    2.79167     5.09584e+02
   0.11045    2.83895    2.85667     3.34454e+02
   0.13499    2.86052    2.87513     2.72898e+02
   0.15953    2.88618    2.91378     1.95478e+02
   0.18408    2.86735    2.89757     1.53819e+02
   0.20862    2.91700    2.94753     1.25223e+02
   0.23317    2.98056    3.01330     1.05137e+02
   0.25771    2.90608    2.93582     8.43248e+01
   0.28225    2.94868    2.98274     7.46771e+01
   0.30680    3.00547    3.04178     6.19034e+01
   0.33134    3.02703    3.05603     5.60646e+01
   0.35588    3.03614    3.06587     4.62928e+01
   0.38043    3.02932    3.05797     4.11396e+01
   0.40497    3.10688    3.12558     3.74211e+01
   0.42951    3.11089    3.12903     3.30235e+01
   0.45406    3.12489    3.13022     2.89431e+01
   0.47860    3.15399    3.16351     2.67134e+01
   0.50315    3.17296    3.16758     2.42969e+01
   0.52769    3.22720    3.21047     2.21548e+01
   0.55223    3.22757    3.20693     2.02773e+01
   0.57678    3.26366    3.23951     1.92568e+01
   0.60132    3.25111    3.20730     1.70076e+01
   0.62586    3.29620    3.24841     1.60708e+01
   0.65041    3.33502    3.27222     1.46315e+01
   0.67495    3.34611    3.27490     1.39772e+01
   0.69950    3.36630    3.28485     1.29991e+01
   0.72404    3.39057    3.28564     1.21165e+01
   0.74858    3.42356    3.30946     1.12777e+01
   0.77313    3.43810    3.31217     1.07412e+01
   0.79767    3.46273    3.32011     1.00165e+01
   0.82221    3.50824    3.35339     9.35264e+00
   0.84676    3.48905    3.31317     8.73948e+00
   0.87130    3.53185    3.33599     8.58219e+00
   0.89584    3.56094    3.33515     7.78552e+00
   0.92039    3.58802    3.34706     7.55819e+00
   0.94493    3.60713    3.34874     7.09304e+00
   0.96948    3.62036    3.34651     6.78108e+00
   0.99402    3.65107    3.35330     6.56065e+00
   1.01856    3.66761    3.35313     6.28766e+00
   1.04311    3.70747    3.37600     5.99168e+00
   1.06765    3.71979    3.36134     5.68106e+00
   1.09219    3.74526    3.34473     5.36277e+00
   1.11674    3.76271    3.35123     5.23593e+00
   1.14128    3.79292    3.35338     5.01677e+00
   1.16583    3.80124    3.33993     4.80081e+00
   1.19037    3.81952    3.32127     4.57783e+00
   1.21491    3.84380    3.32201     4.38865e+00
   1.23946    3.86421    3.31028     4.25172e+00
   1.26400    3.88079    3.29462     4.03421e+00
   1.28854    3.90814    3.29394     3.90166e+00
   1.31309    3.92695    3.29690     3.78150e+00
   1.33763    3.96892    3.30916     3.65246e+00
   1.36217    3.98260    3.29886     3.56975e+00
   1.38672    3.99072    3.25401     3.39794e+00
   1.41126    4.04127    3.29361     3.31996e+00
   1.43581    4.02723    3.23987     3.19714e+00
   1.46035    4.05896    3.23470     3.08104e+00
   1.48489    4.08168    3.22542     3.01323e+00
   1.50944    4.09912    3.20001     2.88850e+00
   1.53398    4.13757    3.20225     2.80401e+00
   1.55852    4.15993    3.19448     2.72389e+00
   1.58307    4.18350    3.17707     2.63184e+00
   1.60761    4.19157    3.13374     2.53688e+00
   1.63216    4.19852    3.10948     2.50050e+00
   1.65670    4.23440    3.10334     2.38979e+00
   1.68124    4.24695    3.07128     2.34564e+00
   1.70579    4.26153    3.04585     2.28405e+00
   1.73033    4.29230    3.02618     2.21148e+00
   1.75487    4.32446    3.02551     2.14379e+00
   1.77942    4.34481    2.99749     2.09361e+00
   1.80396    4.35948    2.96656     2.03995e+00
   1.82851    4.37636    2.96564     2.01589e+00
   1.85305    4.39883    2.93185     1.95176e+00
   1.87759    4.42992    2.90226     1.89022e+00
   1.90214    4.45433    2.88443     1.84275e+00
   1.92668    4.46966    2.83387     1.79435e+00
   1.95122    4.47631    2.77757     1.73611e+00
   1.97577    4.50772    2.76834     1.70384e+00
   2.00031    4.53179    2.75474     1.67030e+00
   2.02485    4.53326    2.68138     1.63175e+00
   2.04940    4.56409    2.66807     1.59411e+00
   2.07394    4.59084    2.64606     1.55906e+00
   2.09849    4.58606    2.53586     1.51011e+00
   2.12303    4.63379    2.55046     1.47812e+00
   2.14757    4.63650    2.48064     1.45014e+00
   2.17212    4.65675    2.45544     1.42405e+00
   2.19666    4.68192    2.39025     1.38380e+00
   2.22120    4.68542    2.30337     1.35091e+00
   2.24575    4.71402    2.27371     1.31980e+00
   2.27029    4.72264    2.19144     1.29017e+00
   2.29484    4.74959    2.14248     1.26156e+00
   2.31938    4.78062    2.11443     1.24041e+00
   2.34392    4.79293    2.04412     1.21560e+00
   2.36847    4.80251    1.94443     1.18906e+00
   2.39301    4.83626    1.81090     1.14535e+00
   2.41755    4.83802    1.72359     1.12941e+00
   2.44210    4.86611    1.71766     1.11645e+00
   2.46664    4.88755    1.61349     1.08747e+00
   2.49118    4.90973    1.49372     1.06526e+00
   2.51573    4.92448    1.39627     1.04568e+00
   2.54027    4.94763    1.29632     1.02622e+00
   2.56482    4.96534    1.17442     1.00807e+00
   2.58936    4.98239    0.89178     9.78727e-01
   2.61390    5.01773    0.84736     9.63191e-01
   2.63845    5.02107    0.40456     9.43515e-01
   2.66299    5.04530    0.16407     9.33422e-01
   2.68753    5.07724    0.56002     9.11041e-01
   2.71208    5.07121    0.94894     8.95173e-01
   2.73662    5.08764    1.16438     8.76428e-01
   2.76117    5.10990    1.34983     8.56379e-01
   2.78571    5.13709    1.46908     8.37425e-01
   2.81025    5.15358    1.64966     8.20822e-01
   2.83480    5.15762    1.72314     8.15331e-01
   2.85934    5.17997    1.86074     7.95677e-01
   2.88388    5.20350    1.99631     7.77770e-01
   2.90843    5.21590    2.10460     7.66712e-01
   2.93297    5.23984    2.26440     7.45697e-01
   2.95751    5.24858    2.32565     7.38176e-01
   2.98206    5.27354    2.44584     7.20721e-01
   3.00660    5.30414    2.53572     7.05897e-01
   3.03115    5.32495    2.57001     6.99193e-01
   3.05569    5.33511    2.69489     6.84510e-01
   3.08023    5.35509    2.78247     6.73044e-01
   3.10478    5.35987    2.93388     6.58434e-01
   3.12932    5.38292    2.99326     6.48627e-01
   3.15386    5.40067    3.07800     6.38004e-01
   3.17841    5.41743    3.19775     6.24173e-01
   3.20295    5.44530    3.22990     6.16955e-01
   3.22750    5.46241    3.31905     6.06221e-01
   3.25204    5.47479    3.46968     5.91058e-01
   3.27658    5.49354    3.52266     5.83848e-01
   3.30113    5.49998    3.63365     5.72782e-01
