# Subtracting SN=    2.81499e+01.
#        k         Pk_0_HI
   0.03471     1.36244e+04
   0.04533     1.01528e+04
   0.05750     7.85078e+03
   0.07243     7.08428e+03
   0.08030     5.42428e+03
   0.09129     4.39086e+03
   0.10670     3.71330e+03
   0.11962     3.47638e+03
   0.12974     3.11027e+03
   0.14416     2.42940e+03
   0.15607     2.31362e+03
   0.16886     2.02429e+03
   0.18066     1.72571e+03
   0.19462     1.62537e+03
   0.20682     1.47571e+03
   0.21908     1.38666e+03
   0.23113     1.31206e+03
   0.24367     1.19207e+03
   0.25601     9.87667e+02
   0.26906     9.55504e+02
   0.28135     9.34511e+02
   0.29458     8.26559e+02
   0.30676     8.30401e+02
   0.31943     7.74319e+02
   0.33214     7.49476e+02
   0.34474     6.65798e+02
   0.35626     6.05179e+02
   0.36909     5.92705e+02
   0.38137     5.51359e+02
   0.39368     5.61820e+02
   0.40596     5.06709e+02
   0.41935     5.09122e+02
   0.43138     4.50114e+02
   0.44349     4.37083e+02
   0.45625     4.09836e+02
   0.46966     4.07535e+02
   0.48162     3.95186e+02
   0.49397     3.78103e+02
   0.50656     3.55329e+02
   0.51863     3.68354e+02
   0.53044     3.33409e+02
   0.54375     3.30445e+02
   0.55676     3.06848e+02
   0.56902     3.16726e+02
   0.58090     2.94344e+02
   0.59394     2.79254e+02
   0.60659     2.70398e+02
   0.61858     2.63052e+02
   0.63073     2.62155e+02
   0.64386     2.49528e+02
   0.65636     2.45642e+02
   0.66869     2.47936e+02
   0.68131     2.26150e+02
   0.69392     2.32626e+02
   0.70632     2.19863e+02
   0.71842     2.12354e+02
   0.73133     1.99493e+02
   0.74383     2.03631e+02
   0.75642     1.99113e+02
   0.76892     1.88298e+02
   0.78169     1.92966e+02
   0.79408     1.79668e+02
   0.80610     1.74373e+02
   0.81834     1.74692e+02
   0.83113     1.70463e+02
   0.84356     1.65744e+02
   0.85621     1.56637e+02
   0.86876     1.58152e+02
   0.88154     1.57693e+02
   0.89355     1.48495e+02
   0.90634     1.46729e+02
   0.91886     1.43115e+02
   0.93130     1.41015e+02
   0.94392     1.37094e+02
   0.95621     1.33186e+02
   0.96854     1.33266e+02
   0.98126     1.30308e+02
   0.99357     1.27748e+02
   1.00643     1.25390e+02
   1.01870     1.23775e+02
   1.03126     1.20585e+02
   1.04402     1.20766e+02
   1.05654     1.16466e+02
   1.06869     1.14082e+02
   1.08129     1.09461e+02
   1.09371     1.06467e+02
   1.10646     1.03014e+02
   1.11883     1.05231e+02
   1.13137     1.05904e+02
   1.14381     1.00132e+02
   1.15611     9.90166e+01
   1.16847     9.66325e+01
   1.18123     9.49924e+01
   1.19379     9.31738e+01
   1.20615     9.10608e+01
   1.21876     8.93947e+01
   1.23169     8.73027e+01
   1.24362     8.57959e+01
   1.25596     8.40811e+01
   1.26862     8.33081e+01
   1.28125     8.18355e+01
   1.29378     7.92830e+01
   1.30632     7.94495e+01
   1.31873     7.57320e+01
   1.33129     7.52276e+01
   1.34365     7.66841e+01
   1.35617     7.41766e+01
   1.36877     7.30511e+01
   1.38124     7.11568e+01
   1.39384     6.91253e+01
   1.40620     6.93851e+01
   1.41870     6.91501e+01
   1.43133     6.55394e+01
   1.44395     6.38738e+01
   1.45629     6.44098e+01
   1.46888     6.21365e+01
   1.48123     6.19358e+01
   1.49385     5.85617e+01
   1.50637     5.98003e+01
   1.51879     5.79774e+01
   1.53118     5.75504e+01
   1.54377     5.79576e+01
   1.55620     5.51585e+01
   1.56872     5.63624e+01
   1.58120     5.23133e+01
   1.59371     5.29895e+01
   1.60599     5.12170e+01
   1.61865     5.11059e+01
   1.63133     5.01879e+01
   1.64389     4.87942e+01
   1.65620     4.87676e+01
   1.66875     4.82814e+01
   1.68124     4.62340e+01
   1.69373     4.56148e+01
   1.70613     4.53937e+01
   1.71876     4.37232e+01
   1.73122     4.31239e+01
   1.74388     4.21040e+01
   1.75630     4.25139e+01
   1.76889     4.09961e+01
   1.78135     4.10449e+01
   1.79367     4.03905e+01
   1.80623     4.00937e+01
   1.81883     3.97789e+01
   1.83105     3.86792e+01
   1.84372     3.74712e+01
   1.85626     3.76982e+01
   1.86877     3.70333e+01
   1.88126     3.62540e+01
   1.89376     3.59465e+01
   1.90612     3.51776e+01
   1.91872     3.40123e+01
   1.93133     3.29283e+01
   1.94390     3.31852e+01
   1.95627     3.22860e+01
   1.96884     3.22378e+01
   1.98128     3.15903e+01
   1.99360     3.10391e+01
   2.00601     3.03045e+01
   2.01865     3.01750e+01
   2.03129     2.88515e+01
   2.04372     2.89177e+01
   2.05627     2.80108e+01
   2.06890     2.78768e+01
   2.08129     2.75555e+01
   2.09355     2.67080e+01
   2.10609     2.54127e+01
   2.11865     2.61507e+01
   2.13110     2.49313e+01
   2.14358     2.41736e+01
   2.15632     2.41328e+01
   2.16888     2.40469e+01
   2.18136     2.36110e+01
   2.19375     2.27794e+01
   2.20648     2.24194e+01
   2.21891     2.19112e+01
   2.23127     2.16083e+01
   2.24362     2.07145e+01
   2.25610     2.03606e+01
   2.26860     2.04034e+01
   2.28134     1.97038e+01
   2.29396     2.01522e+01
   2.30651     1.90896e+01
   2.31883     1.85386e+01
   2.33131     1.84616e+01
   2.34379     1.77235e+01
   2.35620     1.72882e+01
   2.36856     1.72757e+01
   2.38127     1.68458e+01
   2.39387     1.64614e+01
   2.40629     1.58156e+01
   2.41869     1.58189e+01
   2.43124     1.51521e+01
   2.44369     1.47974e+01
   2.45637     1.43572e+01
   2.46879     1.41692e+01
   2.48121     1.37495e+01
   2.49370     1.39414e+01
   2.50623     1.31926e+01
   2.51865     1.28791e+01
   2.53107     1.27833e+01
   2.54368     1.24346e+01
   2.55639     1.19613e+01
   2.56875     1.18537e+01
   2.58134     1.14113e+01
   2.59382     1.09530e+01
   2.60628     1.10508e+01
   2.61873     1.06920e+01
   2.63125     1.05777e+01
   2.64375     1.01807e+01
   2.65626     9.78557e+00
   2.66870     9.54504e+00
   2.68122     9.05812e+00
   2.69374     8.89074e+00
   2.70638     8.58489e+00
   2.71888     8.14365e+00
   2.73125     7.96843e+00
   2.74389     8.11848e+00
   2.75628     7.40553e+00
