# Redshift space power spectrum multipoles.
# Subtracting SN=    5.48578e+01 from monopole.
#        k              P0              P2              P4
   0.05000     9.24797e+03     6.27361e+03     7.59277e+03
   0.07000     7.56080e+03     4.89705e+03    -2.55032e+03
   0.09000     4.84567e+03     1.78436e+03    -2.42125e+03
   0.11000     3.72279e+03     1.98765e+03     3.22785e+02
   0.13000     3.37903e+03     2.41933e+03     1.28339e+03
   0.15000     2.42376e+03     1.52970e+03     6.68694e+02
   0.17000     1.96504e+03     1.09123e+03    -7.56049e+02
   0.19000     1.61987e+03     8.05922e+02     2.21955e+01
   0.21000     1.46655e+03     9.37856e+02    -2.30949e+02
   0.23000     1.28584e+03     9.21667e+02     2.65156e+02
   0.25000     1.07702e+03     5.92812e+02    -4.04617e+01
   0.27000     1.00921e+03     5.39157e+02    -1.02116e+02
   0.29000     8.24819e+02     4.62408e+02    -1.05871e+02
   0.31000     7.75655e+02     5.74762e+02     4.00610e+01
   0.33000     7.56772e+02     5.41185e+02     2.47865e+02
   0.35000     6.16655e+02     3.73990e+02     1.80897e+02
   0.37000     5.73056e+02     3.72951e+02     4.97325e+01
   0.39000     5.26578e+02     3.66481e+02     6.30109e+01
   0.41000     4.96431e+02     3.52025e+02    -3.33121e+01
   0.43000     4.34412e+02     2.46773e+02     1.93157e+01
   0.45000     3.95761e+02     2.67729e+02     9.57628e+01
   0.47000     3.76408e+02     2.74191e+02     4.41845e+01
   0.49000     3.55760e+02     2.59907e+02     5.09660e+01
   0.51000     3.39547e+02     2.29570e+02     2.00821e+00
   0.53000     3.07754e+02     2.04066e+02     7.67468e-01
   0.55000     2.83210e+02     1.96923e+02     1.47694e+01
   0.57000     2.64173e+02     1.56288e+02     6.99678e+01
   0.59000     2.48424e+02     1.58250e+02     4.82854e+01
   0.61000     2.37576e+02     1.47318e+02    -1.13310e+00
   0.63000     2.28538e+02     1.52662e+02     4.27965e+01
   0.65000     2.08636e+02     1.31384e+02     3.21192e+01
   0.67000     1.95342e+02     1.41531e+02     2.16391e+01
   0.69000     1.91377e+02     1.32686e+02    -3.00072e+00
   0.71000     1.78314e+02     1.38216e+02     4.11267e+01
   0.73000     1.66939e+02     1.17015e+02     1.06620e+01
   0.75000     1.53313e+02     9.93272e+01     1.94683e+01
   0.77000     1.54295e+02     1.10845e+02     4.60965e+01
   0.79000     1.42351e+02     9.29614e+01     2.24048e+01
   0.81000     1.34945e+02     9.21746e+01     3.02843e+01
   0.83000     1.27398e+02     8.17994e+01     9.92036e-01
   0.85000     1.15533e+02     7.78940e+01     6.12654e+00
   0.87000     1.12454e+02     7.31072e+01     2.03482e+01
   0.89000     1.08312e+02     6.97451e+01     1.00490e+01
   0.91000     1.03204e+02     6.76116e+01     2.41131e+01
   0.93000     1.00646e+02     6.63278e+01     3.34728e+00
   0.95000     9.29699e+01     7.41908e+01     1.70558e+01
   0.97000     9.02576e+01     6.76301e+01     1.47099e+01
   0.99000     8.67241e+01     5.21935e+01     1.77232e+01
   1.01000     8.23767e+01     5.85410e+01     2.66070e+01
   1.03000     7.89237e+01     4.49519e+01     3.87275e-01
   1.05000     7.56319e+01     4.71932e+01     5.48859e+00
   1.07000     7.20862e+01     4.71163e+01     4.09761e+00
   1.09000     6.73541e+01     4.49965e+01     1.21899e+01
   1.11000     6.68406e+01     4.06864e+01     1.95702e+01
   1.13000     6.27975e+01     3.89595e+01     1.38654e+01
   1.15000     5.99036e+01     4.12294e+01     1.89042e+01
   1.17000     5.55696e+01     3.37375e+01     8.54745e+00
   1.19000     5.30576e+01     3.57525e+01     1.08132e+01
   1.21000     5.06443e+01     3.67641e+01     1.31073e+01
   1.23000     4.81809e+01     3.18686e+01     1.27716e+01
   1.25000     4.58400e+01     2.57542e+01     9.26029e+00
   1.27000     4.34242e+01     2.97257e+01     7.51051e+00
   1.29000     4.28401e+01     2.92330e+01     7.87543e+00
   1.31000     3.85125e+01     2.79790e+01     1.06226e+01
   1.33000     3.90555e+01     2.67601e+01     7.60013e+00
   1.35000     3.58018e+01     2.33786e+01     8.89837e+00
   1.37000     3.50927e+01     2.06620e+01     9.11692e+00
   1.39000     3.29133e+01     2.25402e+01     7.70383e+00
   1.41000     3.11732e+01     2.02692e+01     4.66541e+00
   1.43000     2.94276e+01     1.87819e+01     1.26769e+01
   1.45000     2.93711e+01     1.98845e+01     3.63291e+00
   1.47000     2.61861e+01     1.89869e+01     6.15698e+00
   1.49000     2.55016e+01     1.57415e+01     5.40772e+00
   1.51000     2.26812e+01     1.31111e+01     5.42634e+00
   1.53000     2.23279e+01     1.38104e+01     6.50284e+00
   1.55000     2.14564e+01     1.35984e+01     9.05254e+00
   1.57000     1.99865e+01     1.30419e+01     8.19536e+00
   1.59000     1.94116e+01     1.34850e+01     2.15059e+00
   1.61000     1.75765e+01     1.22028e+01     8.28408e+00
   1.63000     1.67741e+01     1.23147e+01     6.99038e+00
   1.65000     1.54461e+01     1.12034e+01     1.02093e+01
   1.67000     1.48077e+01     1.29304e+01     5.13407e+00
   1.69000     1.46805e+01     1.23064e+01     7.01656e+00
   1.71000     1.33858e+01     1.03486e+01     3.13495e+00
   1.73000     1.24342e+01     9.62246e+00     2.74385e+00
   1.75000     1.17799e+01     9.33795e+00     5.97372e+00
   1.77000     1.05553e+01     8.06575e+00     4.10834e+00
