#        k       b1_x       b1_a            Pkmm
   0.03682    3.29332    3.30355     1.02154e+03
   0.06136    3.20009    3.21937     6.30984e+02
   0.08590    3.16407    3.19198     4.22809e+02
   0.11045    3.24087    3.28071     2.77026e+02
   0.13499    3.26447    3.30101     2.25346e+02
   0.15953    3.29955    3.36152     1.61447e+02
   0.18408    3.26704    3.33632     1.27255e+02
   0.20862    3.33461    3.40672     1.03557e+02
   0.23317    3.42165    3.50239     8.63725e+01
   0.25771    3.30560    3.38800     6.95317e+01
   0.28225    3.36521    3.45793     6.13571e+01
   0.30680    3.43978    3.54202     5.08323e+01
   0.33134    3.46626    3.56086     4.58079e+01
   0.35588    3.46709    3.57282     3.79039e+01
   0.38043    3.45862    3.56723     3.36384e+01
   0.40497    3.56760    3.66775     3.05155e+01
   0.42951    3.56207    3.66834     2.68705e+01
   0.45406    3.58539    3.68135     2.35924e+01
   0.47860    3.61321    3.72246     2.16532e+01
   0.50315    3.63892    3.73182     1.97338e+01
   0.52769    3.71439    3.79706     1.79541e+01
   0.55223    3.71193    3.79874     1.63903e+01
   0.57678    3.75259    3.83633     1.55397e+01
   0.60132    3.73961    3.81034     1.37139e+01
   0.62586    3.79265    3.86162     1.29368e+01
   0.65041    3.84071    3.90072     1.17571e+01
   0.67495    3.85477    3.90705     1.12222e+01
   0.69950    3.88101    3.92759     1.04209e+01
   0.72404    3.91155    3.93174     9.65965e+00
   0.74858    3.94783    3.96473     8.99933e+00
   0.77313    3.96915    3.97407     8.56860e+00
   0.79767    3.99971    3.99535     7.94772e+00
   0.82221    4.06209    4.04892     7.42476e+00
   0.84676    4.02906    3.99786     6.93625e+00
   0.87130    4.08110    4.02044     6.80083e+00
   0.89584    4.11446    4.02934     6.14158e+00
   0.92039    4.15746    4.05381     5.97865e+00
   0.94493    4.17648    4.06208     5.61384e+00
   0.96948    4.19416    4.06619     5.32413e+00
   0.99402    4.23629    4.07777     5.15268e+00
   1.01856    4.26228    4.09266     4.94157e+00
   1.04311    4.30467    4.12225     4.67522e+00
   1.06765    4.31860    4.10309     4.42601e+00
   1.09219    4.34627    4.08336     4.19047e+00
   1.11674    4.37414    4.10390     4.08643e+00
   1.14128    4.41836    4.11860     3.92191e+00
   1.16583    4.42076    4.10019     3.72088e+00
   1.19037    4.44909    4.09353     3.56238e+00
   1.21491    4.47290    4.09212     3.40932e+00
   1.23946    4.50243    4.08224     3.29742e+00
   1.26400    4.51898    4.07751     3.12596e+00
   1.28854    4.56388    4.08684     3.00946e+00
   1.31309    4.57337    4.08528     2.92629e+00
   1.33763    4.64177    4.11607     2.81252e+00
   1.36217    4.65129    4.09960     2.74680e+00
   1.38672    4.66790    4.06071     2.61596e+00
   1.41126    4.73877    4.12172     2.54684e+00
   1.43581    4.70513    4.04819     2.44874e+00
   1.46035    4.74485    4.04349     2.35530e+00
   1.48489    4.78296    4.04366     2.30830e+00
   1.50944    4.80227    4.02053     2.20621e+00
   1.53398    4.84745    4.02273     2.13789e+00
   1.55852    4.88400    4.02562     2.06959e+00
   1.58307    4.90541    4.00388     1.99698e+00
   1.60761    4.91978    3.97037     1.93181e+00
   1.63216    4.93101    3.93896     1.90293e+00
   1.65670    4.96238    3.92608     1.80814e+00
   1.68124    4.97980    3.89005     1.77668e+00
   1.70579    5.00608    3.87635     1.72819e+00
   1.73033    5.05182    3.86960     1.67246e+00
   1.75487    5.08690    3.86806     1.61943e+00
   1.77942    5.12266    3.84113     1.57451e+00
   1.80396    5.13162    3.80551     1.53622e+00
   1.82851    5.15672    3.80961     1.51401e+00
   1.85305    5.17956    3.76519     1.46363e+00
   1.87759    5.22782    3.75275     1.41884e+00
   1.90214    5.25610    3.73301     1.38050e+00
   1.92668    5.27287    3.67511     1.34328e+00
