# Subtracting SN=    6.16312e+01.
#        k         Pk_0_HI
   0.03471     1.47672e+04
   0.04533     1.19384e+04
   0.05750     8.79392e+03
   0.07243     7.76979e+03
   0.08030     6.20235e+03
   0.09129     4.66328e+03
   0.10670     3.90405e+03
   0.11962     3.71373e+03
   0.12974     3.56147e+03
   0.14416     2.59760e+03
   0.15607     2.41412e+03
   0.16886     2.11809e+03
   0.18066     1.83913e+03
   0.19462     1.62799e+03
   0.20682     1.54921e+03
   0.21908     1.41062e+03
   0.23113     1.35798e+03
   0.24367     1.22805e+03
   0.25601     1.07401e+03
   0.26906     1.01208e+03
   0.28135     9.88820e+02
   0.29458     8.32125e+02
   0.30676     8.30153e+02
   0.31943     7.84384e+02
   0.33214     7.90173e+02
   0.34474     6.91288e+02
   0.35626     6.22342e+02
   0.36909     5.90993e+02
   0.38137     5.63775e+02
   0.39368     5.53262e+02
   0.40596     5.25800e+02
   0.41935     5.03998e+02
   0.43138     4.39066e+02
   0.44349     4.35279e+02
   0.45625     3.96963e+02
   0.46966     3.97486e+02
   0.48162     3.87662e+02
   0.49397     3.67914e+02
   0.50656     3.46316e+02
   0.51863     3.48943e+02
   0.53044     3.19181e+02
   0.54375     3.11772e+02
   0.55676     2.91404e+02
   0.56902     2.71786e+02
   0.58090     2.68658e+02
   0.59394     2.63410e+02
   0.60659     2.52328e+02
   0.61858     2.44355e+02
   0.63073     2.44150e+02
   0.64386     2.20786e+02
   0.65636     2.16974e+02
   0.66869     2.05917e+02
   0.68131     2.00978e+02
   0.69392     2.01392e+02
   0.70632     1.93770e+02
   0.71842     1.76294e+02
   0.73133     1.80507e+02
   0.74383     1.63186e+02
   0.75642     1.63288e+02
   0.76892     1.58584e+02
   0.78169     1.55397e+02
   0.79408     1.47969e+02
   0.80610     1.43465e+02
   0.81834     1.39264e+02
   0.83113     1.34109e+02
   0.84356     1.23962e+02
   0.85621     1.19020e+02
   0.86876     1.16927e+02
   0.88154     1.13998e+02
   0.89355     1.16630e+02
   0.90634     1.07331e+02
   0.91886     1.08379e+02
   0.93130     1.05549e+02
   0.94392     9.88148e+01
   0.95621     9.83101e+01
   0.96854     9.37554e+01
   0.98126     9.83465e+01
   0.99357     8.63644e+01
   1.00643     8.79740e+01
   1.01870     8.37542e+01
   1.03126     8.23860e+01
   1.04402     7.98253e+01
   1.05654     7.84690e+01
   1.06869     7.70673e+01
   1.08129     7.13380e+01
   1.09371     7.07267e+01
   1.10646     7.19043e+01
   1.11883     6.66238e+01
   1.13137     6.62847e+01
   1.14381     6.23972e+01
   1.15611     6.25271e+01
   1.16847     5.81428e+01
   1.18123     5.70992e+01
   1.19379     5.45784e+01
   1.20615     5.34473e+01
   1.21876     5.19927e+01
   1.23169     4.98522e+01
   1.24362     4.76815e+01
   1.25596     4.81392e+01
   1.26862     4.59492e+01
   1.28125     4.37650e+01
   1.29378     4.45512e+01
   1.30632     4.04687e+01
   1.31873     4.08474e+01
   1.33129     3.95982e+01
   1.34365     3.68093e+01
   1.35617     3.79806e+01
   1.36877     3.67683e+01
   1.38124     3.60323e+01
   1.39384     3.28119e+01
   1.40620     3.21300e+01
   1.41870     3.20072e+01
   1.43133     2.99496e+01
   1.44395     3.11813e+01
   1.45629     2.88912e+01
   1.46888     2.63486e+01
   1.48123     2.77226e+01
   1.49385     2.56722e+01
   1.50637     2.46168e+01
   1.51879     2.18407e+01
   1.53118     2.29946e+01
   1.54377     2.17364e+01
   1.55620     2.18464e+01
   1.56872     1.99160e+01
   1.58120     2.08166e+01
   1.59371     1.91507e+01
   1.60599     1.78016e+01
   1.61865     1.74152e+01
   1.63133     1.74398e+01
   1.64389     1.59872e+01
   1.65620     1.49339e+01
   1.66875     1.44651e+01
   1.68124     1.52990e+01
   1.69373     1.43017e+01
   1.70613     1.32880e+01
   1.71876     1.32384e+01
   1.73122     1.22432e+01
   1.74388     1.20353e+01
   1.75630     1.11827e+01
   1.76889     1.04647e+01
   1.78135     9.09039e+00
   1.79367     9.93472e+00
   1.80623     9.29127e+00
   1.81883     7.42583e+00
   1.83105     7.60702e+00
   1.84372     6.86787e+00
   1.85626     6.65185e+00
   1.86877     7.22067e+00
   1.88126     6.24320e+00
   1.89376     5.74730e+00
   1.90612     4.56308e+00
   1.91872     5.26309e+00
   1.93133     4.07967e+00
   1.94390     3.65157e+00
   1.95627     3.13246e+00
   1.96884     3.39236e+00
   1.98128     2.54270e+00
   1.99360     2.16800e+00
   2.00601     1.64538e+00
   2.01865     1.00017e+00
   2.03129     2.19524e+00
   2.04372     1.44869e-01
   2.05627    -5.09090e-01
   2.06890    -3.12124e-01
   2.08129    -9.64513e-01
   2.09355    -8.40089e-01
   2.10609    -1.80113e+00
   2.11865    -1.05217e+00
   2.13110    -1.87427e+00
   2.14358    -2.18021e+00
   2.15632    -1.98537e+00
   2.16888    -2.02709e+00
   2.18136    -2.68640e+00
   2.19375    -2.77321e+00
   2.20648    -3.26025e+00
   2.21891    -4.06566e+00
   2.23127    -3.62423e+00
   2.24362    -4.39663e+00
   2.25610    -5.07198e+00
   2.26860    -4.92552e+00
   2.28134    -5.50287e+00
   2.29396    -5.88335e+00
   2.30651    -5.94352e+00
   2.31883    -6.37954e+00
   2.33131    -6.16751e+00
   2.34379    -6.67845e+00
   2.35620    -7.22160e+00
   2.36856    -7.12394e+00
   2.38127    -7.67895e+00
   2.39387    -7.45185e+00
   2.40629    -7.80356e+00
   2.41869    -7.99832e+00
   2.43124    -8.15078e+00
   2.44369    -8.27916e+00
   2.45637    -8.55724e+00
   2.46879    -9.36157e+00
   2.48121    -9.22451e+00
   2.49370    -9.72919e+00
   2.50623    -9.64249e+00
   2.51865    -9.87845e+00
   2.53107    -1.06744e+01
   2.54368    -1.05357e+01
   2.55639    -1.03786e+01
   2.56875    -1.05948e+01
   2.58134    -1.06660e+01
   2.59382    -1.11571e+01
   2.60628    -1.18144e+01
   2.61873    -1.12472e+01
   2.63125    -1.19686e+01
   2.64375    -1.19228e+01
   2.65626    -1.19050e+01
   2.66870    -1.26592e+01
   2.68122    -1.23797e+01
   2.69374    -1.29050e+01
   2.70638    -1.27652e+01
   2.71888    -1.36702e+01
   2.73125    -1.34558e+01
   2.74389    -1.36405e+01
   2.75628    -1.33406e+01
   2.76868    -1.40465e+01
   2.78115    -1.43179e+01
   2.79379    -1.44942e+01
   2.80639    -1.45562e+01
   2.81871    -1.48963e+01
   2.83124    -1.50942e+01
   2.84389    -1.48966e+01
   2.85622    -1.49598e+01
   2.86878    -1.55478e+01
   2.88116    -1.58303e+01
   2.89358    -1.59577e+01
   2.90611    -1.59187e+01
   2.91881    -1.61343e+01
   2.93135    -1.66517e+01
   2.94381    -1.66535e+01
   2.95620    -1.67344e+01
   2.96870    -1.68499e+01
   2.98120    -1.67388e+01
   2.99376    -1.76137e+01
   3.00626    -1.77260e+01
   3.01885    -1.79742e+01
   3.03130    -1.77262e+01
   3.04377    -1.79008e+01
   3.05623    -1.83649e+01
   3.06869    -1.84661e+01
   3.08114    -1.82409e+01
   3.09378    -1.83915e+01
   3.10624    -1.89812e+01
   3.11878    -1.88203e+01
   3.13134    -1.89912e+01
   3.14383    -1.95967e+01
   3.15628    -1.93375e+01
   3.16884    -1.97057e+01
   3.18136    -1.97727e+01
   3.19383    -1.98327e+01
   3.20620    -2.03684e+01
   3.21875    -2.03194e+01
   3.23127    -2.05953e+01
   3.24385    -2.03042e+01
   3.25632    -2.09654e+01
   3.26882    -2.07245e+01
   3.28133    -2.11203e+01
   3.29378    -2.11596e+01
   3.30621    -2.14691e+01
   3.31875    -2.18066e+01
   3.33129    -2.15001e+01
   3.34376    -2.16821e+01
   3.35620    -2.21028e+01
   3.36875    -2.23191e+01
