# Redshift space power spectrum multipoles.
# Subtracting SN=    3.45871e+01 from monopole.
#        k              P0              P2              P4
   0.05000     8.99772e+03     3.40562e+03     5.62242e+03
   0.07000     7.34838e+03     2.98231e+03    -2.27275e+03
   0.09000     4.99158e+03     7.29375e+02    -2.11785e+03
   0.11000     3.88641e+03     9.05277e+02    -1.27530e+02
   0.13000     3.36675e+03     1.36104e+03     1.22901e+03
   0.15000     2.53117e+03     7.32326e+02     2.55157e+02
   0.17000     2.06673e+03     6.82145e+02    -5.21902e+02
   0.19000     1.78434e+03     6.18608e+02    -1.42856e+01
   0.21000     1.57440e+03     5.10012e+02    -2.09790e+02
   0.23000     1.40720e+03     6.29955e+02     2.47618e+02
   0.25000     1.13430e+03     2.40087e+02    -2.19181e+02
   0.27000     1.05822e+03     2.80712e+02    -1.77924e+02
   0.29000     9.18884e+02     2.74116e+02    -9.76795e+01
   0.31000     8.75432e+02     4.47516e+02     8.85071e+01
   0.33000     8.19733e+02     3.49416e+02     1.59565e+02
   0.35000     6.87077e+02     2.70884e+02     1.64869e+02
   0.37000     6.25120e+02     2.04230e+02     2.01123e+01
   0.39000     6.06438e+02     2.59717e+02     3.93208e+01
   0.41000     5.51515e+02     1.80001e+02    -9.49662e+01
   0.43000     5.06035e+02     1.90676e+02     4.67880e+01
   0.45000     4.58225e+02     1.62253e+02     2.82546e+01
   0.47000     4.41374e+02     1.68271e+02     3.16049e+00
   0.49000     4.14282e+02     2.10621e+02     5.36094e+01
   0.51000     3.98509e+02     1.41969e+02     9.99939e+00
   0.53000     3.71293e+02     1.42814e+02    -1.86852e+01
   0.55000     3.40782e+02     1.18819e+02    -2.74435e+01
   0.57000     3.39636e+02     1.30661e+02     3.04373e+01
   0.59000     3.09854e+02     1.26767e+02     3.23310e+01
   0.61000     2.95952e+02     1.44071e+02    -9.08761e+00
   0.63000     2.84924e+02     1.23226e+02     3.93213e+01
   0.65000     2.68732e+02     1.17687e+02     4.94775e+00
   0.67000     2.67042e+02     1.33125e+02     7.99945e+00
   0.69000     2.50541e+02     1.22698e+02    -1.55547e+00
   0.71000     2.38339e+02     1.11460e+02     2.67896e+01
   0.73000     2.21350e+02     1.08758e+02    -9.19588e+00
   0.75000     2.17805e+02     1.23929e+02     1.04329e+01
   0.77000     2.12054e+02     1.11216e+02     4.79877e+01
   0.79000     2.03712e+02     1.01202e+02     2.18256e+01
   0.81000     1.94349e+02     8.88069e+01     9.95312e+00
   0.83000     1.85503e+02     8.91849e+01    -7.43682e+00
   0.85000     1.76940e+02     9.90596e+01    -1.04172e+00
   0.87000     1.73902e+02     9.40592e+01     3.23076e+01
   0.89000     1.67234e+02     8.98775e+01    -3.59574e+00
   0.91000     1.61598e+02     9.75308e+01     2.95520e+01
   0.93000     1.53962e+02     9.41038e+01     2.13543e+01
   0.95000     1.48875e+02     7.92653e+01     2.17547e+00
   0.97000     1.44856e+02     8.32297e+01     2.26607e+01
   0.99000     1.42796e+02     8.41119e+01     2.18271e+01
   1.01000     1.37203e+02     7.22945e+01     1.93120e+01
   1.03000     1.35045e+02     7.47875e+01     1.27309e+01
   1.05000     1.29854e+02     7.67671e+01     1.30842e+01
