#        k       b1_x       b1_a            Pkmm
   0.03682    3.70410    3.72092     6.00175e+02
   0.06136    3.68103    3.71177     3.70294e+02
   0.08590    3.62361    3.67366     2.50647e+02
   0.11045    3.72079    3.79115     1.63521e+02
   0.13499    3.75040    3.82207     1.32073e+02
   0.15953    3.79018    3.90200     9.47014e+01
   0.18408    3.74896    3.87952     7.49455e+01
   0.20862    3.81906    3.96499     6.09668e+01
   0.23317    3.90979    4.07702     5.00644e+01
   0.25771    3.76958    3.95523     4.07229e+01
   0.28225    3.83496    4.04932     3.55689e+01
   0.30680    3.91943    4.16156     2.94753e+01
   0.33134    3.93814    4.18770     2.62595e+01
   0.35588    3.92643    4.21200     2.18775e+01
   0.38043    3.92116    4.22503     1.93483e+01
   0.40497    4.04285    4.35832     1.74270e+01
   0.42951    4.01350    4.36009     1.52918e+01
   0.45406    4.04659    4.40824     1.34871e+01
   0.47860    4.06296    4.46191     1.22429e+01
   0.50315    4.08916    4.49035     1.11898e+01
   0.52769    4.18398    4.59819     1.01340e+01
   0.55223    4.15730    4.60536     9.19950e+00
   0.57678    4.20916    4.67344     8.66601e+00
   0.60132    4.19222    4.68307     7.67803e+00
   0.62586    4.23173    4.74158     7.19050e+00
   0.65041    4.28032    4.81609     6.53388e+00
   0.67495    4.30286    4.85306     6.20573e+00
   0.69950    4.32066    4.89819     5.73440e+00
   0.72404    4.33550    4.92671     5.25869e+00
   0.74858    4.36646    4.98290     4.91675e+00
   0.77313    4.39454    5.01921     4.67705e+00
   0.79767    4.41665    5.08424     4.29200e+00
   0.82221    4.49017    5.18055     4.01295e+00
   0.84676    4.43447    5.14194     3.75866e+00
   0.87130    4.49420    5.18722     3.64736e+00
   0.89584    4.50537    5.24321     3.28493e+00
   0.92039    4.57624    5.29712     3.20924e+00
   0.94493    4.58221    5.34075     3.01476e+00
   0.96948    4.58452    5.38872     2.81042e+00
   0.99402    4.63533    5.42129     2.72387e+00
   1.01856    4.66767    5.47498     2.60439e+00
   1.04311    4.68424    5.53603     2.43822e+00
   1.06765    4.69008    5.55458     2.30464e+00
   1.09219    4.71550    5.57926     2.19325e+00
   1.11674    4.76400    5.63527     2.12853e+00
   1.14128    4.81248    5.68863     2.04486e+00
   1.16583    4.79257    5.71945     1.91620e+00
   1.19037    4.82634    5.75897     1.84543e+00
   1.21491    4.84252    5.79525     1.75815e+00
   1.23946    4.88073    5.83716     1.69586e+00
   1.26400    4.88069    5.88054     1.60240e+00
   1.28854    4.91579    5.92464     1.53592e+00
   1.31309    4.92142    5.94948     1.49572e+00
   1.33763    4.99832    6.03273     1.42570e+00
