#        k       b1_x       b1_a            Pkmm
   0.03682    3.81387    3.83312     6.00175e+02
   0.06136    3.71881    3.75335     3.70294e+02
   0.08590    3.66451    3.71662     2.50647e+02
   0.11045    3.75382    3.82834     1.63521e+02
   0.13499    3.77384    3.84968     1.32073e+02
   0.15953    3.81622    3.93342     9.47014e+01
   0.18408    3.76780    3.90482     7.49455e+01
   0.20862    3.84058    3.99201     6.09668e+01
   0.23317    3.93290    4.10634     5.00644e+01
   0.25771    3.78504    3.97743     4.07229e+01
   0.28225    3.84891    4.07001     3.55689e+01
   0.30680    3.93406    4.18388     2.94753e+01
   0.33134    3.95215    4.20884     2.62595e+01
   0.35588    3.93798    4.23243     2.18775e+01
   0.38043    3.93420    4.24612     1.93483e+01
   0.40497    4.05483    4.37887     1.74270e+01
   0.42951    4.02712    4.38234     1.52918e+01
   0.45406    4.06085    4.43062     1.34871e+01
   0.47860    4.07629    4.48458     1.22429e+01
   0.50315    4.09959    4.51037     1.11898e+01
   0.52769    4.19746    4.62047     1.01340e+01
   0.55223    4.17012    4.62826     9.19950e+00
   0.57678    4.22143    4.69564     8.66601e+00
   0.60132    4.20289    4.70423     7.67803e+00
   0.62586    4.24285    4.76330     7.19050e+00
   0.65041    4.29385    4.84057     6.53388e+00
   0.67495    4.31434    4.87504     6.20573e+00
   0.69950    4.33263    4.92094     5.73440e+00
   0.72404    4.34763    4.94979     5.25869e+00
   0.74858    4.37869    5.00634     4.91675e+00
   0.77313    4.40710    5.04267     4.67705e+00
   0.79767    4.42958    5.10894     4.29200e+00
   0.82221    4.50231    5.20460     4.01295e+00
   0.84676    4.44661    5.16571     3.75866e+00
   0.87130    4.50651    5.21068     3.64736e+00
   0.89584    4.51797    5.26749     3.28493e+00
   0.92039    4.58863    5.32100     3.20924e+00
   0.94493    4.59422    5.36445     3.01476e+00
   0.96948    4.59710    5.41345     2.81042e+00
   0.99402    4.64761    5.44561     2.72387e+00
   1.01856    4.68037    5.49950     2.60439e+00
   1.04311    4.69749    5.56177     2.43822e+00
   1.06765    4.70291    5.57981     2.30464e+00
   1.09219    4.72841    5.60439     2.19325e+00
   1.11674    4.77699    5.66086     2.12853e+00
   1.14128    4.82498    5.71312     2.04486e+00
   1.16583    4.80485    5.74427     1.91620e+00
   1.19037    4.83873    5.78392     1.84543e+00
   1.21491    4.85442    5.82016     1.75815e+00
   1.23946    4.89272    5.86203     1.69586e+00
   1.26400    4.89348    5.90672     1.60240e+00
   1.28854    4.92896    5.95069     1.53592e+00
   1.31309    4.93432    5.97563     1.49572e+00
   1.33763    5.01171    6.05894     1.42570e+00
   1.36217    5.01205    6.07166     1.38256e+00
   1.38672    5.02706    6.11161     1.32652e+00
   1.41126    5.10507    6.20244     1.26951e+00
   1.43581    5.05937    6.18026     1.22714e+00
   1.46035    5.07962    6.21759     1.17507e+00
   1.48489    5.13067    6.25336     1.15206e+00
   1.50944    5.14851    6.29959     1.09936e+00
   1.53398    5.19356    6.36607     1.05767e+00
   1.55852    5.22386    6.41129     1.01757e+00
   1.58307    5.22057    6.43340     9.85948e-01
   1.60761    5.25454    6.46362     9.55706e-01
   1.63216    5.28764    6.49678     9.36849e-01
   1.65670    5.26629    6.54949     8.84959e-01
   1.68124    5.28812    6.54617     8.71192e-01
   1.70579    5.33196    6.60532     8.42035e-01
   1.73033    5.37984    6.67265     8.07057e-01
   1.75487    5.40491    6.71725     7.81780e-01
   1.77942    5.41955    6.73862     7.60889e-01
   1.80396    5.42168    6.74961     7.41874e-01
   1.82851    5.43844    6.80076     7.21350e-01
   1.85305    5.48003    6.84606     6.98584e-01
   1.87759    5.51130    6.88303     6.77355e-01
   1.90214    5.53451    6.92150     6.59390e-01
   1.92668    5.54437    6.94937     6.40877e-01
