#        k       b1_x       b1_a            Pkmm
   0.03682    3.18910    3.19760     8.17234e+02
   0.06136    3.10652    3.12260     5.04565e+02
   0.08590    3.07735    3.10076     3.39597e+02
   0.11045    3.14075    3.17492     2.22088e+02
   0.13499    3.16053    3.19332     1.80074e+02
   0.15953    3.18695    3.24075     1.29051e+02
   0.18408    3.15957    3.22152     1.01903e+02
   0.20862    3.21426    3.28116     8.29050e+01
   0.23317    3.27759    3.35395     6.86622e+01
   0.25771    3.18506    3.26681     5.55185e+01
   0.28225    3.23270    3.32583     4.87806e+01
   0.30680    3.29258    3.39748     4.04055e+01
   0.33134    3.31052    3.41450     3.62219e+01
   0.35588    3.31129    3.42937     3.00556e+01
   0.38043    3.30494    3.43000     2.66318e+01
   0.40497    3.39267    3.51592     2.40848e+01
   0.42951    3.38077    3.51525     2.11676e+01
   0.45406    3.40197    3.53646     1.86229e+01
   0.47860    3.41942    3.57002     1.70002e+01
   0.50315    3.43870    3.58334     1.55191e+01
   0.52769    3.50285    3.64659     1.40883e+01
   0.55223    3.49564    3.65083     1.28266e+01
   0.57678    3.53179    3.68977     1.21311e+01
   0.60132    3.51510    3.67435     1.07149e+01
   0.62586    3.55456    3.71984     1.00793e+01
   0.65041    3.59204    3.75946     9.15379e+00
   0.67495    3.60559    3.77246     8.72235e+00
   0.69950    3.62516    3.79794     8.08276e+00
   0.72404    3.64703    3.81281     7.45224e+00
   0.74858    3.67147    3.84453     6.95265e+00
   0.77313    3.68563    3.85647     6.61853e+00
   0.79767    3.70990    3.88556     6.10576e+00
   0.82221    3.76224    3.94247     5.70660e+00
   0.84676    3.72826    3.90622     5.33522e+00
   0.87130    3.77114    3.93129     5.21215e+00
   0.89584    3.78936    3.95352     4.69424e+00
   0.92039    3.83179    3.98501     4.58065e+00
   0.94493    3.84187    4.00117     4.30317e+00
   0.96948    3.85137    4.01620     4.04554e+00
   0.99402    3.88810    4.03681     3.91871e+00
   1.01856    3.90829    4.05489     3.75622e+00
   1.04311    3.93174    4.08612     3.53199e+00
   1.06765    3.94068    4.08613     3.34015e+00
   1.09219    3.96447    4.09167     3.17108e+00
   1.11674    3.99237    4.11849     3.08718e+00
   1.14128    4.02441    4.14215     2.96601e+00
   1.16583    4.01761    4.13711     2.79288e+00
   1.19037    4.04303    4.15138     2.68392e+00
   1.21491    4.06066    4.16469     2.56363e+00
   1.23946    4.08352    4.17383     2.47532e+00
   1.26400    4.09338    4.18577     2.34360e+00
   1.28854    4.12331    4.20404     2.24893e+00
   1.31309    4.12908    4.21369     2.19124e+00
   1.33763    4.18695    4.25636     2.09683e+00
