# Subtracting SN=    9.27234e+00.
#        k         Pk_0_HI
   0.03471     1.06821e+04
   0.04533     8.00170e+03
   0.05750     6.23895e+03
   0.07243     5.56787e+03
   0.08030     4.34459e+03
   0.09129     3.49984e+03
   0.10670     2.92940e+03
   0.11962     2.72371e+03
   0.12974     2.45011e+03
   0.14416     1.91831e+03
   0.15607     1.80224e+03
   0.16886     1.57518e+03
   0.18066     1.35104e+03
   0.19462     1.27084e+03
   0.20682     1.15007e+03
   0.21908     1.07068e+03
   0.23113     1.00789e+03
   0.24367     9.16412e+02
   0.25601     7.63356e+02
   0.26906     7.34776e+02
   0.28135     7.17507e+02
   0.29458     6.34356e+02
   0.30676     6.31718e+02
   0.31943     5.90000e+02
   0.33214     5.66352e+02
   0.34474     5.04044e+02
   0.35626     4.59644e+02
   0.36909     4.50151e+02
   0.38137     4.17425e+02
   0.39368     4.24520e+02
   0.40596     3.80453e+02
   0.41935     3.82976e+02
   0.43138     3.37670e+02
   0.44349     3.27447e+02
   0.45625     3.09628e+02
   0.46966     3.03809e+02
   0.48162     2.94871e+02
   0.49397     2.82031e+02
   0.50656     2.65103e+02
   0.51863     2.74437e+02
   0.53044     2.49763e+02
   0.54375     2.44590e+02
   0.55676     2.29054e+02
   0.56902     2.37136e+02
   0.58090     2.18321e+02
   0.59394     2.07425e+02
   0.60659     2.00743e+02
   0.61858     1.94125e+02
   0.63073     1.94558e+02
   0.64386     1.84381e+02
   0.65636     1.81251e+02
   0.66869     1.83648e+02
   0.68131     1.67254e+02
   0.69392     1.71381e+02
   0.70632     1.62086e+02
   0.71842     1.57392e+02
   0.73133     1.47015e+02
   0.74383     1.49567e+02
   0.75642     1.47586e+02
   0.76892     1.38739e+02
   0.78169     1.41188e+02
   0.79408     1.31694e+02
   0.80610     1.28034e+02
   0.81834     1.28791e+02
   0.83113     1.24812e+02
   0.84356     1.21943e+02
   0.85621     1.14932e+02
   0.86876     1.15628e+02
   0.88154     1.16274e+02
   0.89355     1.08175e+02
   0.90634     1.08022e+02
   0.91886     1.05433e+02
   0.93130     1.04031e+02
   0.94392     1.00796e+02
   0.95621     9.72900e+01
   0.96854     9.80229e+01
   0.98126     9.52823e+01
   0.99357     9.41662e+01
   1.00643     9.23227e+01
   1.01870     9.08729e+01
   1.03126     8.78794e+01
   1.04402     8.83256e+01
   1.05654     8.54960e+01
   1.06869     8.37168e+01
   1.08129     8.09117e+01
   1.09371     7.84095e+01
   1.10646     7.61550e+01
   1.11883     7.76831e+01
   1.13137     7.79737e+01
   1.14381     7.37827e+01
   1.15611     7.28693e+01
   1.16847     7.10639e+01
   1.18123     7.02184e+01
   1.19379     6.89060e+01
   1.20615     6.77749e+01
   1.21876     6.64616e+01
   1.23169     6.48931e+01
   1.24362     6.37712e+01
   1.25596     6.26868e+01
   1.26862     6.19102e+01
   1.28125     6.06560e+01
   1.29378     5.91422e+01
   1.30632     5.89788e+01
   1.31873     5.70398e+01
   1.33129     5.62269e+01
   1.34365     5.68092e+01
   1.35617     5.55137e+01
   1.36877     5.47561e+01
   1.38124     5.35390e+01
   1.39384     5.21711e+01
   1.40620     5.24912e+01
   1.41870     5.17342e+01
   1.43133     4.95115e+01
   1.44395     4.84984e+01
   1.45629     4.85927e+01
   1.46888     4.71042e+01
   1.48123     4.76041e+01
   1.49385     4.47835e+01
   1.50637     4.51991e+01
   1.51879     4.48879e+01
   1.53118     4.42290e+01
   1.54377     4.40062e+01
   1.55620     4.24827e+01
   1.56872     4.34218e+01
   1.58120     4.05989e+01
   1.59371     4.10124e+01
   1.60599     3.98433e+01
   1.61865     3.95622e+01
   1.63133     3.89750e+01
   1.64389     3.83006e+01
   1.65620     3.81658e+01
   1.66875     3.77546e+01
   1.68124     3.63655e+01
   1.69373     3.58784e+01
   1.70613     3.55122e+01
   1.71876     3.48470e+01
   1.73122     3.46192e+01
   1.74388     3.38258e+01
   1.75630     3.36575e+01
   1.76889     3.29769e+01
   1.78135     3.30070e+01
   1.79367     3.25775e+01
   1.80623     3.19602e+01
   1.81883     3.20167e+01
   1.83105     3.14057e+01
   1.84372     3.05592e+01
   1.85626     3.05695e+01
   1.86877     3.00132e+01
   1.88126     2.94773e+01
   1.89376     2.92571e+01
   1.90612     2.88042e+01
   1.91872     2.81711e+01
   1.93133     2.73422e+01
   1.94390     2.73224e+01
   1.95627     2.69991e+01
   1.96884     2.69070e+01
   1.98128     2.62301e+01
   1.99360     2.61837e+01
   2.00601     2.54649e+01
   2.01865     2.53191e+01
   2.03129     2.46282e+01
   2.04372     2.44766e+01
   2.05627     2.40933e+01
   2.06890     2.37411e+01
   2.08129     2.34808e+01
   2.09355     2.29926e+01
   2.10609     2.24479e+01
   2.11865     2.25355e+01
   2.13110     2.19692e+01
   2.14358     2.14905e+01
