# Redshift space power spectrum multipoles.
# Subtracting SN=    6.38043e+00 from monopole.
#        k              P0              P2              P4
   0.05000     6.16370e+03     2.73302e+03     4.07417e+03
   0.07000     5.00126e+03     2.22792e+03    -1.37196e+03
   0.09000     3.39091e+03     7.22120e+02    -1.44577e+03
   0.11000     2.59238e+03     8.27993e+02     1.17955e+01
   0.13000     2.25555e+03     1.03294e+03     7.82382e+02
   0.15000     1.67222e+03     6.29281e+02     1.84672e+02
   0.17000     1.35412e+03     5.00557e+02    -3.34573e+02
   0.19000     1.16166e+03     4.46950e+02    -4.75459e+00
   0.21000     1.01854e+03     4.00733e+02    -1.41586e+02
   0.23000     8.93138e+02     4.41765e+02     1.68558e+02
   0.25000     7.28096e+02     2.07926e+02    -1.03910e+02
   0.27000     6.74746e+02     2.12696e+02    -9.72209e+01
   0.29000     5.78435e+02     2.13940e+02    -4.66821e+01
   0.31000     5.43858e+02     3.00254e+02     5.89165e+01
   0.33000     5.08341e+02     2.35567e+02     1.04786e+02
   0.35000     4.25048e+02     1.91204e+02     1.03336e+02
   0.37000     3.87739e+02     1.50082e+02     1.45606e+01
   0.39000     3.71139e+02     1.79199e+02     2.08214e+01
   0.41000     3.35973e+02     1.26616e+02    -5.52435e+01
   0.43000     3.06001e+02     1.26614e+02     2.27072e+01
   0.45000     2.76149e+02     1.13770e+02     1.78721e+01
   0.47000     2.64303e+02     1.18789e+02     1.14240e+01
   0.49000     2.48160e+02     1.35628e+02     3.67788e+01
   0.51000     2.36053e+02     9.54371e+01     5.64130e+00
   0.53000     2.20321e+02     9.64644e+01    -6.71427e+00
   0.55000     2.01283e+02     8.10892e+01    -9.13793e+00
   0.57000     2.00506e+02     8.71628e+01     2.00587e+01
   0.59000     1.81464e+02     8.12445e+01     1.63935e+01
   0.61000     1.71224e+02     8.53124e+01    -5.36256e+00
   0.63000     1.66031e+02     7.67694e+01     2.24658e+01
   0.65000     1.54780e+02     7.20608e+01     9.07513e+00
   0.67000     1.53905e+02     8.37666e+01     7.67186e+00
   0.69000     1.44472e+02     7.83167e+01     3.96391e+00
   0.71000     1.36979e+02     6.85876e+01     2.12180e+01
   0.73000     1.27849e+02     6.65612e+01    -6.59822e-01
   0.75000     1.24391e+02     7.09499e+01     7.95513e+00
   0.77000     1.20223e+02     6.57750e+01     2.71641e+01
   0.79000     1.15363e+02     6.06050e+01     1.26963e+01
   0.81000     1.09512e+02     5.23877e+01     6.30851e+00
   0.83000     1.04343e+02     5.20144e+01    -3.64879e+00
   0.85000     9.99437e+01     5.73925e+01     1.74097e+00
   0.87000     9.80424e+01     5.41079e+01     1.66635e+01
   0.89000     9.41664e+01     5.14969e+01    -1.41176e-01
   0.91000     9.06198e+01     5.46376e+01     1.67966e+01
   0.93000     8.66184e+01     5.25808e+01     1.31105e+01
   0.95000     8.33184e+01     4.34729e+01     2.88193e+00
   0.97000     8.07776e+01     4.67268e+01     1.10232e+01
   0.99000     7.95464e+01     4.65971e+01     1.22260e+01
   1.01000     7.65212e+01     4.14791e+01     1.01852e+01
   1.03000     7.45555e+01     4.03373e+01     5.53792e+00
   1.05000     7.22566e+01     4.22003e+01     7.86441e+00
   1.07000     6.92556e+01     4.12770e+01     1.38315e+01
   1.09000     6.62940e+01     3.63557e+01     8.41846e+00
   1.11000     6.31810e+01     3.52968e+01     1.40494e+01
   1.13000     6.45471e+01     3.51458e+01     7.71901e+00
   1.15000     6.11484e+01     3.30196e+01     1.01317e+01
   1.17000     5.88985e+01     3.29533e+01     1.10972e+00
   1.19000     5.74319e+01     3.25780e+01     5.87117e+00
   1.21000     5.60791e+01     3.69442e+01     7.67737e+00
   1.23000     5.33578e+01     3.03027e+01     9.46023e+00
   1.25000     5.21403e+01     3.10551e+01     7.67441e+00
   1.27000     5.07672e+01     2.79783e+01     2.61172e+00
   1.29000     4.90980e+01     2.71976e+01     3.55982e+00
   1.31000     4.82311e+01     2.74656e+01     7.35451e+00
   1.33000     4.63124e+01     2.42750e+01     1.03439e+01
   1.35000     4.63796e+01     2.45735e+01     4.28196e+00
   1.37000     4.44465e+01     2.42905e+01     5.34306e+00
   1.39000     4.32650e+01     2.40715e+01     7.19602e+00
   1.41000     4.27653e+01     2.36139e+01     5.84594e+00
   1.43000     4.06888e+01     2.33060e+01     9.24929e+00
   1.45000     3.98107e+01     2.27108e+01     6.70641e+00
