#        k    p_h_pos  p_h1_mass   p_hp_h1m   p_hp_h1m
   0.03682     1.06043e+04     1.06554e+06     5.76388e+04     5.68283e+04
   0.06136     4.64240e+04     4.58632e+05     2.17128e+03    -4.52563e+03
   0.08590     2.02226e+04     8.67614e+04     1.08805e+04     1.09260e+04
   0.11045     1.55477e+04     7.75689e+04     4.15587e+03     1.98566e+03
   0.13499     1.49182e+04     5.59049e+04     3.31629e+03     2.05217e+03
   0.15953     6.82434e+03     3.20568e+04    -2.58654e+02     2.02102e+03
   0.18408     5.59345e+03     2.75137e+04     2.58065e+03     1.64389e+03
   0.20862     4.51059e+03     2.05097e+04     1.53112e+03     1.68114e+03
   0.23317     2.68445e+03     1.65237e+04     1.10963e+03     1.03476e+03
   0.25771     1.80552e+03     1.45094e+04     8.96129e+02     7.65351e+02
   0.28225     1.68262e+03     1.35407e+04     9.38153e+02     8.51767e+02
   0.30680     1.10730e+03     1.31201e+04     9.42006e+02     1.07178e+03
   0.33134     7.24068e+02     1.16989e+04     6.41122e+02     8.22968e+02
   0.35588     6.07676e+02     9.01378e+03     3.92575e+02     3.71380e+02
   0.38043     5.16082e+02     7.78433e+03     4.50566e+02     4.77039e+02
   0.40497     4.31016e+02     7.12113e+03     4.05900e+02     3.51139e+02
   0.42951     4.07940e+02     6.81631e+03     4.09848e+02     4.62390e+02
   0.45406     4.00188e+02     6.36474e+03     3.58310e+02     5.66016e+02
   0.47860     3.87780e+02     6.33072e+03     3.74848e+02     4.99948e+02
   0.50315     3.78112e+02     6.09419e+03     3.55897e+02     5.39730e+02
   0.52769     3.67767e+02     5.84518e+03     3.30194e+02     3.91030e+02
   0.55223     3.23681e+02     5.46396e+03     3.16171e+02     3.52692e+02
   0.57678     3.12872e+02     5.29289e+03     3.35406e+02     3.97217e+02
   0.60132     2.92072e+02     5.19809e+03     2.65495e+02     2.17799e+02
   0.62586     2.72116e+02     5.06074e+03     2.68344e+02     3.05393e+02
   0.65041     2.49978e+02     5.00119e+03     2.58171e+02     3.70311e+02
   0.67495     2.45150e+02     4.74053e+03     2.35904e+02     2.77191e+02
   0.69950     2.31955e+02     4.61688e+03     2.26109e+02     2.91733e+02
   0.72404     2.15467e+02     4.52531e+03     2.25534e+02     2.30300e+02
   0.74858     2.06469e+02     4.26527e+03     2.31661e+02     2.59601e+02
   0.77313     1.93933e+02     4.12764e+03     2.21989e+02     2.44105e+02
   0.79767     1.91326e+02     3.97541e+03     2.23429e+02     1.98279e+02
   0.82221     1.88626e+02     3.97472e+03     2.07535e+02     1.54900e+02
   0.84676     1.81227e+02     3.77891e+03     1.92308e+02     1.33899e+02
   0.87130     1.77166e+02     3.83286e+03     1.77977e+02     1.56527e+02
   0.89584     1.75954e+02     3.93457e+03     1.96225e+02     2.42905e+02
   0.92039     1.76038e+02     3.79350e+03     1.92573e+02     1.92525e+02
   0.94493     1.69013e+02     3.71811e+03     1.85681e+02     1.58791e+02
   0.96948     1.65264e+02     3.71900e+03     1.79442e+02     1.29123e+02
   0.99402     1.64372e+02     3.64467e+03     1.81036e+02     1.80271e+02
