#        k       b1_x       b1_a            Pkmm
   0.03682    7.67198   11.16733     6.00175e+02
   0.06136    4.00185   10.33445     3.70294e+02
   0.08590    5.30953   12.76683     2.50647e+02
   0.11045    6.00800   16.18442     1.63521e+02
   0.13499    5.29697   18.22671     1.32073e+02
   0.15953    5.90724   20.57905     9.47014e+01
   0.18408    5.27029   22.92199     7.49455e+01
   0.20862    5.97695   24.85060     6.09668e+01
   0.23317    6.73619   29.18670     5.00644e+01
   0.25771    5.63905   31.54968     4.07229e+01
   0.28225    5.49938   33.80775     3.55689e+01
   0.30680    4.56084   36.17381     2.94753e+01
   0.33134    5.92979   39.41070     2.62595e+01
   0.35588    5.94698   42.34169     2.18775e+01
   0.38043    5.26983   44.26041     1.93483e+01
   0.40497    5.40638   46.52434     1.74270e+01
   0.42951    5.80743   50.01002     1.52918e+01
   0.45406    6.78308   53.82011     1.34871e+01
   0.47860    8.12839   56.88969     1.22429e+01
   0.50315    6.21714   58.93199     1.11898e+01
   0.52769    6.34324   60.84124     1.01340e+01
   0.55223    4.55946   64.70234     9.19950e+00
   0.57678    5.18518   66.56287     8.66601e+00
   0.60132    4.85397   70.35909     7.67803e+00
   0.62586    5.14593   72.55288     7.19050e+00
   0.65041    7.43465   76.08966     6.53388e+00
   0.67495    5.90017   78.51191     6.20573e+00
   0.69950    6.11355   81.34851     5.73440e+00
   0.72404    6.33536   84.92124     5.25869e+00
   0.74858    7.34905   87.37250     4.91675e+00
   0.77313    5.99172   89.72398     4.67705e+00
   0.79767    7.89662   93.85247     4.29200e+00
   0.82221    6.16807   97.09334     4.01295e+00
   0.84676    7.52187   99.32803     3.75866e+00
   0.87130    7.44816  101.72820     3.64736e+00
   0.89584    6.48994  107.28862     3.28493e+00
   0.92039    7.01328  108.04148     3.20924e+00
   0.94493    7.00852  111.11780     3.01476e+00
   0.96948    6.97915  115.24204     2.81042e+00
   0.99402    7.40568  116.46352     2.72387e+00
   1.01856    5.85435  119.70797     2.60439e+00
   1.04311    7.49298  123.06286     2.43822e+00
   1.06765    6.44668  126.48027     2.30464e+00
   1.09219    7.27529  130.34524     2.19325e+00
   1.11674    7.88777  131.32049     2.12853e+00
   1.14128    6.53038  133.35415     2.04486e+00
   1.16583    6.29036  137.70278     1.91620e+00
   1.19037    8.24949  140.61399     1.84543e+00
   1.21491    8.00108  144.38889     1.75815e+00
   1.23946    7.31081  146.34619     1.69586e+00
   1.26400    7.76675  149.96627     1.60240e+00
   1.28854    7.40564  152.88878     1.53592e+00
   1.31309    9.27326  154.66001     1.49572e+00
   1.33763    8.10628  159.40542     1.42570e+00
   1.36217    8.27067  160.80078     1.38256e+00
   1.38672    7.85692  163.45167     1.32652e+00
   1.41126    9.35534  166.53215     1.26951e+00
   1.43581    9.16736  170.38612     1.22714e+00
   1.46035    8.84420  173.26372     1.17507e+00
   1.48489    8.32665  174.38869     1.15206e+00
   1.50944   10.62578  177.46727     1.09936e+00
   1.53398    8.14850  181.54709     1.05767e+00
   1.55852    7.90879  184.85056     1.01757e+00
   1.58307   10.11065  187.84225     9.85948e-01
   1.60761   10.68615  189.21915     9.55706e-01
   1.63216    7.61149  190.92697     9.36849e-01
   1.65670    9.85178  197.85498     8.84959e-01
   1.68124    9.74351  198.21243     8.71192e-01
   1.70579    7.96283  200.76086     8.42035e-01
   1.73033    9.71419  203.72342     8.07057e-01
   1.75487    9.35501  207.84621     7.81780e-01
   1.77942    9.61568  209.50158     7.60889e-01
   1.80396   10.24162  212.47160     7.41874e-01
   1.82851    9.46524  214.64168     7.21350e-01
   1.85305   10.59551  218.52852     6.98584e-01
   1.87759   10.65409  221.34220     6.77355e-01
   1.90214   10.86864  223.71022     6.59390e-01
   1.92668   10.13491  225.64077     6.40877e-01
   1.95122   10.60344  229.75887     6.20696e-01
   1.97577   10.79647  233.09055     6.03339e-01
   2.00031    9.61168  234.20453     5.88729e-01
   2.02485   11.35037  236.49330     5.73189e-01
   2.04940   11.01961  242.03943     5.50739e-01
   2.07394   11.03219  242.63418     5.42918e-01
   2.09849   10.44174  246.32004     5.26272e-01
   2.12303    9.83174  248.73876     5.12088e-01
   2.14757    9.35873  251.31207     4.96975e-01
   2.17212   10.14837  252.97586     4.89985e-01
   2.19666   11.54950  256.45734     4.74698e-01
   2.22120   11.13894  259.44539     4.61290e-01
   2.24575   10.24349  261.95294     4.48112e-01
   2.27029    9.99466  264.79621     4.38028e-01
   2.29484   10.76776  266.22991     4.31287e-01
   2.31938   10.12395  271.34347     4.16822e-01
   2.34392   10.16116  272.07788     4.07409e-01
   2.36847    8.82309  273.45042     3.99861e-01
   2.39301    9.66530  277.70089     3.87463e-01
   2.41755   11.75847  282.18354     3.76732e-01
   2.44210   10.03095  282.43743     3.71663e-01
   2.46664   10.26633  284.52629     3.61908e-01
   2.49118   11.07432  286.58890     3.55044e-01
