#        k       b1_x       b1_a            Pkmm
   0.03682    3.02074    3.03096     8.17234e+02
   0.06136    2.99433    3.01165     5.04565e+02
   0.08590    2.99933    3.02341     3.39597e+02
   0.11045    3.05756    3.09263     2.22088e+02
   0.13499    3.08557    3.12316     1.80074e+02
   0.15953    3.11469    3.17305     1.29051e+02
   0.18408    3.10469    3.17231     1.01903e+02
   0.20862    3.16360    3.23777     8.29050e+01
   0.23317    3.21569    3.30320     6.86622e+01
   0.25771    3.13562    3.23161     5.55185e+01
   0.28225    3.18045    3.29019     4.87806e+01
   0.30680    3.24557    3.37119     4.04055e+01
   0.33134    3.26351    3.39041     3.62219e+01
   0.35588    3.27132    3.41768     3.00556e+01
   0.38043    3.26051    3.41908     2.66318e+01
   0.40497    3.34847    3.51094     2.40848e+01
   0.42951    3.33247    3.51227     2.11676e+01
   0.45406    3.35995    3.54680     1.86229e+01
   0.47860    3.37810    3.58600     1.70002e+01
   0.50315    3.39768    3.60686     1.55191e+01
   0.52769    3.46257    3.67728     1.40883e+01
   0.55223    3.45307    3.68849     1.28266e+01
   0.57678    3.49519    3.73682     1.21311e+01
   0.60132    3.47566    3.72975     1.07149e+01
   0.62586    3.51537    3.78251     1.00793e+01
   0.65041    3.55517    3.83235     9.15379e+00
   0.67495    3.56134    3.84516     8.72235e+00
   0.69950    3.58815    3.88721     8.08276e+00
   0.72404    3.60434    3.90776     7.45224e+00
   0.74858    3.63256    3.95196     6.95265e+00
   0.77313    3.64592    3.97151     6.61853e+00
   0.79767    3.66690    4.00879     6.10576e+00
   0.82221    3.71911    4.07619     5.70660e+00
   0.84676    3.68717    4.05684     5.33522e+00
   0.87130    3.73008    4.08537     5.21215e+00
   0.89584    3.74805    4.12898     4.69424e+00
   0.92039    3.78967    4.16296     4.58065e+00
   0.94493    3.79989    4.19447     4.30317e+00
   0.96948    3.80969    4.22178     4.04554e+00
   0.99402    3.84548    4.25043     3.91871e+00
   1.01856    3.86458    4.27794     3.75622e+00
   1.04311    3.88791    4.32297     3.53199e+00
   1.06765    3.89596    4.34050     3.34015e+00
   1.09219    3.92272    4.36494     3.17108e+00
   1.11674    3.95191    4.39832     3.08718e+00
   1.14128    3.98226    4.43326     2.96601e+00
   1.16583    3.97418    4.44743     2.79288e+00
   1.19037    3.99953    4.47547     2.68392e+00
   1.21491    4.01682    4.50485     2.56363e+00
   1.23946    4.04302    4.52965     2.47532e+00
   1.26400    4.04779    4.55674     2.34360e+00
   1.28854    4.07953    4.59418     2.24893e+00
   1.31309    4.08323    4.61103     2.19124e+00
   1.33763    4.14038    4.66873     2.09683e+00
   1.36217    4.14358    4.67654     2.04282e+00
   1.38672    4.15794    4.70076     1.95019e+00
   1.41126    4.21430    4.76212     1.88619e+00
   1.43581    4.18160    4.74653     1.81537e+00
   1.46035    4.20853    4.78057     1.74246e+00
   1.48489    4.23673    4.79833     1.70896e+00
   1.50944    4.25375    4.83427     1.63075e+00
   1.53398    4.28487    4.86937     1.57677e+00
   1.55852    4.31383    4.90860     1.52023e+00
   1.58307    4.31978    4.92586     1.46841e+00
   1.60761    4.33554    4.94393     1.42400e+00
   1.63216    4.35413    4.95801     1.40034e+00
   1.65670    4.36111    5.00285     1.32416e+00
   1.68124    4.37656    5.00363     1.30339e+00
