#        k       b1_x       b1_a            Pkmm
   0.03682    3.18545    3.19558     8.17234e+02
   0.06136    3.10355    3.12234     5.04565e+02
   0.08590    3.07536    3.10292     3.39597e+02
   0.11045    3.13879    3.17919     2.22088e+02
   0.13499    3.15870    3.19910     1.80074e+02
   0.15953    3.18489    3.24919     1.29051e+02
   0.18408    3.15844    3.23382     1.01903e+02
   0.20862    3.21256    3.29567     8.29050e+01
   0.23317    3.27602    3.37154     6.86622e+01
   0.25771    3.18373    3.28998     5.55185e+01
   0.28225    3.23135    3.35187     4.87806e+01
   0.30680    3.29156    3.42884     4.04055e+01
   0.33134    3.30895    3.44889     3.62219e+01
   0.35588    3.31018    3.47140     3.00556e+01
   0.38043    3.30357    3.47738     2.66318e+01
   0.40497    3.39123    3.56704     2.40848e+01
   0.42951    3.37940    3.57356     2.11676e+01
   0.45406    3.40064    3.60264     1.86229e+01
   0.47860    3.41838    3.64214     1.70002e+01
   0.50315    3.43713    3.66167     1.55191e+01
   0.52769    3.50146    3.73161     1.40883e+01
   0.55223    3.49414    3.74417     1.28266e+01
   0.57678    3.53014    3.78724     1.21311e+01
   0.60132    3.51367    3.78549     1.07149e+01
   0.62586    3.55307    3.83647     1.00793e+01
   0.65041    3.59056    3.88652     9.15379e+00
   0.67495    3.60401    3.90535     8.72235e+00
   0.69950    3.62344    3.94017     8.08276e+00
   0.72404    3.64567    3.96688     7.45224e+00
   0.74858    3.66997    4.00805     6.95265e+00
   0.77313    3.68400    4.02760     6.61853e+00
   0.79767    3.70845    4.06964     6.10576e+00
   0.82221    3.76048    4.13627     5.70660e+00
   0.84676    3.72665    4.11536     5.33522e+00
   0.87130    3.76964    4.14405     5.21215e+00
   0.89584    3.78764    4.18795     4.69424e+00
   0.92039    3.82999    4.22331     4.58065e+00
   0.94493    3.84029    4.25361     4.30317e+00
   0.96948    3.84984    4.28344     4.04554e+00
   0.99402    3.88647    4.31117     3.91871e+00
   1.01856    3.90666    4.33957     3.75622e+00
   1.04311    3.92992    4.38610     3.53199e+00
   1.06765    3.93879    4.40276     3.34015e+00
   1.09219    3.96277    4.42442     3.17108e+00
   1.11674    3.99065    4.45805     3.08718e+00
   1.14128    4.02255    4.49304     2.96601e+00
   1.16583    4.01574    4.50944     2.79288e+00
   1.19037    4.04109    4.53697     2.68392e+00
   1.21491    4.05894    4.56661     2.56363e+00
   1.23946    4.08165    4.58857     2.47532e+00
   1.26400    4.09146    4.62167     2.34360e+00
   1.28854    4.12157    4.65584     2.24893e+00
   1.31309    4.12719    4.67580     2.19124e+00
   1.33763    4.18498    4.73390     2.09683e+00
   1.36217    4.18679    4.73969     2.04282e+00
   1.38672    4.20072    4.76418     1.95019e+00
