#        k       b1_x       b1_a            Pkmm
   0.03682    3.15031    3.15967     8.17234e+02
   0.06136    3.08390    3.10212     5.04565e+02
   0.08590    3.05662    3.08336     3.39597e+02
   0.11045    3.12897    3.16809     2.22088e+02
   0.13499    3.14810    3.18749     1.80074e+02
   0.15953    3.17689    3.23966     1.29051e+02
   0.18408    3.14972    3.22352     1.01903e+02
   0.20862    3.20660    3.28833     8.29050e+01
   0.23317    3.26761    3.36156     6.86622e+01
   0.25771    3.17802    3.28265     5.55185e+01
   0.28225    3.22513    3.34354     4.87806e+01
   0.30680    3.28427    3.41923     4.04055e+01
   0.33134    3.30337    3.44143     3.62219e+01
   0.35588    3.30385    3.46312     3.00556e+01
   0.38043    3.29821    3.46965     2.66318e+01
   0.40497    3.38513    3.55858     2.40848e+01
   0.42951    3.37337    3.56530     2.11676e+01
   0.45406    3.39543    3.59486     1.86229e+01
   0.47860    3.41197    3.63339     1.70002e+01
   0.50315    3.43186    3.65401     1.55191e+01
   0.52769    3.49478    3.72240     1.40883e+01
   0.55223    3.48899    3.73595     1.28266e+01
   0.57678    3.52431    3.77863     1.21311e+01
   0.60132    3.50779    3.77674     1.07149e+01
   0.62586    3.54753    3.82816     1.00793e+01
   0.65041    3.58562    3.87831     9.15379e+00
   0.67495    3.59889    3.89680     8.72235e+00
   0.69950    3.61775    3.93156     8.08276e+00
   0.72404    3.63988    3.95794     7.45224e+00
   0.74858    3.66434    3.99963     6.95265e+00
   0.77313    3.67859    4.01906     6.61853e+00
   0.79767    3.70286    4.06099     6.10576e+00
   0.82221    3.75546    4.12798     5.70660e+00
   0.84676    3.72066    4.10639     5.33522e+00
   0.87130    3.76392    4.13528     5.21215e+00
   0.89584    3.78239    4.17905     4.69424e+00
   0.92039    3.82496    4.21501     4.58065e+00
   0.94493    3.83453    4.24493     4.30317e+00
   0.96948    3.84475    4.27516     4.04554e+00
   0.99402    3.88060    4.30204     3.91871e+00
   1.01856    3.90086    4.33046     3.75622e+00
   1.04311    3.92465    4.37730     3.53199e+00
   1.06765    3.93322    4.39371     3.34015e+00
   1.09219    3.95711    4.41541     3.17108e+00
   1.11674    3.98472    4.44861     3.08718e+00
   1.14128    4.01704    4.48437     2.96601e+00
   1.16583    4.01050    4.50058     2.79288e+00
   1.19037    4.03518    4.52765     2.68392e+00
   1.21491    4.05323    4.55755     2.56363e+00
   1.23946    4.07610    4.57970     2.47532e+00
   1.26400    4.08567    4.61247     2.34360e+00
   1.28854    4.11591    4.64665     2.24893e+00
   1.31309    4.12144    4.66648     2.19124e+00
   1.33763    4.17936    4.72459     2.09683e+00
   1.36217    4.18083    4.73004     2.04282e+00
   1.38672    4.19505    4.75492     1.95019e+00
   1.41126    4.25283    4.81763     1.88619e+00
   1.43581    4.22085    4.80322     1.81537e+00
   1.46035    4.24611    4.83561     1.74246e+00
   1.48489    4.27681    4.85601     1.70896e+00
   1.50944    4.29279    4.89029     1.63075e+00
   1.53398    4.32354    4.92464     1.57677e+00
   1.55852    4.35234    4.96390     1.52023e+00
   1.58307    4.35908    4.98339     1.46841e+00
   1.60761    4.37697    5.00296     1.42400e+00
   1.63216    4.39141    5.01298     1.40034e+00
   1.65670    4.40157    5.06033     1.32416e+00
   1.68124    4.41621    5.06128     1.30339e+00
   1.70579    4.44057    5.09308     1.26450e+00
   1.73033    4.47575    5.13570     1.22010e+00
   1.75487    4.50101    5.17321     1.18072e+00
   1.77942    4.52014    5.19077     1.14632e+00
