#        k       b1_x       b1_a            Pkmm
   0.03682    5.48570    7.90190     6.00175e+02
   0.06136    1.93469    4.92709     3.70294e+02
   0.08590    1.99318    4.71021     2.50647e+02
   0.11045    1.77672    4.80526     1.63521e+02
   0.13499    1.30443    4.52514     1.32073e+02
   0.15953    1.25859    4.38318     9.47014e+01
   0.18408    0.98786    4.27833     7.49455e+01
   0.20862    0.99909    4.15319     6.09668e+01
   0.23317    1.01707    4.39636     5.00644e+01
   0.25771    0.76683    4.31620     4.07229e+01
   0.28225    0.69416    4.25645     3.55689e+01
   0.30680    0.52626    4.19007     2.94753e+01
   0.33134    0.63830    4.24029     2.62595e+01
   0.35588    0.59718    4.25730     2.18775e+01
   0.38043    0.49896    4.17931     1.93483e+01
   0.40497    0.48193    4.13812     1.74270e+01
   0.42951    0.48837    4.19989     1.52918e+01
   0.45406    0.54084    4.28153     1.34871e+01
   0.47860    0.61596    4.30235     1.22429e+01
   0.50315    0.44791    4.24427     1.11898e+01
   0.52769    0.43642    4.18400     1.01340e+01
   0.55223    0.30015    4.25997     9.19950e+00
   0.57678    0.32673    4.19818     8.66601e+00
   0.60132    0.29366    4.26240     7.67803e+00
   0.62586    0.29910    4.22468     7.19050e+00
   0.65041    0.41713    4.26658     6.53388e+00
   0.67495    0.31886    4.24482     6.20573e+00
   0.69950    0.32021    4.24927     5.73440e+00
   0.72404    0.32024    4.28882     5.25869e+00
   0.74858    0.35895    4.27018     4.91675e+00
   0.77313    0.28375    4.24938     4.67705e+00
   0.79767    0.36334    4.31047     4.29200e+00
   0.82221    0.27460    4.32890     4.01295e+00
   0.84676    0.32542    4.30065     3.75866e+00
   0.87130    0.31335    4.28304     3.64736e+00
   0.89584    0.26587    4.39563     3.28493e+00
   0.92039    0.27973    4.31052     3.20924e+00
   0.94493    0.27301    4.32009     3.01476e+00
   0.96948    0.26460    4.36838     2.81042e+00
   0.99402    0.27391    4.30775     2.72387e+00
   1.01856    0.21141    4.32255     2.60439e+00
   1.04311    0.26422    4.34075     2.43822e+00
   1.06765    0.22244    4.35943     2.30464e+00
   1.09219    0.24524    4.39260     2.19325e+00
   1.11674    0.26005    4.32946     2.12853e+00
   1.14128    0.21089    4.30410     2.04486e+00
   1.16583    0.19892    4.35208     1.91620e+00
   1.19037    0.25533    4.35353     1.84543e+00
   1.21491    0.24293    4.38115     1.75815e+00
   1.23946    0.21749    4.35379     1.69586e+00
   1.26400    0.22674    4.37571     1.60240e+00
   1.28854    0.21210    4.37665     1.53592e+00
   1.31309    0.26045    4.34506     1.49572e+00
   1.33763    0.22373    4.39763     1.42570e+00
   1.36217    0.22409    4.35731     1.38256e+00
   1.38672    0.20920    4.35129     1.32652e+00
   1.41126    0.24517    4.35774     1.26951e+00
   1.43581    0.23593    4.38302     1.22714e+00
   1.46035    0.22368    4.38262     1.17507e+00
   1.48489    0.20733    4.33881     1.15206e+00
   1.50944    0.26004    4.34427     1.09936e+00
   1.53398    0.19633    4.37391     1.05767e+00
   1.55852    0.18759    4.38380     1.01757e+00
   1.58307    0.23607    4.38631     9.85948e-01
   1.60761    0.24563    4.35157     9.55706e-01
   1.63216    0.17248    4.32529     9.36849e-01
   1.65670    0.21997    4.41691     8.84959e-01
   1.68124    0.21437    4.36082     8.71192e-01
   1.70579    0.17270    4.35344     8.42035e-01
   1.73033    0.20785    4.35582     8.07057e-01
   1.75487    0.19725    4.38259     7.81780e-01
   1.77942    0.19999    4.35731     7.60889e-01
   1.80396    0.21005    4.35902     7.41874e-01
   1.82851    0.19154    4.34467     7.21350e-01
   1.85305    0.21159    4.36513     6.98584e-01
   1.87759    0.21002    4.36411     6.77355e-01
   1.90214    0.21143    4.35451     6.59390e-01
   1.92668    0.19486    4.33669     6.40877e-01
   1.95122    0.20127    4.36065     6.20696e-01
   1.97577    0.20236    4.36958     6.03339e-01
   2.00031    0.17794    4.33707     5.88729e-01
   2.02485    0.20771    4.32639     5.73189e-01
   2.04940    0.19929    4.37510     5.50739e-01
   2.07394    0.19715    4.33448     5.42918e-01
   2.09849    0.18436    4.34911     5.26272e-01
   2.12303    0.17163    4.34137     5.12088e-01
   2.14757    0.16149    4.33656     4.96975e-01
