# ix, iy, iz, dm, h1fid, h1new, lum, uv
0 0 0 1.10327e+07 8.89821e+11 8.87664e+11 6.88477e+12 4.76674e+12
0 0 1 1.17506e+07 1.01803e+12 1.01640e+12 5.81871e+12 4.63656e+12
0 0 2 1.04045e+07 7.71341e+11 7.71295e+11 3.05006e+12 4.34008e+12
0 0 3 9.86614e+06 6.88974e+11 6.88889e+11 3.44528e+12 4.32660e+12
0 1 0 1.03400e+07 7.67623e+11 7.66689e+11 4.64502e+12 4.53023e+12
0 1 1 9.78283e+06 6.58008e+11 6.57784e+11 4.17310e+12 4.40841e+12
0 1 2 1.05840e+07 8.16578e+11 8.15718e+11 5.25220e+12 4.49450e+12
0 1 3 1.00296e+07 7.18150e+11 7.17579e+11 4.94024e+12 4.47837e+12
0 2 0 1.13704e+07 9.57333e+11 9.56375e+11 4.70694e+12 4.51706e+12
0 2 1 1.13607e+07 9.57034e+11 9.56392e+11 4.42557e+12 4.46434e+12
0 2 2 1.05144e+07 7.96193e+11 7.95712e+11 3.84162e+12 4.43072e+12
0 2 3 9.96098e+06 7.02597e+11 7.02113e+11 3.84640e+12 4.42444e+12
0 3 0 1.10312e+07 8.99749e+11 8.98358e+11 5.30172e+12 4.57633e+12
0 3 1 1.18864e+07 1.05013e+12 1.04853e+12 5.48329e+12 4.63778e+12
0 3 2 1.10175e+07 8.86397e+11 8.85253e+11 5.63157e+12 4.52981e+12
0 3 3 1.02793e+07 7.49119e+11 7.49021e+11 3.78738e+12 4.35892e+12
1 0 0 1.11388e+07 9.05319e+11 9.03854e+11 5.55087e+12 4.64534e+12
1 0 1 1.14634e+07 9.74852e+11 9.73388e+11 4.79391e+12 4.60674e+12
1 0 2 9.59988e+06 6.48418e+11 6.48069e+11 3.56149e+12 4.40189e+12
1 0 3 1.00143e+07 7.00236e+11 7.00002e+11 3.75724e+12 4.34676e+12
1 1 0 1.05608e+07 7.97276e+11 7.96502e+11 4.57141e+12 4.50757e+12
1 1 1 9.96033e+06 7.01822e+11 7.01408e+11 3.74739e+12 4.42328e+12
1 1 2 1.01131e+07 7.25254e+11 7.25096e+11 3.47684e+12 4.34353e+12
1 1 3 1.08810e+07 8.63974e+11 8.63795e+11 3.89219e+12 4.36453e+12
1 2 0 1.10001e+07 8.97180e+11 8.96144e+11 5.81526e+12 4.51956e+12
1 2 1 1.02960e+07 7.59887e+11 7.59467e+11 3.63417e+12 4.43533e+12
1 2 2 1.11581e+07 9.12764e+11 9.12237e+11 4.73932e+12 4.42409e+12
1 2 3 9.93008e+06 6.97156e+11 6.96825e+11 3.67283e+12 4.37185e+12
1 3 0 1.08135e+07 8.51578e+11 8.50983e+11 4.02629e+12 4.46304e+12
1 3 1 1.10557e+07 8.89020e+11 8.87226e+11 5.76553e+12 4.68116e+12
1 3 2 9.94299e+06 7.04083e+11 7.03439e+11 4.47078e+12 4.47914e+12
1 3 3 1.06652e+07 8.21622e+11 8.21283e+11 4.22490e+12 4.39327e+12
2 0 0 1.13010e+07 9.32976e+11 9.31881e+11 5.28904e+12 4.56201e+12
2 0 1 1.08328e+07 8.44977e+11 8.44296e+11 4.49765e+12 4.48643e+12
2 0 2 1.08572e+07 8.70302e+11 8.69407e+11 4.89228e+12 4.47835e+12
2 0 3 1.09833e+07 8.85230e+11 8.84215e+11 4.87042e+12 4.50975e+12
2 1 0 1.00380e+07 7.02772e+11 7.02655e+11 3.80017e+12 4.36748e+12
2 1 1 9.55731e+06 6.31208e+11 6.31234e+11 3.38293e+12 4.31574e+12
2 1 2 9.82825e+06 6.90357e+11 6.90261e+11 3.85532e+12 4.31050e+12
2 1 3 1.13105e+07 9.37023e+11 9.36421e+11 5.07508e+12 4.43621e+12
2 2 0 1.01626e+07 7.38407e+11 7.38277e+11 3.76049e+12 4.35463e+12
2 2 1 1.03967e+07 7.77508e+11 7.76101e+11 7.01911e+12 4.64115e+12
2 2 2 9.34671e+06 6.02706e+11 6.02844e+11 2.93716e+12 4.28307e+12
2 2 3 1.01880e+07 7.43381e+11 7.43350e+11 3.68413e+12 4.31704e+12
2 3 0 1.03849e+07 7.74479e+11 7.73833e+11 4.55322e+12 4.45241e+12
2 3 1 1.05744e+07 8.03010e+11 8.02179e+11 4.82501e+12 4.52708e+12
2 3 2 1.00811e+07 7.22467e+11 7.21344e+11 6.09105e+12 4.59910e+12
2 3 3 1.04597e+07 7.82899e+11 7.82343e+11 4.55642e+12 4.45296e+12
3 0 0 1.14091e+07 9.67411e+11 9.65808e+11 5.26619e+12 4.59221e+12
3 0 1 9.94378e+06 6.93653e+11 6.93330e+11 4.02863e+12 4.40684e+12
3 0 2 1.07053e+07 8.39340e+11 8.39028e+11 4.22528e+12 4.37253e+12
3 0 3 1.01333e+07 7.26957e+11 7.26580e+11 3.76269e+12 4.41970e+12
3 1 0 1.01189e+07 7.21080e+11 7.20568e+11 4.78978e+12 4.45087e+12
3 1 1 9.61707e+06 6.43294e+11 6.43489e+11 2.99697e+12 4.29239e+12
3 1 2 1.06413e+07 8.17306e+11 8.17104e+11 3.95478e+12 4.37998e+12
3 1 3 1.00436e+07 7.10322e+11 7.10196e+11 3.45603e+12 4.36802e+12
3 2 0 1.05002e+07 8.01227e+11 8.00855e+11 4.09866e+12 4.40320e+12
3 2 1 1.00331e+07 7.06399e+11 7.05916e+11 4.75213e+12 4.44555e+12
3 2 2 1.01761e+07 7.42782e+11 7.42649e+11 3.76386e+12 4.36887e+12
3 2 3 1.05753e+07 8.07317e+11 8.06783e+11 4.74669e+12 4.42524e+12
3 3 0 1.11626e+07 9.15743e+11 9.14470e+11 5.65445e+12 4.57004e+12
3 3 1 9.56398e+06 6.42209e+11 6.42079e+11 2.99381e+12 4.36837e+12
3 3 2 1.05104e+07 7.87440e+11 7.87104e+11 4.62009e+12 4.41414e+12
3 3 3 9.81256e+06 6.66317e+11 6.66002e+11 3.97006e+12 4.40401e+12
