# ix, iy, iz, dm, h1fid, h1new, lum, uv
0 0 0 1.47336e+06 9.63702e+10 9.58377e+10 3.47157e+11 1.74352e+12
0 0 1 1.41134e+06 8.56704e+10 8.54941e+10 2.24247e+11 1.73383e+12
0 0 2 1.32551e+06 7.47743e+10 7.43214e+10 3.23343e+11 1.74226e+12
0 0 3 1.38482e+06 8.42080e+10 8.37950e+10 2.52140e+11 1.74691e+12
0 0 4 1.25785e+06 6.45714e+10 6.18960e+10 3.25645e+11 1.86528e+12
0 0 5 1.25758e+06 6.18720e+10 5.95045e+10 1.87669e+11 1.99378e+12
0 0 6 1.16131e+06 5.08366e+10 5.07145e+10 1.36611e+11 1.73798e+12
0 0 7 1.15596e+06 5.07777e+10 5.08661e+10 1.53405e+11 1.71751e+12
0 1 0 1.42599e+06 9.33561e+10 9.32675e+10 3.13116e+11 1.72512e+12
0 1 1 1.26155e+06 6.56267e+10 6.56959e+10 1.72206e+11 1.71976e+12
0 1 2 1.43929e+06 8.90039e+10 8.89537e+10 2.72353e+11 1.72940e+12
0 1 3 1.35260e+06 7.78784e+10 7.79044e+10 1.96172e+11 1.72504e+12
0 1 4 1.28468e+06 6.85705e+10 6.84113e+10 1.66520e+11 1.74039e+12
0 1 5 1.38999e+06 8.56775e+10 8.53356e+10 2.12379e+11 1.74648e+12
0 1 6 1.40590e+06 8.79676e+10 8.78326e+10 2.75169e+11 1.72786e+12
0 1 7 1.36093e+06 7.94504e+10 7.96815e+10 1.42735e+11 1.71313e+12
0 2 0 1.33641e+06 7.82426e+10 7.80604e+10 3.31901e+11 1.72578e+12
0 2 1 1.26549e+06 6.72985e+10 6.70585e+10 2.75334e+11 1.73485e+12
0 2 2 1.28838e+06 6.95014e+10 6.94959e+10 2.18786e+11 1.72392e+12
0 2 3 1.21230e+06 5.67493e+10 5.63267e+10 9.23571e+11 1.76174e+12
0 2 4 1.09395e+06 4.21861e+10 4.22034e+10 2.08374e+11 1.72353e+12
0 2 5 1.31359e+06 7.20938e+10 7.10110e+10 4.69214e+11 1.78303e+12
0 2 6 1.58808e+06 1.13972e+11 1.11828e+11 1.15699e+12 1.78712e+12
0 2 7 1.14019e+06 5.26146e+10 5.26596e+10 1.61821e+11 1.71604e+12
0 3 0 1.24944e+06 6.31113e+10 6.28931e+10 3.09667e+11 1.73118e+12
0 3 1 1.32064e+06 7.40716e+10 7.39315e+10 2.47694e+11 1.72794e+12
0 3 2 1.12368e+06 4.50802e+10 4.52211e+10 1.34494e+11 1.71303e+12
0 3 3 1.27325e+06 6.64418e+10 6.65346e+10 2.21544e+11 1.72440e+12
0 3 4 1.21993e+06 6.06683e+10 6.06129e+10 2.22237e+11 1.72020e+12
0 3 5 1.48573e+06 1.00404e+11 9.96333e+10 4.50696e+11 1.75526e+12
0 3 6 1.26174e+06 6.65428e+10 6.62582e+10 2.00582e+11 1.74042e+12
0 3 7 1.11503e+06 4.71348e+10 4.71873e+10 1.31543e+11 1.71796e+12
0 4 0 1.47429e+06 1.00665e+11 1.00208e+11 3.11366e+11 1.74035e+12
0 4 1 1.39352e+06 8.51766e+10 8.46562e+10 4.18428e+11 1.73811e+12
0 4 2 1.26725e+06 6.83524e+10 6.81775e+10 2.88966e+11 1.72865e+12
0 4 3 1.50980e+06 1.03141e+11 1.03140e+11 2.80631e+11 1.72169e+12
0 4 4 1.31592e+06 7.28910e+10 7.26326e+10 3.42240e+11 1.72722e+12
