# r, xi(r)
1.063902059906984165e+00 4.081428350300422281e+00
1.196349134526123459e+00 3.461020897071884761e+00
1.345269957434974906e+00 3.008471763462635451e+00
1.512737352774778055e+00 2.576227505616515590e+00
1.701053201090363842e+00 2.204703584689261753e+00
1.912796861441884211e+00 1.859904582666463302e+00
2.150905069277615489e+00 1.579427656237114785e+00
2.418642148300284234e+00 1.338465099323490559e+00
2.719699693175672728e+00 1.142103309290212643e+00
3.058236640858373434e+00 9.709182593684255735e-01
3.438890925768545159e+00 8.228364847527938064e-01
3.866940402594082116e+00 6.985900666903681611e-01
4.348254748202457165e+00 5.874041527102440430e-01
4.889466907296284859e+00 4.982301251564342781e-01
5.498037576827240258e+00 4.182714231036295249e-01
6.182340513354934508e+00 3.525037611402868087e-01
6.951790346806733467e+00 2.942496374381085023e-01
7.817022020441208419e+00 2.457439906248073402e-01
8.789909674102496240e+00 2.018732686082684857e-01
9.883865284806846674e+00 1.659804753573650427e-01
1.111395293189288758e+01 1.349952998390304693e-01
1.249709712617980628e+01 1.096741400363638874e-01
1.405235397581274270e+01 8.771047559978439878e-02
1.580121368737024845e+01 6.860569848308339935e-02
1.776771036962807671e+01 5.491012894123881161e-02
1.997874566038306909e+01 4.323714105544640418e-02
2.246506312258267712e+01 3.330553499419042218e-02
2.526065379794079035e+01 2.575567715984061756e-02
2.840413442088568985e+01 1.913698581441480862e-02
