# r, xi(r)
1.065148347366753345e+00 6.914623827450960825e-01
1.199812253258008443e+00 6.043138011725135428e-01
1.351709258675550362e+00 5.303801029640395903e-01
1.522657291945757496e+00 4.530044909378201368e-01
1.715427646736795486e+00 3.931528459507478424e-01
1.932513926240360114e+00 3.345832293453647743e-01
2.177037073205383422e+00 2.917941937675272435e-01
2.452610845174717724e+00 2.550619706437859957e-01
2.762409196275915413e+00 2.270257470109919851e-01
3.112130826898320546e+00 1.918007944518349550e-01
3.505947851417473338e+00 1.648221683734820697e-01
3.949285924698308747e+00 1.419648559436481605e-01
4.449017221540885636e+00 1.209428097567544214e-01
5.012049869047489281e+00 1.026328954773829683e-01
5.645946683680659994e+00 8.798665779806458254e-02
6.360011452599833248e+00 7.462754091018486413e-02
7.164637900673250570e+00 6.220233154363441486e-02
8.070992255620273781e+00 5.150025282705228413e-02
9.091872994726747592e+00 4.293597976086482859e-02
1.024211566950034680e+01 3.541987365876431149e-02
1.153755113102252494e+01 2.946526087942991090e-02
1.299672774440408318e+01 2.341287270162295542e-02
1.464074098601253482e+01 1.901388329696973578e-02
1.649280706844826128e+01 1.479506254335261062e-02
1.857899519786998965e+01 1.181431558335210852e-02
2.092886624961277064e+01 9.057878661531626463e-03
2.357616596217205185e+01 6.909918599206310574e-03
2.655822027117033812e+01 4.989511560252068989e-03
2.991744412562124111e+01 3.715754260200876402e-03
