# r, xi(r)
1.064136359945726973e+00 1.081122547081414531e+00
1.196595558549149452e+00 9.364963819719869242e-01
1.345550578447828549e+00 8.149392212211055142e-01
1.513034668523275839e+00 7.075927689802254950e-01
1.701351204958794661e+00 6.124383978481717783e-01
1.913116196214821541e+00 5.307222983299988428e-01
2.151237346491273517e+00 4.605078643582680709e-01
2.419001116004865892e+00 3.980111171154228078e-01
2.720079674014542981e+00 3.439186594019081333e-01
3.058616455631292030e+00 2.966478186525700611e-01
3.439316053021788999e+00 2.545436264561511397e-01
3.867349737491098782e+00 2.186237718658736728e-01
4.348680521730203807e+00 1.865653566873397562e-01
4.889906599466822712e+00 1.586518362016093864e-01
5.498481439661599524e+00 1.342083772710487288e-01
6.182785019255222281e+00 1.133754158535442702e-01
6.952259432859277943e+00 9.527719374073728709e-02
7.817456338713816066e+00 7.967340914151788134e-02
8.790345137421944344e+00 6.598001308167611434e-02
9.884303443488910546e+00 5.464241445441153644e-02
1.111437951560276183e+01 4.469243696834457324e-02
1.249751403128258076e+01 3.625230589374139889e-02
1.405277170760573924e+01 2.908165008456031764e-02
1.580156626236193240e+01 2.302048152474123199e-02
1.776800631453430768e+01 1.817735963360767037e-02
1.997907904315557559e+01 1.420496722755837382e-02
2.246533584084323820e+01 1.101544348029803722e-02
2.526093303124644507e+01 8.493939794480542815e-03
2.840437834721615573e+01 6.305246759482407981e-03
