#        k       b1_x       b1_a            Pkmm
   0.03682    2.07231    2.07202     1.83345e+03
   0.06136    2.03741    2.03739     1.13346e+03
   0.08590    2.03644    2.03628     7.49612e+02
   0.11045    2.06071    2.06096     4.93931e+02
   0.13499    2.07207    2.07107     4.06011e+02
   0.15953    2.07789    2.07812     2.90779e+02
   0.18408    2.08201    2.08208     2.27887e+02
   0.20862    2.10234    2.10150     1.85803e+02
   0.23317    2.12094    2.11944     1.58449e+02
   0.25771    2.10943    2.10649     1.26195e+02
   0.28225    2.12055    2.11678     1.12493e+02
   0.30680    2.14520    2.14042     9.35006e+01
   0.33134    2.15598    2.14870     8.57137e+01
   0.35588    2.17040    2.16068     7.05821e+01
   0.38043    2.16682    2.15582     6.28881e+01
   0.40497    2.19606    2.18080     5.75205e+01
   0.42951    2.20197    2.18499     5.10728e+01
   0.45406    2.20762    2.18513     4.46171e+01
   0.47860    2.22372    2.20059     4.17876e+01
   0.50315    2.23220    2.20474     3.78055e+01
   0.52769    2.25310    2.22042     3.46595e+01
   0.55223    2.25543    2.21920     3.18917e+01
   0.57678    2.27260    2.23459     3.03344e+01
   0.60132    2.26584    2.21925     2.70248e+01
   0.62586    2.28905    2.24168     2.55225e+01
   0.65041    2.30632    2.25231     2.34248e+01
   0.67495    2.31007    2.25150     2.23736e+01
   0.69950    2.32233    2.25883     2.08510e+01
   0.72404    2.33099    2.26090     1.96905e+01
   0.74858    2.34508    2.26998     1.83179e+01
   0.77313    2.35075    2.27119     1.74976e+01
   0.79767    2.36471    2.27823     1.65020e+01
   0.82221    2.37922    2.28683     1.53881e+01
   0.84676    2.37832    2.27718     1.44480e+01
   0.87130    2.39639    2.29116     1.41336e+01
   0.89584    2.41148    2.29659     1.30485e+01
   0.92039    2.42109    2.30032     1.25933e+01
   0.94493    2.42918    2.30037     1.18266e+01
   0.96948    2.43471    2.30123     1.14404e+01
   0.99402    2.44613    2.30700     1.10930e+01
   1.01856    2.45170    2.30474     1.05958e+01
   1.04311    2.46937    2.31632     1.02835e+01
   1.06765    2.47836    2.31805     9.79629e+00
   1.09219    2.49336    2.31988     9.19447e+00
   1.11674    2.49531    2.31714     8.99344e+00
   1.14128    2.50722    2.31937     8.60290e+00
   1.16583    2.51686    2.32392     8.37479e+00
   1.19037    2.51886    2.31266     7.92551e+00
   1.21491    2.53519    2.32195     7.64498e+00
   1.23946    2.54144    2.32037     7.41647e+00
   1.26400    2.54926    2.31568     7.06179e+00
   1.28854    2.55729    2.31626     6.88365e+00
   1.31309    2.57228    2.32274     6.62706e+00
   1.33763    2.58027    2.32364     6.48231e+00
   1.36217    2.59297    2.32896     6.30932e+00
   1.38672    2.59578    2.31751     6.03535e+00
   1.41126    2.60689    2.32125     5.89805e+00
   1.43581    2.61266    2.31935     5.74029e+00
   1.46035    2.62324    2.32018     5.55650e+00
   1.48489    2.63202    2.31826     5.38489e+00
   1.50944    2.63801    2.31218     5.20659e+00
   1.53398    2.65339    2.31799     5.08405e+00
   1.55852    2.65964    2.31631     4.94909e+00
   1.58307    2.67292    2.31886     4.81859e+00
   1.60761    2.67449    2.30469     4.63903e+00
   1.63216    2.68252    2.30708     4.57762e+00
   1.65670    2.69823    2.31066     4.40183e+00
   1.68124    2.69861    2.30038     4.33656e+00
   1.70579    2.71313    2.30541     4.21348e+00
   1.73033    2.71733    2.29203     4.07008e+00
   1.75487    2.73654    2.30343     3.96904e+00
   1.77942    2.73395    2.29054     3.90328e+00
   1.80396    2.74834    2.29473     3.81476e+00
   1.82851    2.75560    2.29428     3.73945e+00
   1.85305    2.76323    2.28957     3.65022e+00
   1.87759    2.77408    2.28467     3.54475e+00
   1.90214    2.78789    2.29059     3.47803e+00
   1.92668    2.78734    2.26977     3.36852e+00
   1.95122    2.79629    2.26428     3.26614e+00
   1.97577    2.80490    2.27230     3.26575e+00
   2.00031    2.81772    2.27052     3.17076e+00
   2.02485    2.82065    2.26057     3.11273e+00
   2.04940    2.83103    2.25575     3.02792e+00
   2.07394    2.84006    2.25177     2.96309e+00
   2.09849    2.84347    2.23587     2.88266e+00
   2.12303    2.85763    2.24101     2.82812e+00
   2.14757    2.86084    2.23607     2.79480e+00
   2.17212    2.87243    2.23739     2.74879e+00
   2.19666    2.87834    2.22333     2.67503e+00
   2.22120    2.88647    2.21363     2.60561e+00
   2.24575    2.89240    2.20925     2.56838e+00
   2.27029    2.89931    2.20136     2.51481e+00
   2.29484    2.90748    2.19572     2.46509e+00
   2.31938    2.92071    2.19418     2.41711e+00
   2.34392    2.92905    2.19325     2.38431e+00
   2.36847    2.93176    2.17577     2.32898e+00
   2.39301    2.94441    2.16715     2.26519e+00
   2.41755    2.94625    2.15240     2.22630e+00
   2.44210    2.96165    2.15466     2.18142e+00
   2.46664    2.96747    2.14581     2.14568e+00
   2.49118    2.97779    2.14031     2.10371e+00
   2.51573    2.98299    2.12733     2.06301e+00
   2.54027    2.99061    2.12677     2.04258e+00
   2.56482    3.00404    2.11525     1.98722e+00
   2.58936    3.01020    2.10460     1.95044e+00
   2.61390    3.02024    2.09839     1.91538e+00
   2.63845    3.02654    2.08610     1.88143e+00
   2.66299    3.03258    2.07964     1.85988e+00
   2.68753    3.03899    2.06057     1.81888e+00
   2.71208    3.04968    2.05180     1.78226e+00
   2.73662    3.05102    2.03351     1.75368e+00
   2.76117    3.06327    2.03625     1.73102e+00
   2.78571    3.06936    2.00572     1.68215e+00
   2.81025    3.08050    2.00024     1.65531e+00
   2.83480    3.08206    1.98556     1.63647e+00
   2.85934    3.09091    1.96982     1.60064e+00
   2.88388    3.10396    1.97116     1.58227e+00
   2.90843    3.10729    1.93030     1.53353e+00
   2.93297    3.11659    1.92927     1.52034e+00
   2.95751    3.12385    1.91248     1.49410e+00
   2.98206    3.13454    1.90676     1.47080e+00
   3.00660    3.14570    1.89537     1.44548e+00
   3.03115    3.15418    1.88489     1.42485e+00
   3.05569    3.15776    1.84835     1.39242e+00
   3.08023    3.16648    1.84273     1.37581e+00
   3.10478    3.17083    1.80528     1.34249e+00
   3.12932    3.18235    1.79341     1.32185e+00
   3.15386    3.19195    1.77415     1.29727e+00
   3.17841    3.19544    1.75842     1.28472e+00
   3.20295    3.20301    1.72723     1.25694e+00
   3.22750    3.21393    1.72355     1.24279e+00
   3.25204    3.21654    1.67085     1.21120e+00
   3.27658    3.22888    1.67356     1.19992e+00
   3.30113    3.23161    1.63539     1.17759e+00
   3.32567    3.24280    1.61768     1.15843e+00
   3.35021    3.25018    1.58980     1.13894e+00
   3.37476    3.25842    1.56524     1.12190e+00
   3.39930    3.26609    1.54217     1.10465e+00
   3.42385    3.27921    1.50288     1.07917e+00
   3.44839    3.28474    1.45953     1.06008e+00
   3.47293    3.29145    1.44941     1.05167e+00
   3.49748    3.29903    1.41306     1.03293e+00
   3.52202    3.30137    1.33690     1.00708e+00
   3.54656    3.31236    1.32537     9.97230e-01
   3.57111    3.32267    1.29734     9.81794e-01
   3.59565    3.33132    1.26502     9.68156e-01
   3.62019    3.33293    1.19495     9.50191e-01
   3.64474    3.34587    1.16124     9.33496e-01
   3.66928    3.35243    1.10474     9.18898e-01
   3.69383    3.36326    1.05770     9.02604e-01
   3.71837    3.36308    0.97554     8.89000e-01
   3.74291    3.37450    0.90402     8.71920e-01
   3.76746    3.38151    0.87042     8.62507e-01
   3.79200    3.39307    0.78463     8.45957e-01
   3.81654    3.39313    0.65015     8.31006e-01
   3.84109    3.40757    0.58479     8.17628e-01
   3.86563    3.41266    0.40639     8.03480e-01
   3.89018    3.42395    0.22633     7.89915e-01
