# Redshift space power spectrum multipoles.
# Subtracting SN=    6.72430e+00 from monopole.
#        k              P0              P2              P4
   0.05000     6.16488e+03     3.24856e+03     4.38351e+03
   0.07000     5.02795e+03     2.56593e+03    -1.38098e+03
   0.09000     3.35222e+03     9.27744e+02    -1.48810e+03
   0.11000     2.56272e+03     1.02883e+03     6.92881e+01
   0.13000     2.25161e+03     1.21268e+03     7.98568e+02
   0.15000     1.65297e+03     7.64382e+02     2.45356e+02
   0.17000     1.33485e+03     5.78922e+02    -3.70554e+02
   0.19000     1.13896e+03     4.94823e+02     7.72726e+00
   0.21000     1.00081e+03     4.77408e+02    -1.39513e+02
   0.23000     8.80233e+02     5.03698e+02     1.77680e+02
   0.25000     7.19814e+02     2.61847e+02    -8.64717e+01
   0.27000     6.68494e+02     2.54341e+02    -8.84779e+01
   0.29000     5.66844e+02     2.50964e+02    -4.92811e+01
   0.31000     5.31396e+02     3.26334e+02     5.09373e+01
   0.33000     5.01757e+02     2.76546e+02     1.27548e+02
   0.35000     4.16614e+02     2.16731e+02     1.12544e+02
   0.37000     3.82167e+02     1.81950e+02     1.48084e+01
   0.39000     3.63167e+02     2.01934e+02     2.15710e+01
   0.41000     3.30524e+02     1.57462e+02    -4.38658e+01
   0.43000     2.99578e+02     1.41243e+02     2.00111e+01
   0.45000     2.68581e+02     1.30002e+02     2.06892e+01
   0.47000     2.58589e+02     1.43746e+02     2.15722e+01
   0.49000     2.44079e+02     1.55568e+02     4.43330e+01
   0.51000     2.31125e+02     1.11935e+02     1.48865e+00
   0.53000     2.13227e+02     1.09197e+02     9.46748e-02
   0.55000     1.96585e+02     9.90350e+01     2.90027e+00
   0.57000     1.93280e+02     9.30810e+01     2.22016e+01
   0.59000     1.77039e+02     9.37742e+01     1.75110e+01
   0.61000     1.65037e+02     8.98330e+01    -4.99125e+00
   0.63000     1.61084e+02     8.49846e+01     2.57480e+01
   0.65000     1.49729e+02     8.11755e+01     1.61811e+01
   0.67000     1.47166e+02     9.12218e+01     1.00915e+01
   0.69000     1.39859e+02     8.62111e+01     3.39847e+00
   0.71000     1.31926e+02     7.65648e+01     2.47665e+01
   0.73000     1.23762e+02     7.25198e+01     3.34775e+00
   0.75000     1.19378e+02     7.41377e+01     1.00692e+01
   0.77000     1.14950e+02     6.95747e+01     2.96298e+01
   0.79000     1.10835e+02     6.64823e+01     1.27179e+01
   0.81000     1.04940e+02     5.71002e+01     8.53584e+00
   0.83000     9.99204e+01     5.61194e+01    -2.81380e+00
   0.85000     9.54556e+01     5.97536e+01     2.07549e+00
   0.87000     9.37952e+01     5.69859e+01     1.79401e+01
   0.89000     9.02478e+01     5.52148e+01     2.07725e+00
   0.91000     8.63671e+01     5.69503e+01     1.53994e+01
   0.93000     8.23607e+01     5.42308e+01     1.31978e+01
   0.95000     7.95300e+01     4.85222e+01     4.41877e+00
   0.97000     7.67531e+01     4.95548e+01     1.28551e+01
   0.99000     7.48770e+01     4.51666e+01     1.02066e+01
   1.01000     7.24552e+01     4.27357e+01     8.65086e+00
