#        k       b1_x       b1_a            Pkmm
   0.03682    2.20546    2.20544     1.83345e+03
   0.06136    2.14984    2.14938     1.13346e+03
   0.08590    2.15341    2.15241     7.49612e+02
   0.11045    2.17750    2.17687     4.93931e+02
   0.13499    2.19794    2.19508     4.06011e+02
   0.15953    2.20194    2.20084     2.90779e+02
   0.18408    2.21043    2.20879     2.27887e+02
   0.20862    2.23460    2.23118     1.85803e+02
   0.23317    2.25646    2.25220     1.58449e+02
   0.25771    2.24093    2.23373     1.26195e+02
   0.28225    2.25413    2.24509     1.12493e+02
   0.30680    2.28293    2.27252     9.35006e+01
   0.33134    2.29090    2.27606     8.57137e+01
   0.35588    2.31053    2.29088     7.05821e+01
   0.38043    2.30515    2.28433     6.28881e+01
   0.40497    2.34108    2.31308     5.75205e+01
   0.42951    2.34402    2.31187     5.10728e+01
   0.45406    2.35544    2.31351     4.46171e+01
   0.47860    2.37394    2.33105     4.17876e+01
   0.50315    2.37957    2.32970     3.78055e+01
   0.52769    2.40195    2.34427     3.46595e+01
   0.55223    2.41227    2.34925     3.18917e+01
   0.57678    2.42269    2.35433     3.03344e+01
   0.60132    2.41799    2.33632     2.70248e+01
   0.62586    2.44370    2.35993     2.55225e+01
   0.65041    2.46365    2.36961     2.34248e+01
   0.67495    2.46665    2.36452     2.23736e+01
   0.69950    2.48282    2.37305     2.08510e+01
   0.72404    2.48766    2.36625     1.96905e+01
   0.74858    2.50863    2.37819     1.83179e+01
   0.77313    2.50728    2.36959     1.74976e+01
   0.79767    2.52536    2.37699     1.65020e+01
   0.82221    2.54326    2.38486     1.53881e+01
   0.84676    2.54163    2.36831     1.44480e+01
   0.87130    2.56241    2.38219     1.41336e+01
   0.89584    2.57798    2.38198     1.30485e+01
   0.92039    2.59214    2.38546     1.25933e+01
   0.94493    2.59610    2.37397     1.18266e+01
   0.96948    2.60770    2.37935     1.14404e+01
   0.99402    2.61539    2.37731     1.10930e+01
   1.01856    2.62465    2.37231     1.05958e+01
   1.04311    2.63862    2.37580     1.02835e+01
   1.06765    2.65587    2.38060     9.79629e+00
   1.09219    2.67567    2.37935     9.19447e+00
