# Subtracting SN=    4.36996e+01.
#        k         Pk_0_HI
   0.03471     1.47276e+04
   0.04533     1.08784e+04
   0.05750     8.53668e+03
   0.07243     7.65768e+03
   0.08030     5.77841e+03
   0.09129     4.77252e+03
   0.10670     4.05734e+03
   0.11962     3.77785e+03
   0.12974     3.32562e+03
   0.14416     2.63394e+03
   0.15607     2.53475e+03
   0.16886     2.22069e+03
   0.18066     1.88667e+03
   0.19462     1.78199e+03
   0.20682     1.61971e+03
   0.21908     1.53326e+03
   0.23113     1.46182e+03
   0.24367     1.32968e+03
   0.25601     1.09191e+03
   0.26906     1.06674e+03
   0.28135     1.03622e+03
   0.29458     9.31054e+02
   0.30676     9.39579e+02
   0.31943     8.69802e+02
   0.33214     8.48256e+02
   0.34474     7.49181e+02
   0.35626     6.83215e+02
   0.36909     6.69005e+02
   0.38137     6.24355e+02
   0.39368     6.40052e+02
   0.40596     5.76579e+02
   0.41935     5.78760e+02
   0.43138     5.16471e+02
   0.44349     5.01504e+02
   0.45625     4.69424e+02
   0.46966     4.65315e+02
   0.48162     4.53914e+02
   0.49397     4.34069e+02
   0.50656     4.08360e+02
   0.51863     4.27805e+02
   0.53044     3.85639e+02
   0.54375     3.84106e+02
   0.55676     3.53740e+02
   0.56902     3.68440e+02
   0.58090     3.44424e+02
   0.59394     3.24990e+02
   0.60659     3.19133e+02
   0.61858     3.07229e+02
   0.63073     3.07539e+02
   0.64386     2.95326e+02
   0.65636     2.89536e+02
   0.66869     2.92271e+02
   0.68131     2.66979e+02
   0.69392     2.73746e+02
   0.70632     2.58638e+02
   0.71842     2.49736e+02
   0.73133     2.35920e+02
   0.74383     2.40542e+02
   0.75642     2.35372e+02
   0.76892     2.24084e+02
   0.78169     2.30048e+02
   0.79408     2.14105e+02
   0.80610     2.08827e+02
   0.81834     2.09501e+02
   0.83113     2.04950e+02
   0.84356     1.97068e+02
   0.85621     1.86562e+02
   0.86876     1.88588e+02
   0.88154     1.88552e+02
   0.89355     1.76538e+02
   0.90634     1.76073e+02
   0.91886     1.71152e+02
   0.93130     1.69770e+02
   0.94392     1.64322e+02
   0.95621     1.59255e+02
   0.96854     1.60508e+02
   0.98126     1.57436e+02
   0.99357     1.54114e+02
   1.00643     1.51186e+02
   1.01870     1.49494e+02
   1.03126     1.46099e+02
   1.04402     1.46348e+02
   1.05654     1.40132e+02
   1.06869     1.38070e+02
   1.08129     1.33210e+02
   1.09371     1.29098e+02
   1.10646     1.25206e+02
   1.11883     1.27216e+02
   1.13137     1.30042e+02
   1.14381     1.21464e+02
   1.15611     1.20807e+02
   1.16847     1.16432e+02
   1.18123     1.15831e+02
   1.19379     1.13511e+02
   1.20615     1.11026e+02
   1.21876     1.08976e+02
   1.23169     1.06200e+02
   1.24362     1.04580e+02
   1.25596     1.02152e+02
   1.26862     1.01298e+02
   1.28125     1.00500e+02
   1.29378     9.65244e+01
   1.30632     9.64674e+01
   1.31873     9.18595e+01
   1.33129     9.18912e+01
   1.34365     9.36390e+01
   1.35617     9.06681e+01
   1.36877     8.90171e+01
   1.38124     8.68233e+01
   1.39384     8.47065e+01
   1.40620     8.41759e+01
   1.41870     8.47360e+01
   1.43133     7.99461e+01
   1.44395     7.82115e+01
   1.45629     7.86499e+01
   1.46888     7.59985e+01
   1.48123     7.55258e+01
   1.49385     7.13081e+01
   1.50637     7.28685e+01
   1.51879     7.08561e+01
   1.53118     7.02295e+01
   1.54377     7.08873e+01
   1.55620     6.73636e+01
   1.56872     6.93469e+01
   1.58120     6.41083e+01
   1.59371     6.45517e+01
   1.60599     6.25991e+01
   1.61865     6.25919e+01
   1.63133     6.12915e+01
   1.64389     5.94352e+01
   1.65620     5.98121e+01
   1.66875     5.88637e+01
   1.68124     5.61253e+01
   1.69373     5.55270e+01
   1.70613     5.53919e+01
   1.71876     5.33022e+01
   1.73122     5.23652e+01
   1.74388     5.13729e+01
   1.75630     5.19710e+01
   1.76889     5.00338e+01
   1.78135     5.02026e+01
   1.79367     4.95599e+01
   1.80623     4.87304e+01
   1.81883     4.82897e+01
   1.83105     4.74136e+01
   1.84372     4.55686e+01
   1.85626     4.57130e+01
   1.86877     4.52290e+01
   1.88126     4.40318e+01
   1.89376     4.35048e+01
   1.90612     4.29092e+01
   1.91872     4.13188e+01
   1.93133     3.97856e+01
   1.94390     4.00319e+01
   1.95627     3.90729e+01
   1.96884     3.88536e+01
   1.98128     3.84308e+01
   1.99360     3.76141e+01
   2.00601     3.63788e+01
   2.01865     3.63059e+01
   2.03129     3.47301e+01
   2.04372     3.47035e+01
   2.05627     3.34364e+01
   2.06890     3.33245e+01
   2.08129     3.30590e+01
   2.09355     3.16730e+01
   2.10609     3.02336e+01
   2.11865     3.10385e+01
   2.13110     2.99060e+01
   2.14358     2.87917e+01
   2.15632     2.88301e+01
   2.16888     2.84999e+01
   2.18136     2.81523e+01
   2.19375     2.68725e+01
   2.20648     2.63906e+01
   2.21891     2.58111e+01
   2.23127     2.53212e+01
   2.24362     2.42325e+01
   2.25610     2.37815e+01
   2.26860     2.40315e+01
   2.28134     2.30760e+01
   2.29396     2.36728e+01
   2.30651     2.20998e+01
   2.31883     2.14111e+01
   2.33131     2.15315e+01
   2.34379     2.04171e+01
   2.35620     1.98789e+01
   2.36856     1.99863e+01
   2.38127     1.92646e+01
   2.39387     1.86959e+01
   2.40629     1.79792e+01
   2.41869     1.81235e+01
   2.43124     1.70045e+01
   2.44369     1.65585e+01
   2.45637     1.60618e+01
   2.46879     1.58246e+01
   2.48121     1.53484e+01
   2.49370     1.54183e+01
   2.50623     1.44328e+01
   2.51865     1.40824e+01
   2.53107     1.40499e+01
   2.54368     1.35694e+01
   2.55639     1.30552e+01
   2.56875     1.28068e+01
   2.58134     1.25690e+01
   2.59382     1.17723e+01
   2.60628     1.18138e+01
   2.61873     1.13725e+01
   2.63125     1.10773e+01
   2.64375     1.06231e+01
   2.65626     1.00539e+01
   2.66870     9.83695e+00
