# Redshift space power spectrum multipoles.
# Subtracting SN=    5.85754e+01 from monopole.
#        k              P0              P2              P4
   0.05000     1.04402e+04     6.74689e+03     8.00423e+03
   0.07000     8.82197e+03     5.39762e+03    -3.07850e+03
   0.09000     5.60005e+03     1.83118e+03    -2.66255e+03
   0.11000     4.31725e+03     1.97531e+03     3.13176e+02
   0.13000     3.97569e+03     2.59027e+03     1.50813e+03
   0.15000     2.82315e+03     1.58857e+03     7.32022e+02
   0.17000     2.30786e+03     1.08304e+03    -8.59738e+02
   0.19000     1.91017e+03     8.46539e+02     2.09546e+01
   0.21000     1.74488e+03     9.82176e+02    -2.44442e+02
   0.23000     1.51571e+03     9.95487e+02     2.73759e+02
   0.25000     1.28546e+03     6.69652e+02    -6.31221e+01
   0.27000     1.19923e+03     5.39044e+02    -1.60996e+02
   0.29000     9.93675e+02     5.16734e+02    -1.45157e+02
   0.31000     9.25258e+02     6.27478e+02     3.95717e+01
   0.33000     9.00918e+02     6.21036e+02     2.91553e+02
   0.35000     7.41665e+02     3.89504e+02     1.87880e+02
   0.37000     6.90541e+02     3.87396e+02     1.78518e+01
   0.39000     6.33678e+02     3.84639e+02     4.84088e+01
   0.41000     6.02467e+02     3.85863e+02    -5.35765e+01
   0.43000     5.24266e+02     2.69821e+02     1.70172e+01
   0.45000     4.82681e+02     2.79533e+02     9.01049e+01
   0.47000     4.58460e+02     3.02247e+02     2.90173e+01
   0.49000     4.37708e+02     2.79094e+02     5.53371e+01
   0.51000     4.17520e+02     2.50713e+02    -1.00665e+01
   0.53000     3.81403e+02     2.21901e+02    -1.05791e+01
   0.55000     3.52174e+02     2.11474e+02     1.01971e+01
   0.57000     3.29611e+02     1.67395e+02     7.96169e+01
   0.59000     3.14917e+02     1.80037e+02     5.19036e+01
   0.61000     2.94602e+02     1.52734e+02    -7.81605e+00
   0.63000     2.88105e+02     1.71063e+02     3.94717e+01
   0.65000     2.62262e+02     1.47198e+02     3.50417e+01
   0.67000     2.45899e+02     1.57510e+02     1.58364e+01
   0.69000     2.44170e+02     1.50286e+02    -7.98077e+00
   0.71000     2.28550e+02     1.59910e+02     4.97990e+01
   0.73000     2.12455e+02     1.33092e+02     7.45068e+00
   0.75000     2.00061e+02     1.10691e+02     2.16608e+01
   0.77000     1.97440e+02     1.25068e+02     5.26996e+01
   0.79000     1.85248e+02     1.07858e+02     2.75056e+01
   0.81000     1.74603e+02     1.03756e+02     3.03989e+01
   0.83000     1.68261e+02     9.31730e+01    -4.82041e+00
   0.85000     1.53550e+02     9.00154e+01     5.24432e+00
   0.87000     1.48930e+02     8.01061e+01     2.10551e+01
   0.89000     1.44362e+02     8.25459e+01     6.30108e+00
   0.91000     1.38636e+02     7.92295e+01     2.89565e+01
   0.93000     1.33776e+02     7.50742e+01     3.20601e+00
   0.95000     1.25900e+02     8.83815e+01     1.79187e+01
   0.97000     1.24418e+02     7.83786e+01     1.72605e+01
   0.99000     1.19156e+02     6.13090e+01     1.71901e+01
   1.01000     1.13447e+02     6.81386e+01     2.23218e+01
   1.03000     1.08666e+02     5.41739e+01    -1.79314e+00
   1.05000     1.04459e+02     5.56606e+01     6.70966e+00
   1.07000     1.00836e+02     5.50163e+01     7.22829e+00
   1.09000     9.47650e+01     5.49270e+01     1.41904e+01
   1.11000     9.32254e+01     4.85392e+01     1.97190e+01
   1.13000     8.88316e+01     4.77746e+01     1.42159e+01
   1.15000     8.67363e+01     4.90549e+01     1.97819e+01
   1.17000     8.09816e+01     3.86830e+01     8.76301e+00
   1.19000     7.68361e+01     4.36351e+01     1.01506e+01
   1.21000     7.39930e+01     4.20120e+01     9.91686e+00
   1.23000     7.06743e+01     3.58724e+01     1.21336e+01
   1.25000     6.82035e+01     3.22297e+01     8.73932e+00
   1.27000     6.48562e+01     3.41185e+01     5.44461e+00
   1.29000     6.43925e+01     3.38745e+01     7.84806e+00
   1.31000     5.85332e+01     3.13017e+01     1.17893e+01
   1.33000     5.91442e+01     3.13193e+01     6.97643e+00
