#        k       b1_x       b1_a            Pkmm
   0.03682    1.91191    1.90915     2.38585e+03
   0.06136    1.88254    1.87832     1.47525e+03
   0.08590    1.88281    1.87641     9.69154e+02
   0.11045    1.90208    1.89302     6.40475e+02
   0.13499    1.91292    1.90106     5.29496e+02
   0.15953    1.91830    1.90269     3.79260e+02
   0.18408    1.92596    1.90629     2.96289e+02
   0.20862    1.94413    1.91987     2.41990e+02
   0.23317    1.95489    1.92651     2.08796e+02
   0.25771    1.95114    1.91506     1.65690e+02
   0.28225    1.96141    1.92035     1.48172e+02
   0.30680    1.98110    1.93220     1.23546e+02
   0.33134    1.98870    1.93475     1.14325e+02
   0.35588    2.00802    1.94208     9.41631e+01
   0.38043    2.00421    1.93049     8.39975e+01
   0.40497    2.02745    1.94541     7.71074e+01
   0.42951    2.03253    1.94063     6.88040e+01
   0.45406    2.03958    1.93234     6.00420e+01
   0.47860    2.05362    1.94106     5.68859e+01
   0.50315    2.06323    1.93810     5.12894e+01
   0.52769    2.07911    1.94188     4.72048e+01
   0.55223    2.08110    1.93112     4.35582e+01
   0.57678    2.09701    1.94039     4.13883e+01
   0.60132    2.09394    1.91640     3.73506e+01
   0.62586    2.11303    1.92682     3.51324e+01
   0.65041    2.12785    1.92557     3.25097e+01
   0.67495    2.12929    1.91546     3.10338e+01
   0.69950    2.14344    1.91397     2.89456e+01
   0.72404    2.14916    1.90614     2.75454e+01
   0.74858    2.16246    1.90199     2.56480e+01
   0.77313    2.16682    1.89490     2.46243e+01
   0.79767    2.17976    1.89223     2.33580e+01
   0.82221    2.19122    1.88276     2.17811e+01
   0.84676    2.19450    1.86499     2.05823e+01
   0.87130    2.20792    1.86857     1.99693e+01
   0.89584    2.22045    1.85799     1.87480e+01
   0.92039    2.23236    1.85549     1.80679e+01
   0.94493    2.23585    1.83395     1.70275e+01
   0.96948    2.24558    1.83118     1.64932e+01
   0.99402    2.25558    1.82891     1.60421e+01
   1.01856    2.25869    1.80870     1.52886e+01
   1.04311    2.27270    1.81420     1.50002e+01
   1.06765    2.28111    1.80114     1.43364e+01
   1.09219    2.29613    1.78180     1.34556e+01
   1.11674    2.29854    1.77149     1.31571e+01
   1.14128    2.30915    1.75876     1.26450e+01
   1.16583    2.32130    1.76085     1.23853e+01
   1.19037    2.32282    1.72233     1.16825e+01
   1.21491    2.33725    1.72226     1.13681e+01
   1.23946    2.34447    1.70764     1.10041e+01
   1.26400    2.35215    1.68435     1.05582e+01
   1.28854    2.35944    1.67218     1.02846e+01
   1.31309    2.37475    1.65736     9.86318e+00
   1.33763    2.37972    1.64927     9.70752e+00
   1.36217    2.39426    1.63987     9.39055e+00
   1.38672    2.39884    1.61425     9.08854e+00
   1.41126    2.40463    1.59465     8.84244e+00
   1.43581    2.41543    1.59200     8.68003e+00
   1.46035    2.42303    1.57046     8.41289e+00
   1.48489    2.43607    1.55115     8.12839e+00
   1.50944    2.44047    1.52452     7.89957e+00
   1.53398    2.45459    1.51816     7.72249e+00
   1.55852    2.46000    1.49330     7.51417e+00
   1.58307    2.46907    1.47344     7.32615e+00
   1.60761    2.47785    1.44787     7.11226e+00
   1.63216    2.48522    1.44382     7.03749e+00
   1.65670    2.49850    1.41225     6.76943e+00
   1.68124    2.50260    1.39465     6.66441e+00
   1.70579    2.51560    1.37995     6.50106e+00
