# Subtracting SN=    2.78541e+01.
#        k         Pk_0_HI
   0.03471     1.31842e+04
   0.04533     9.90006e+03
   0.05750     7.61312e+03
   0.07243     6.87320e+03
   0.08030     5.31515e+03
   0.09129     4.22252e+03
   0.10670     3.55064e+03
   0.11962     3.32734e+03
   0.12974     3.04209e+03
   0.14416     2.32936e+03
   0.15607     2.19178e+03
   0.16886     1.91951e+03
   0.18066     1.64960e+03
   0.19462     1.54172e+03
   0.20682     1.40122e+03
   0.21908     1.30999e+03
   0.23113     1.24560e+03
   0.24367     1.12607e+03
   0.25601     9.42693e+02
   0.26906     9.08754e+02
   0.28135     8.90117e+02
   0.29458     7.75350e+02
   0.30676     7.73926e+02
   0.31943     7.27271e+02
   0.33214     7.08775e+02
   0.34474     6.29849e+02
   0.35626     5.68679e+02
   0.36909     5.54399e+02
   0.38137     5.19064e+02
   0.39368     5.21800e+02
   0.40596     4.76274e+02
   0.41935     4.75097e+02
   0.43138     4.18238e+02
   0.44349     4.04487e+02
   0.45625     3.78999e+02
   0.46966     3.80597e+02
   0.48162     3.67537e+02
   0.49397     3.52170e+02
   0.50656     3.29480e+02
   0.51863     3.37497e+02
   0.53044     3.07938e+02
   0.54375     3.05522e+02
   0.55676     2.83802e+02
   0.56902     2.86646e+02
   0.58090     2.68681e+02
   0.59394     2.58434e+02
   0.60659     2.44850e+02
   0.61858     2.40403e+02
   0.63073     2.39251e+02
   0.64386     2.25591e+02
   0.65636     2.23534e+02
   0.66869     2.22273e+02
   0.68131     2.04783e+02
   0.69392     2.11054e+02
   0.70632     1.99527e+02
   0.71842     1.89655e+02
   0.73133     1.81979e+02
   0.74383     1.83298e+02
   0.75642     1.77982e+02
   0.76892     1.67674e+02
   0.78169     1.72634e+02
   0.79408     1.61364e+02
   0.80610     1.56198e+02
   0.81834     1.54036e+02
   0.83113     1.51585e+02
   0.84356     1.46854e+02
   0.85621     1.39737e+02
   0.86876     1.41089e+02
   0.88154     1.38538e+02
   0.89355     1.33478e+02
   0.90634     1.29217e+02
   0.91886     1.26581e+02
   0.93130     1.23457e+02
   0.94392     1.20838e+02
   0.95621     1.18165e+02
   0.96854     1.16336e+02
   0.98126     1.14610e+02
   0.99357     1.10751e+02
   1.00643     1.08626e+02
   1.01870     1.08613e+02
   1.03126     1.05762e+02
   1.04402     1.05072e+02
   1.05654     1.01958e+02
   1.06869     1.00013e+02
   1.08129     9.31639e+01
   1.09371     9.15697e+01
   1.10646     8.90999e+01
   1.11883     9.10566e+01
   1.13137     9.00314e+01
   1.14381     8.59545e+01
   1.15611     8.53140e+01
   1.16847     8.35985e+01
   1.18123     8.19638e+01
   1.19379     7.97182e+01
   1.20615     7.74023e+01
   1.21876     7.57891e+01
   1.23169     7.40832e+01
   1.24362     7.25872e+01
   1.25596     7.13917e+01
   1.26862     7.04170e+01
   1.28125     6.83374e+01
   1.29378     6.76155e+01
   1.30632     6.69138e+01
   1.31873     6.39388e+01
   1.33129     6.36230e+01
