# Redshift space power spectrum multipoles.
# Subtracting SN=    1.96506e+01 from monopole.
#        k              P0              P2              P4
   0.05000     7.06039e+03     4.66525e+03     5.65736e+03
   0.07000     5.75304e+03     3.62008e+03    -1.72796e+03
   0.09000     3.73628e+03     1.42948e+03    -1.79446e+03
   0.11000     2.85518e+03     1.53326e+03     2.31969e+02
   0.13000     2.56349e+03     1.77387e+03     9.45878e+02
   0.15000     1.84731e+03     1.13910e+03     4.32662e+02
   0.17000     1.49180e+03     8.14902e+02    -5.13082e+02
   0.19000     1.24580e+03     6.41443e+02     3.01598e+01
   0.21000     1.11215e+03     6.88889e+02    -1.64052e+02
   0.23000     9.73844e+02     6.88653e+02     2.12476e+02
   0.25000     8.08146e+02     4.15138e+02    -4.18536e+01
   0.27000     7.52711e+02     3.80294e+02    -8.26148e+01
   0.29000     6.23692e+02     3.48840e+02    -6.52249e+01
   0.31000     5.83056e+02     4.20515e+02     3.72643e+01
   0.33000     5.63922e+02     3.93210e+02     1.81206e+02
   0.35000     4.59955e+02     2.85093e+02     1.41217e+02
   0.37000     4.26568e+02     2.64921e+02     2.41755e+01
   0.39000     3.96670e+02     2.70363e+02     3.56142e+01
   0.41000     3.68773e+02     2.44775e+02    -2.80412e+01
   0.43000     3.26113e+02     1.83076e+02     1.60657e+01
   0.45000     2.93823e+02     1.85381e+02     5.16515e+01
   0.47000     2.83120e+02     2.04299e+02     3.43781e+01
   0.49000     2.67470e+02     2.00577e+02     4.93882e+01
   0.51000     2.53599e+02     1.62530e+02    -4.22202e+00
   0.53000     2.29338e+02     1.45072e+02     2.35242e+00
   0.55000     2.13155e+02     1.44934e+02     2.01298e+01
   0.57000     2.01945e+02     1.15990e+02     4.15695e+01
   0.59000     1.89947e+02     1.24408e+02     2.88523e+01
   0.61000     1.76681e+02     1.07425e+02    -6.56916e+00
   0.63000     1.72444e+02     1.10900e+02     2.95259e+01
   0.65000     1.57771e+02     9.91353e+01     2.36620e+01
   0.67000     1.51092e+02     1.10180e+02     1.60158e+01
   0.69000     1.46344e+02     1.03504e+02    -8.58452e-01
   0.71000     1.37163e+02     9.97985e+01     3.26798e+01
   0.73000     1.28320e+02     8.82747e+01     8.81312e+00
   0.75000     1.20247e+02     7.96128e+01     1.25114e+01
   0.77000     1.18354e+02     8.41008e+01     3.43142e+01
   0.79000     1.11427e+02     7.39280e+01     1.41740e+01
   0.81000     1.05164e+02     7.07316e+01     1.92170e+01
   0.83000     1.00415e+02     6.46160e+01    -1.10910e+00
   0.85000     9.33865e+01     6.25200e+01    -2.16542e+00
   0.87000     9.07128e+01     5.85728e+01     1.53171e+01
   0.89000     8.74068e+01     5.80356e+01     7.52518e+00
   0.91000     8.41091e+01     5.99510e+01     1.66404e+01
   0.93000     8.11479e+01     5.61114e+01     6.73628e+00
   0.95000     7.72784e+01     6.12878e+01     1.02580e+01
   0.97000     7.33021e+01     5.27852e+01     1.10249e+01
   0.99000     7.14352e+01     4.50128e+01     8.65587e+00
   1.01000     6.92971e+01     4.83810e+01     1.44184e+01
   1.03000     6.59688e+01     3.99217e+01     2.84457e+00
   1.05000     6.37600e+01     4.22499e+01     6.20506e+00
   1.07000     6.21391e+01     4.32020e+01     5.92604e+00
   1.09000     5.68201e+01     3.73783e+01     1.08877e+01
   1.11000     5.57399e+01     3.47544e+01     1.00316e+01
   1.13000     5.39761e+01     3.37599e+01     7.33967e+00
   1.15000     5.22638e+01     3.46568e+01     1.02827e+01
   1.17000     4.95024e+01     3.10438e+01     3.85766e+00
   1.19000     4.72004e+01     3.20339e+01     6.39856e+00
   1.21000     4.47173e+01     3.23184e+01     7.12516e+00
   1.23000     4.29951e+01     2.74028e+01     5.78159e+00
   1.25000     4.17979e+01     2.58338e+01     5.12823e+00
   1.27000     4.03663e+01     2.71200e+01     6.19796e+00
   1.29000     3.95623e+01     2.63806e+01     2.45224e+00
   1.31000     3.66741e+01     2.45045e+01     7.10901e+00
   1.33000     3.63574e+01     2.24600e+01     5.68509e+00
   1.35000     3.51916e+01     2.21475e+01     4.70521e+00
   1.37000     3.38041e+01     2.01611e+01     5.81541e+00
   1.39000     3.20129e+01     1.99992e+01     4.96658e+00
   1.41000     3.10428e+01     1.89607e+01     3.19009e+00
   1.43000     2.99728e+01     1.75183e+01     5.03369e+00
   1.45000     2.94194e+01     1.79161e+01     3.89410e+00
   1.47000     2.70639e+01     1.60968e+01     4.09311e+00
   1.49000     2.62934e+01     1.50850e+01     2.88749e+00
   1.51000     2.52247e+01     1.30264e+01     2.27451e+00
   1.53000     2.45120e+01     1.34954e+01     2.90649e+00
   1.55000     2.42175e+01     1.43316e+01     6.29881e+00
   1.57000     2.27504e+01     1.37787e+01     4.40494e+00
   1.59000     2.21033e+01     1.26073e+01     2.80929e+00
   1.61000     2.10450e+01     1.17337e+01     2.84341e+00
   1.63000     2.06324e+01     1.30151e+01     4.06949e+00
   1.65000     1.95046e+01     1.10779e+01     3.62392e+00
   1.67000     1.89600e+01     1.28116e+01     3.75696e+00
   1.69000     1.81950e+01     1.03191e+01     3.94987e+00
   1.71000     1.78543e+01     1.05508e+01     2.34134e+00
   1.73000     1.68506e+01     1.01311e+01     1.76485e+00
   1.75000     1.59352e+01     9.76388e+00     5.01423e+00
   1.77000     1.56427e+01     9.63941e+00     3.56717e+00
   1.79000     1.44966e+01     8.28048e+00     2.30866e+00
   1.81000     1.41152e+01     8.05574e+00     1.82992e+00
   1.83000     1.33676e+01     7.43571e+00     3.55033e+00
   1.85000     1.28531e+01     7.27271e+00     2.95876e+00
   1.87000     1.30116e+01     8.20691e+00     2.65399e+00
   1.89000     1.23472e+01     6.59068e+00     2.73098e+00
   1.91000     1.16401e+01     6.49338e+00     3.05670e+00
   1.93000     1.12289e+01     7.05447e+00     1.45701e+00
   1.95000     1.05406e+01     6.89146e+00     2.72041e+00
   1.97000     1.00971e+01     5.98069e+00     3.21250e+00
   1.99000     9.86056e+00     5.61186e+00     2.50282e+00
   2.01000     9.11236e+00     5.06945e+00     8.51867e-01
   2.03000     9.04693e+00     4.98255e+00     1.46424e+00
   2.05000     8.24993e+00     5.82640e+00     2.80412e+00
   2.07000     7.94462e+00     4.53893e+00     2.13260e+00
   2.09000     7.51485e+00     5.10423e+00     2.47665e+00
   2.11000     7.26119e+00     4.90172e+00     1.48771e+00
   2.13000     6.70519e+00     4.63454e+00     1.89419e+00
   2.15000     6.64679e+00     4.02377e+00     1.23419e+00
   2.17000     6.02415e+00     4.37611e+00     3.29376e+00
   2.19000     5.98779e+00     3.86235e+00     2.57535e+00
   2.21000     5.44890e+00     3.14905e+00     1.56874e+00
   2.23000     5.31508e+00     4.20308e+00     1.33290e+00
   2.25000     4.69073e+00     3.49164e+00     8.53398e-01
   2.27000     4.48686e+00     3.62569e+00     1.94476e+00
   2.29000     4.23880e+00     3.24631e+00     2.37974e+00
   2.31000     3.90172e+00     3.45741e+00     1.37399e+00
   2.33000     3.56838e+00     2.64929e+00     1.29648e+00
   2.35000     3.47333e+00     2.85426e+00     1.44278e+00
   2.37000     3.10766e+00     2.92060e+00     9.99542e-01
   2.39000     2.69197e+00     2.97424e+00     1.57813e+00
   2.41000     2.50703e+00     2.40325e+00     2.12019e+00
   2.43000     2.24260e+00     2.62796e+00     2.14485e+00
   2.45000     2.02570e+00     2.21560e+00     1.45952e+00
   2.47000     1.78173e+00     2.49874e+00     1.52335e+00
   2.49000     1.56743e+00     2.38700e+00     1.33107e+00
   2.51000     1.26943e+00     2.49881e+00     1.76571e+00
   2.53000     1.17753e+00     2.23365e+00     1.18595e+00
   2.55000     1.05676e+00     1.76154e+00     1.55613e+00
   2.57000     8.01661e-01     1.84523e+00     1.18720e+00
   2.59000     6.41317e-01     2.20436e+00     1.16753e+00
   2.61000     1.68657e-01     1.54718e+00     1.44138e+00
   2.63000     3.79952e-02     1.82605e+00     1.09013e+00
   2.65000    -7.69549e-02     1.82155e+00     1.35022e+00
   2.67000    -2.48190e-01     1.63949e+00     1.72525e+00
   2.69000    -5.58725e-01     1.95656e+00     1.06696e+00
   2.71000    -6.85777e-01     1.44824e+00     1.75249e+00
   2.73000    -8.70896e-01     1.51283e+00     1.34827e+00
   2.75000    -1.14423e+00     1.39444e+00     1.38047e+00
   2.77000    -1.24325e+00     1.53267e+00     1.10489e+00
   2.79000    -1.50791e+00     1.30767e+00     9.13747e-01
   2.81000    -1.66532e+00     1.11475e+00     9.10968e-01
   2.83000    -1.85273e+00     8.60023e-01     1.19831e+00
   2.85000    -2.07371e+00     1.29309e+00     1.30154e+00
   2.87000    -2.19125e+00     1.28828e+00     1.19984e+00
   2.89000    -2.42926e+00     1.12993e+00     5.48785e-01
   2.91000    -2.52748e+00     1.21428e+00     6.63661e-01
   2.93000    -2.78442e+00     1.00213e+00     1.19753e+00
   2.95000    -2.81617e+00     8.71351e-01     1.23975e+00
   2.97000    -2.92049e+00     1.13581e+00     7.39619e-01
   2.99000    -3.15334e+00     8.63322e-01     9.87980e-01
   3.01000    -3.20201e+00     7.07468e-01     5.14205e-01
   3.03000    -3.41419e+00     9.08208e-01     1.08233e+00
   3.05000    -3.48918e+00     9.26021e-01     1.03544e+00
   3.07000    -3.62130e+00     8.24444e-01     9.11391e-01
   3.09000    -3.72008e+00     8.15583e-01     1.07817e+00
   3.11000    -3.91917e+00     7.92408e-01     6.96649e-01
   3.13000    -3.99439e+00     7.69159e-01     6.76559e-01
   3.15000    -4.17007e+00     8.44078e-01     8.83584e-01
   3.17000    -4.37809e+00     6.35213e-01     1.08050e+00
   3.19000    -4.49111e+00     6.42525e-01     9.68136e-01
