#        k       b1_x       b1_a            Pkmm
   0.03682    1.75743    1.75312     3.22274e+03
   0.06136    1.72887    1.72201     1.99278e+03
   0.08590    1.73381    1.72352     1.29838e+03
   0.11045    1.74716    1.73212     8.61231e+02
   0.13499    1.76106    1.74230     7.17305e+02
   0.15953    1.76557    1.73998     5.13989e+02
   0.18408    1.77441    1.74190     3.99886e+02
   0.20862    1.79022    1.75074     3.27552e+02
   0.23317    1.79720    1.75200     2.86745e+02
   0.25771    1.79990    1.74275     2.27045e+02
   0.28225    1.80718    1.74275     2.03365e+02
   0.30680    1.82490    1.74859     1.70459e+02
   0.33134    1.83332    1.75107     1.59620e+02
   0.35588    1.85131    1.75181     1.31889e+02
   0.38043    1.84720    1.73560     1.17694e+02
   0.40497    1.86454    1.74259     1.08526e+02
   0.42951    1.87070    1.73469     9.73969e+01
   0.45406    1.87812    1.72066     8.50625e+01
   0.47860    1.89181    1.72895     8.16799e+01
   0.50315    1.90142    1.72056     7.35181e+01
   0.52769    1.91266    1.71617     6.79665e+01
   0.55223    1.91474    1.70015     6.28110e+01
   0.57678    1.93033    1.70529     5.94559e+01
   0.60132    1.93104    1.68386     5.48451e+01
   0.62586    1.94524    1.68206     5.12456e+01
   0.65041    1.95944    1.67739     4.78702e+01
   0.67495    1.95784    1.66083     4.57623e+01
   0.69950    1.97366    1.65524     4.27656e+01
   0.72404    1.97817    1.64411     4.08840e+01
   0.74858    1.98959    1.63124     3.81454e+01
   0.77313    1.99307    1.62181     3.69388e+01
   0.79767    2.00587    1.61573     3.51559e+01
   0.82221    2.01593    1.59830     3.29182e+01
   0.84676    2.01908    1.57680     3.13339e+01
   0.87130    2.03112    1.57073     3.00645e+01
   0.89584    2.04155    1.55929     2.87809e+01
   0.92039    2.05434    1.55530     2.78113e+01
   0.94493    2.05517    1.52469     2.63780e+01
   0.96948    2.06611    1.51909     2.55405e+01
   0.99402    2.07724    1.51606     2.48966e+01
   1.01856    2.08141    1.48827     2.36869e+01
   1.04311    2.09051    1.49293     2.34752e+01
   1.06765    2.09988    1.47317     2.24499e+01
   1.09219    2.11030    1.43884     2.11436e+01
   1.11674    2.11685    1.42938     2.06457e+01
   1.14128    2.12377    1.41189     2.00406e+01
   1.16583    2.13640    1.41604     1.97144e+01
   1.19037    2.14267    1.36673     1.85262e+01
   1.21491    2.15306    1.36935     1.82712e+01
   1.23946    2.16117    1.34666     1.76495e+01
   1.26400    2.16747    1.32544     1.71587e+01
   1.28854    2.17615    1.30937     1.67207e+01
   1.31309    2.18868    1.27103     1.59174e+01
   1.33763    2.19422    1.26207     1.57066e+01
   1.36217    2.20901    1.23464     1.50743e+01
   1.38672    2.21625    1.23189     1.48996e+01
   1.41126    2.22214    1.19281     1.43840e+01
   1.43581    2.23129    1.19252     1.42224e+01
   1.46035    2.23881    1.15638     1.37468e+01
   1.48489    2.25151    1.13054     1.33418e+01
   1.50944    2.25800    1.10633     1.30543e+01
   1.53398    2.26892    1.08417     1.27263e+01
   1.55852    2.28116    1.06248     1.24019e+01
   1.58307    2.28575    1.01628     1.20601e+01
   1.60761    2.29747    1.00296     1.18251e+01
   1.63216    2.30447    0.99753     1.17083e+01
   1.65670    2.31714    0.95135     1.13128e+01
   1.68124    2.32259    0.90867     1.10503e+01
   1.70579    2.33434    0.89824     1.08727e+01
   1.73033    2.34736    0.87117     1.06217e+01
   1.75487    2.35775    0.82121     1.03263e+01
   1.77942    2.35963    0.77442     1.01468e+01
   1.80396    2.37428    0.77909     1.00223e+01
   1.82851    2.38284    0.66623     9.62522e+00
   1.85305    2.39353    0.67865     9.55426e+00
   1.87759    2.40324    0.64479     9.39248e+00
   1.90214    2.41176    0.59887     9.21806e+00
   1.92668    2.41533    0.47411     8.96303e+00
   1.95122    2.43245    0.39040     8.71434e+00
   1.97577    2.43990    0.36686     8.63192e+00
   2.00031    2.45139    0.29871     8.47949e+00
   2.02485    2.46126    0.24078     8.35856e+00
   2.04940    2.47249    0.18816     8.15624e+00
   2.07394    2.48076    0.34305     7.98881e+00
   2.09849    2.49107    0.41351     7.84617e+00
   2.12303    2.49904    0.56429     7.62310e+00
   2.14757    2.50736    0.57494     7.55514e+00
   2.17212    2.52456    0.56283     7.46582e+00
   2.19666    2.53022    0.68506     7.26367e+00
   2.22120    2.54072    0.71397     7.16528e+00
   2.24575    2.55325    0.75646     7.02735e+00
   2.27029    2.56008    0.83476     6.86570e+00
   2.29484    2.57025    0.90973     6.69763e+00
   2.31938    2.58423    0.92032     6.60865e+00
   2.34392    2.59154    0.96304     6.50360e+00
   2.36847    2.60106    0.99322     6.40670e+00
   2.39301    2.61024    1.00939     6.33447e+00
   2.41755    2.62270    1.08137     6.16295e+00
   2.44210    2.62826    1.11923     6.07220e+00
   2.46664    2.63826    1.18365     5.92048e+00
   2.49118    2.65332    1.20949     5.81615e+00
   2.51573    2.66085    1.23273     5.74715e+00
   2.54027    2.67331    1.28466     5.61254e+00
   2.56482    2.67855    1.31205     5.54759e+00
   2.58936    2.69108    1.36395     5.41512e+00
   2.61390    2.70357    1.38359     5.34158e+00
   2.63845    2.71491    1.40873     5.26341e+00
   2.66299    2.72229    1.44001     5.18549e+00
   2.68753    2.73115    1.49788     5.06424e+00
   2.71208    2.74000    1.53407     4.98479e+00
   2.73662    2.75134    1.54702     4.92567e+00
   2.76117    2.75652    1.60107     4.82754e+00
   2.78571    2.76830    1.65220     4.71579e+00
   2.81025    2.78032    1.67975     4.63893e+00
   2.83480    2.78836    1.71156     4.57008e+00
   2.85934    2.80074    1.74566     4.48785e+00
   2.88388    2.80729    1.77089     4.43400e+00
   2.90843    2.82259    1.81235     4.34161e+00
   2.93297    2.82510    1.85741     4.26750e+00
   2.95751    2.84317    1.86823     4.21302e+00
   2.98206    2.84872    1.92966     4.11361e+00
   3.00660    2.85906    1.93941     4.07622e+00
   3.03115    2.87294    1.96515     4.01521e+00
   3.05569    2.87759    2.02999     3.91562e+00
   3.08023    2.89188    2.03998     3.87317e+00
   3.10478    2.90374    2.08613     3.79420e+00
   3.12932    2.91068    2.11059     3.74731e+00
   3.15386    2.92045    2.17258     3.65533e+00
   3.17841    2.92929    2.19412     3.61250e+00
   3.20295    2.94158    2.24195     3.53621e+00
   3.22750    2.95097    2.27816     3.47922e+00
   3.25204    2.96141    2.30075     3.43199e+00
   3.27658    2.97139    2.33612     3.37686e+00
   3.30113    2.98104    2.37700     3.31739e+00
   3.32567    2.99132    2.42890     3.24333e+00
   3.35021    3.00614    2.44512     3.20658e+00
   3.37476    3.01479    2.47289     3.16540e+00
   3.39930    3.02017    2.52309     3.10565e+00
   3.42385    3.03298    2.55603     3.05736e+00
   3.44839    3.04046    2.59150     3.00874e+00
   3.47293    3.05059    2.64398     2.94542e+00
   3.49748    3.06289    2.67751     2.89905e+00
   3.52202    3.07430    2.71711     2.84877e+00
   3.54656    3.08421    2.73810     2.81700e+00
   3.57111    3.09386    2.79043     2.76034e+00
   3.59565    3.10517    2.83294     2.70897e+00
   3.62019    3.11312    2.87684     2.66321e+00
   3.64474    3.12411    2.90474     2.62751e+00
   3.66928    3.13259    2.94385     2.58471e+00
   3.69383    3.14351    2.99377     2.53571e+00
   3.71837    3.15694    3.02145     2.49889e+00
   3.74291    3.16124    3.07895     2.44938e+00
   3.76746    3.16965    3.10968     2.41838e+00
   3.79200    3.17605    3.15636     2.37588e+00
   3.81654    3.19412    3.20023     2.33000e+00
   3.84109    3.19910    3.25014     2.28817e+00
   3.86563    3.20899    3.29765     2.24614e+00
   3.89018    3.22077    3.32603     2.21692e+00
   3.91472    3.22731    3.37616     2.17715e+00
   3.93926    3.24663    3.41309     2.14000e+00
   3.96381    3.24723    3.45806     2.10991e+00
   3.98835    3.26094    3.52540     2.05747e+00
   4.01289    3.26369    3.57727     2.02453e+00
   4.03744    3.27916    3.60844     1.99505e+00
   4.06198    3.29324    3.65211     1.96217e+00
   4.08652    3.29995    3.69139     1.93367e+00
   4.11107    3.31032    3.75042     1.89411e+00
   4.13561    3.31987    3.79085     1.86690e+00
   4.16016    3.33415    3.84667     1.82886e+00
   4.18470    3.34138    3.88762     1.80212e+00
   4.20924    3.35179    3.92272     1.77860e+00
   4.23379    3.35842    3.99391     1.73813e+00
   4.25833    3.36814    4.04368     1.70920e+00
   4.28287    3.38288    4.09871     1.67540e+00
   4.30742    3.38325    4.15060     1.65169e+00
   4.33196    3.39914    4.19836     1.62182e+00
   4.35651    3.40646    4.26040     1.58966e+00
   4.38105    3.41796    4.29774     1.56896e+00
   4.40559    3.42614    4.36172     1.53771e+00
   4.43014    3.43736    4.42218     1.50863e+00
   4.45468    3.44876    4.46521     1.48623e+00
   4.47922    3.45457    4.51224     1.46527e+00
   4.50377    3.46999    4.57860     1.43268e+00
   4.52831    3.47255    4.63528     1.40942e+00
   4.55285    3.48553    4.68506     1.38737e+00
   4.57740    3.49050    4.75050     1.36023e+00
   4.60194    3.49888    4.80350     1.33893e+00
   4.62649    3.51767    4.84486     1.31892e+00
   4.65103    3.53075    4.91562     1.29070e+00
   4.67557    3.54380    4.96673     1.27024e+00
   4.70012    3.54006    5.03819     1.24682e+00
   4.72466    3.55723    5.07191     1.23177e+00
   4.74920    3.57393    5.14632     1.20449e+00
   4.77375    3.57322    5.20668     1.18580e+00
   4.79829    3.58405    5.27581     1.16235e+00
   4.82284    3.59709    5.32844     1.14508e+00
   4.84738    3.60325    5.38580     1.12616e+00
   4.87192    3.60984    5.45160     1.10677e+00
   4.89647    3.62480    5.50752     1.08815e+00
   4.92101    3.63690    5.58034     1.06676e+00
   4.94555    3.64796    5.63612     1.05000e+00
   4.97010    3.65874    5.71517     1.02826e+00
   4.99464    3.66372    5.76163     1.01573e+00
   5.01919    3.67659    5.82653     9.97606e-01
   5.04373    3.69009    5.90360     9.77626e-01
   5.06827    3.69773    5.96030     9.63439e-01
   5.09282    3.71278    6.02950     9.45519e-01
   5.11736    3.71508    6.10367     9.28634e-01
   5.14190    3.73003    6.16856     9.12389e-01
   5.16645    3.74080    6.24473     8.94952e-01
   5.19099    3.74947    6.30731     8.80637e-01
   5.21553    3.76044    6.38045     8.64610e-01
   5.24008    3.77146    6.44753     8.50538e-01
   5.26462    3.77909    6.51833     8.36063e-01
   5.28917    3.79121    6.58494     8.22512e-01
   5.31371    3.79894    6.66114     8.07120e-01
   5.33825    3.80967    6.74019     7.92312e-01
   5.36280    3.82508    6.80016     7.80435e-01
   5.38734    3.83378    6.88638     7.65096e-01
   5.41188    3.83920    6.95488     7.53309e-01
   5.43643    3.84938    7.02856     7.40563e-01
   5.46097    3.86148    7.10206     7.28215e-01
   5.48552    3.87372    7.16402     7.17400e-01
   5.51006    3.88812    7.25801     7.02384e-01
   5.53460    3.89064    7.32591     6.92228e-01
   5.55915    3.89685    7.40202     6.81127e-01
   5.58369    3.91111    7.46152     6.71475e-01
   5.60823    3.92059    7.56135     6.57008e-01
   5.63278    3.93581    7.62408     6.47880e-01
   5.65732    3.94159    7.69860     6.37648e-01
   5.68186    3.94891    7.78410     6.26321e-01
   5.70641    3.96340    7.85654     6.16171e-01
   5.73095    3.96726    7.92778     6.07595e-01
   5.75550    3.98767    8.01745     5.95770e-01
   5.78004    3.99057    8.09209     5.86907e-01
   5.80458    4.00023    8.16527     5.78200e-01
   5.82913    4.01438    8.23867     5.69333e-01
   5.85367    4.02575    8.32829     5.58783e-01
   5.87821    4.02417    8.42162     5.49359e-01
   5.90276    4.03496    8.48082     5.42530e-01
   5.92730    4.05529    8.54555     5.35076e-01
   5.95185    4.06314    8.62816     5.26595e-01
   5.97639    4.06844    8.69758     5.19633e-01
   6.00093    4.07717    8.78179     5.11258e-01
   6.02548    4.08884    8.86075     5.03711e-01
   6.05002    4.10096    8.95353     4.94704e-01
   6.07456    4.11138    9.02188     4.88236e-01
   6.09911    4.11259    9.08632     4.82442e-01
   6.12365    4.11963    9.17980     4.74544e-01
   6.14819    4.13435    9.24704     4.68389e-01
   6.17274    4.14497    9.31971     4.62100e-01
   6.19728    4.15239    9.37699     4.57011e-01
   6.22183    4.15011    9.46179     4.50408e-01
   6.24637    4.16660    9.52973     4.44759e-01
   6.27091    4.17323    9.59901     4.39449e-01
