# Subtracting SN=    2.29964e+01.
#        k         Pk_0_HI
   0.03471     1.28764e+04
   0.04533     9.64435e+03
   0.05750     7.41608e+03
   0.07243     6.69595e+03
   0.08030     5.17557e+03
   0.09129     4.13321e+03
   0.10670     3.48133e+03
   0.11962     3.26769e+03
   0.12974     2.95932e+03
   0.14416     2.28644e+03
   0.15607     2.15885e+03
   0.16886     1.88992e+03
   0.18066     1.61638e+03
   0.19462     1.51604e+03
   0.20682     1.37830e+03
   0.21908     1.28856e+03
   0.23113     1.21997e+03
   0.24367     1.10581e+03
   0.25601     9.21590e+02
   0.26906     8.89443e+02
   0.28135     8.70364e+02
   0.29458     7.63869e+02
   0.30676     7.63158e+02
   0.31943     7.14911e+02
   0.33214     6.92298e+02
   0.34474     6.16057e+02
   0.35626     5.59336e+02
   0.36909     5.45623e+02
   0.38137     5.08698e+02
   0.39368     5.14369e+02
   0.40596     4.65992e+02
   0.41935     4.68062e+02
   0.43138     4.11752e+02
   0.44349     3.98612e+02
   0.45625     3.75144e+02
   0.46966     3.74096e+02
   0.48162     3.61440e+02
   0.49397     3.45767e+02
   0.50656     3.24665e+02
   0.51863     3.33673e+02
   0.53044     3.03653e+02
   0.54375     3.00823e+02
   0.55676     2.79941e+02
   0.56902     2.85628e+02
   0.58090     2.66443e+02
   0.59394     2.54142e+02
   0.60659     2.43327e+02
   0.61858     2.37987e+02
   0.63073     2.36968e+02
   0.64386     2.24187e+02
   0.65636     2.21646e+02
   0.66869     2.22094e+02
   0.68131     2.03296e+02
   0.69392     2.09398e+02
   0.70632     1.97989e+02
   0.71842     1.90450e+02
   0.73133     1.79961e+02
   0.74383     1.82601e+02
   0.75642     1.78282e+02
   0.76892     1.67842e+02
   0.78169     1.72325e+02
   0.79408     1.60778e+02
   0.80610     1.55598e+02
   0.81834     1.55238e+02
   0.83113     1.51640e+02
   0.84356     1.47766e+02
   0.85621     1.39716e+02
   0.86876     1.41243e+02
   0.88154     1.39926e+02
   0.89355     1.32915e+02
   0.90634     1.30228e+02
   0.91886     1.27280e+02
   0.93130     1.24635e+02
   0.94392     1.21738e+02
   0.95621     1.18654e+02
   0.96854     1.17953e+02
   0.98126     1.15311e+02
   0.99357     1.12614e+02
   1.00643     1.10487e+02
   1.01870     1.09268e+02
   1.03126     1.06587e+02
   1.04402     1.06590e+02
   1.05654     1.03123e+02
   1.06869     1.00898e+02
   1.08129     9.58610e+01
   1.09371     9.36928e+01
   1.10646     9.06860e+01
   1.11883     9.26386e+01
   1.13137     9.24581e+01
   1.14381     8.79633e+01
   1.15611     8.71094e+01
   1.16847     8.52127e+01
   1.18123     8.33974e+01
   1.19379     8.18168e+01
   1.20615     7.95910e+01
   1.21876     7.81270e+01
   1.23169     7.63993e+01
   1.24362     7.48717e+01
   1.25596     7.35847e+01
   1.26862     7.28310e+01
   1.28125     7.09932e+01
   1.29378     6.93961e+01
   1.30632     6.95425e+01
