# Redshift space power spectrum multipoles.
# Subtracting SN=    2.37418e+01 from monopole.
#        k              P0              P2              P4
   0.05000     7.87159e+03     4.08307e+03     5.59721e+03
   0.07000     6.47648e+03     3.31931e+03    -1.92572e+03
   0.09000     4.27840e+03     1.09575e+03    -1.94453e+03
   0.11000     3.29796e+03     1.24669e+03     9.40769e+01
   0.13000     2.91642e+03     1.55088e+03     1.07931e+03
   0.15000     2.13662e+03     9.50680e+02     3.35281e+02
   0.17000     1.73227e+03     7.29111e+02    -5.07931e+02
   0.19000     1.47589e+03     6.26921e+02     7.49618e+00
   0.21000     1.30441e+03     6.13691e+02    -1.78940e+02
   0.23000     1.15637e+03     6.56660e+02     2.16732e+02
   0.25000     9.42653e+02     3.39491e+02    -1.29028e+02
   0.27000     8.79826e+02     3.29648e+02    -1.25838e+02
   0.29000     7.45164e+02     3.25255e+02    -7.61816e+01
   0.31000     7.00844e+02     4.27985e+02     5.72967e+01
   0.33000     6.67252e+02     3.76093e+02     1.81208e+02
   0.35000     5.51870e+02     2.82455e+02     1.53326e+02
   0.37000     5.07466e+02     2.40238e+02     1.95174e+01
   0.39000     4.81117e+02     2.67735e+02     2.57812e+01
   0.41000     4.41876e+02     2.20011e+02    -5.61120e+01
   0.43000     3.99191e+02     1.84316e+02     2.25186e+01
   0.45000     3.57720e+02     1.75145e+02     3.08179e+01
   0.47000     3.46856e+02     1.98693e+02     2.71076e+01
   0.49000     3.26862e+02     2.12874e+02     6.00390e+01
   0.51000     3.11596e+02     1.53822e+02    -5.99984e+00
   0.53000     2.84764e+02     1.47258e+02     2.18141e+00
   0.55000     2.64217e+02     1.38792e+02     6.14642e+00
   0.57000     2.57033e+02     1.21058e+02     3.14441e+01
   0.59000     2.38129e+02     1.29293e+02     2.63451e+01
   0.61000     2.21234e+02     1.22873e+02    -6.39445e+00
   0.63000     2.16808e+02     1.19084e+02     3.54750e+01
   0.65000     2.01084e+02     1.12410e+02     2.14528e+01
   0.67000     1.96143e+02     1.25469e+02     1.45171e+01
   0.69000     1.87233e+02     1.16098e+02    -1.47273e+00
   0.71000     1.76394e+02     1.08230e+02     3.31312e+01
   0.73000     1.64719e+02     1.01166e+02     5.85447e+00
   0.75000     1.59112e+02     1.02155e+02     1.31294e+01
   0.77000     1.54041e+02     9.76455e+01     4.35189e+01
   0.79000     1.48051e+02     9.18459e+01     1.74158e+01
   0.81000     1.39832e+02     8.11780e+01     1.51258e+01
   0.83000     1.33648e+02     7.94743e+01    -4.00963e+00
   0.85000     1.26502e+02     8.18064e+01    -1.35396e+00
   0.87000     1.24337e+02     7.83286e+01     2.51690e+01
   0.89000     1.19922e+02     7.82740e+01     4.76814e+00
   0.91000     1.14739e+02     8.03007e+01     2.11200e+01
   0.93000     1.09232e+02     7.66601e+01     1.57483e+01
   0.95000     1.05530e+02     7.26605e+01     6.53873e+00
   0.97000     1.01416e+02     7.04314e+01     1.92925e+01
   0.99000     9.88105e+01     6.30619e+01     1.25097e+01
   1.01000     9.55992e+01     6.10975e+01     1.24382e+01
   1.03000     9.36896e+01     5.90307e+01     9.14752e+00
   1.05000     8.98759e+01     6.14337e+01     1.10378e+01
   1.07000     8.68337e+01     5.99546e+01     1.46761e+01
   1.09000     7.99943e+01     4.86390e+01     1.09798e+01
   1.11000     7.80288e+01     5.07077e+01     1.71973e+01
   1.13000     7.80192e+01     5.00575e+01     1.02755e+01
   1.15000     7.43435e+01     4.71832e+01     1.76743e+01
   1.17000     7.27622e+01     4.91846e+01     1.63667e+00
   1.19000     6.92064e+01     4.85029e+01     9.74330e+00
   1.21000     6.67033e+01     5.22562e+01     1.09332e+01
   1.23000     6.33355e+01     4.30347e+01     9.27140e+00
   1.25000     6.22408e+01     4.46103e+01     1.03515e+01
   1.27000     6.04689e+01     4.15954e+01     7.04266e+00
   1.29000     5.79600e+01     3.82908e+01     2.62279e+00
   1.31000     5.64421e+01     3.93157e+01     9.84458e+00
   1.33000     5.45513e+01     3.63054e+01     1.45924e+01
   1.35000     5.41799e+01     3.49215e+01     6.30090e+00
   1.37000     5.16387e+01     3.48403e+01     9.20879e+00
   1.39000     4.96461e+01     3.28579e+01     7.70894e+00
   1.41000     4.90107e+01     3.32188e+01     9.60024e+00
   1.43000     4.68835e+01     3.36245e+01     1.25091e+01
   1.45000     4.54428e+01     3.07922e+01     8.15305e+00
   1.47000     4.33001e+01     2.84102e+01     6.29204e+00
   1.49000     4.14810e+01     2.68418e+01     5.11417e+00
   1.51000     4.16905e+01     2.72235e+01     5.46112e+00
   1.53000     3.93396e+01     2.45552e+01     7.76319e+00
   1.55000     3.91591e+01     2.68566e+01     1.08400e+01
   1.57000     3.70330e+01     2.53982e+01     5.77589e+00
   1.59000     3.61237e+01     2.31692e+01     3.42928e+00
   1.61000     3.51027e+01     2.36606e+01     4.26358e+00
   1.63000     3.35833e+01     2.32233e+01     7.36280e+00
   1.65000     3.29600e+01     2.30334e+01     6.94388e+00
   1.67000     3.12760e+01     2.27452e+01     7.52849e+00
   1.69000     3.03834e+01     2.12917e+01     5.56090e+00
   1.71000     3.00988e+01     2.10285e+01     5.27580e+00
   1.73000     2.87292e+01     2.15027e+01     5.87936e+00
   1.75000     2.72574e+01     1.90944e+01     7.82951e+00
