#        k       b1_x       b1_a            Pkmm
   0.03682    3.03530    3.04179     1.17648e+03
   0.06136    2.96063    2.97377     7.26870e+02
   0.08590    2.92729    2.94620     4.85621e+02
   0.11045    2.99587    3.02226     3.18584e+02
   0.13499    3.01538    3.03836     2.59735e+02
   0.15953    3.04867    3.09035     1.86058e+02
   0.18408    3.02292    3.06814     1.46473e+02
   0.20862    3.07957    3.12580     1.19229e+02
   0.23317    3.15724    3.20731     9.99285e+01
   0.25771    3.06394    3.11217     8.02229e+01
   0.28225    3.11422    3.16884     7.09804e+01
   0.30680    3.18323    3.24243     5.88281e+01
   0.33134    3.20657    3.25724     5.32082e+01
   0.35588    3.21132    3.26575     4.39569e+01
   0.38043    3.20619    3.25937     3.90500e+01
   0.40497    3.29710    3.34108     3.54958e+01
   0.42951    3.30104    3.34569     3.13054e+01
   0.45406    3.31724    3.34764     2.74497e+01
   0.47860    3.34782    3.38564     2.52963e+01
   0.50315    3.37129    3.39188     2.30210e+01
   0.52769    3.43572    3.44302     2.09790e+01
   0.55223    3.43419    3.43864     1.91879e+01
   0.57678    3.47435    3.47626     1.82155e+01
   0.60132    3.46387    3.44515     1.60819e+01
   0.62586    3.51402    3.49142     1.51910e+01
   0.65041    3.55787    3.52034     1.38225e+01
   0.67495    3.57192    3.52503     1.32025e+01
   0.69950    3.59353    3.53536     1.22742e+01
   0.72404    3.62197    3.53651     1.14236e+01
   0.74858    3.65919    3.56546     1.06350e+01
   0.77313    3.67976    3.57183     1.01280e+01
   0.79767    3.70673    3.58373     9.43131e+00
   0.82221    3.76118    3.62357     8.80753e+00
   0.84676    3.73600    3.57545     8.22872e+00
   0.87130    3.78442    3.59908     8.07882e+00
   0.89584    3.81825    3.59956     7.31867e+00
   0.92039    3.85116    3.61600     7.11037e+00
   0.94493    3.87281    3.61899     6.67381e+00
   0.96948    3.88887    3.61674     6.36724e+00
   0.99402    3.92477    3.62228     6.16037e+00
   1.01856    3.94475    3.62667     5.90561e+00
   1.04311    3.99204    3.65574     5.61641e+00
   1.06765    4.00256    3.63340     5.32279e+00
   1.09219    4.02944    3.61135     5.02874e+00
   1.11674    4.05720    3.62804     4.90837e+00
   1.14128    4.08998    3.62647     4.70494e+00
   1.16583    4.09878    3.61011     4.49199e+00
   1.19037    4.12290    3.59438     4.28807e+00
   1.21491    4.14664    3.59147     4.10891e+00
   1.23946    4.17422    3.57963     3.97900e+00
   1.26400    4.19145    3.56505     3.77470e+00
   1.28854    4.22943    3.56793     3.64617e+00
   1.31309    4.24492    3.56621     3.53700e+00
   1.33763    4.29598    3.58148     3.41169e+00
   1.36217    4.31209    3.56927     3.33434e+00
   1.38672    4.32456    3.52072     3.17382e+00
   1.41126    4.38395    3.56978     3.09886e+00
   1.43581    4.36253    3.50207     2.98222e+00
   1.46035    4.40219    3.49641     2.87251e+00
   1.48489    4.42950    3.48550     2.81135e+00
   1.50944    4.45069    3.45813     2.69251e+00
   1.53398    4.49438    3.45882     2.61247e+00
   1.55852    4.52363    3.45245     2.53588e+00
   1.58307    4.54878    3.43237     2.44877e+00
