# Subtracting SN=    4.26390e+01.
#        k         Pk_0_HI
   0.03471     1.39093e+04
   0.04533     1.07087e+04
   0.05750     8.12057e+03
   0.07243     7.30081e+03
   0.08030     5.68059e+03
   0.09129     4.41278e+03
   0.10670     3.72652e+03
   0.11962     3.51494e+03
   0.12974     3.26313e+03
   0.14416     2.45106e+03
   0.15607     2.30190e+03
   0.16886     2.01801e+03
   0.18066     1.73846e+03
   0.19462     1.59810e+03
   0.20682     1.46777e+03
   0.21908     1.36613e+03
   0.23113     1.31036e+03
   0.24367     1.18030e+03
   0.25601     1.00139e+03
   0.26906     9.57238e+02
   0.28135     9.40860e+02
   0.29458     8.06715e+02
   0.30676     8.08093e+02
   0.31943     7.60081e+02
   0.33214     7.56047e+02
   0.34474     6.67671e+02
   0.35626     5.95683e+02
   0.36909     5.78585e+02
   0.38137     5.45873e+02
   0.39368     5.41826e+02
   0.40596     5.05124e+02
   0.41935     4.95551e+02
   0.43138     4.34580e+02
   0.44349     4.22243e+02
   0.45625     3.91192e+02
   0.46966     3.97925e+02
   0.48162     3.85609e+02
   0.49397     3.67446e+02
   0.50656     3.44093e+02
   0.51863     3.48066e+02
   0.53044     3.19003e+02
   0.54375     3.16022e+02
   0.55676     2.94003e+02
   0.56902     2.87233e+02
   0.58090     2.74307e+02
   0.59394     2.69491e+02
   0.60659     2.51845e+02
   0.61858     2.48009e+02
   0.63073     2.46873e+02
   0.64386     2.29360e+02
   0.65636     2.27228e+02
   0.66869     2.21286e+02
   0.68131     2.09630e+02
   0.69392     2.13164e+02
   0.70632     2.03056e+02
   0.71842     1.87928e+02
   0.73133     1.87193e+02
   0.74383     1.80667e+02
   0.75642     1.77132e+02
   0.76892     1.68341e+02
   0.78169     1.71007e+02
   0.79408     1.61533e+02
   0.80610     1.56028e+02
   0.81834     1.51090e+02
   0.83113     1.50338e+02
   0.84356     1.41717e+02
   0.85621     1.36981e+02
   0.86876     1.37575e+02
   0.88154     1.33094e+02
   0.89355     1.32151e+02
   0.90634     1.24708e+02
   0.91886     1.24754e+02
   0.93130     1.20248e+02
   0.94392     1.18656e+02
   0.95621     1.14638e+02
   0.96854     1.09752e+02
   0.98126     1.11842e+02
   0.99357     1.05261e+02
   1.00643     1.03854e+02
   1.01870     1.03879e+02
   1.03126     1.01606e+02
   1.04402     9.90564e+01
   1.05654     9.73908e+01
   1.06869     9.62632e+01
   1.08129     8.61547e+01
   1.09371     8.54832e+01
   1.10646     8.48088e+01
   1.11883     8.57697e+01
   1.13137     8.25375e+01
   1.14381     7.97227e+01
   1.15611     7.94150e+01
   1.16847     7.63229e+01
   1.18123     7.57966e+01
   1.19379     7.22288e+01
   1.20615     6.96568e+01
   1.21876     6.80577e+01
   1.23169     6.60923e+01
   1.24362     6.46381e+01
   1.25596     6.43840e+01
   1.26862     6.33617e+01
   1.28125     6.07277e+01
   1.29378     6.10446e+01
   1.30632     5.77362e+01
   1.31873     5.63976e+01
   1.33129     5.70477e+01
   1.34365     5.62341e+01
   1.35617     5.44070e+01
   1.36877     5.26075e+01
   1.38124     5.19983e+01
   1.39384     4.91377e+01
   1.40620     4.95022e+01
   1.41870     4.87552e+01
   1.43133     4.66702e+01
   1.44395     4.59894e+01
   1.45629     4.49602e+01
   1.46888     4.24699e+01
   1.48123     4.20854e+01
   1.49385     3.99979e+01
   1.50637     4.18108e+01
   1.51879     3.92959e+01
   1.53118     3.75666e+01
   1.54377     3.80847e+01
   1.55620     3.79760e+01
   1.56872     3.57976e+01
   1.58120     3.38963e+01
   1.59371     3.40650e+01
   1.60599     3.29888e+01
   1.61865     3.31194e+01
   1.63133     3.18461e+01
   1.64389     3.00349e+01
   1.65620     3.02133e+01
   1.66875     2.91901e+01
   1.68124     2.83874e+01
   1.69373     2.76319e+01
   1.70613     2.77280e+01
   1.71876     2.68951e+01
   1.73122     2.64182e+01
   1.74388     2.42417e+01
   1.75630     2.39526e+01
   1.76889     2.37641e+01
   1.78135     2.22982e+01
   1.79367     2.18274e+01
   1.80623     2.21172e+01
   1.81883     2.08731e+01
   1.83105     2.13111e+01
   1.84372     1.94788e+01
   1.85626     1.95945e+01
   1.86877     1.95238e+01
   1.88126     1.92478e+01
   1.89376     1.90698e+01
   1.90612     1.81992e+01
   1.91872     1.78819e+01
   1.93133     1.67538e+01
   1.94390     1.60024e+01
   1.95627     1.53238e+01
   1.96884     1.55041e+01
   1.98128     1.46741e+01
   1.99360     1.39769e+01
   2.00601     1.34464e+01
   2.01865     1.30683e+01
   2.03129     1.36210e+01
   2.04372     1.22065e+01
   2.05627     1.16104e+01
   2.06890     1.15455e+01
   2.08129     1.14795e+01
   2.09355     1.02052e+01
   2.10609     9.95609e+00
   2.11865     9.89031e+00
   2.13110     9.33864e+00
   2.14358     9.46503e+00
   2.15632     8.64877e+00
   2.16888     7.85550e+00
   2.18136     7.66390e+00
   2.19375     8.11937e+00
   2.20648     7.92621e+00
   2.21891     6.88404e+00
   2.23127     6.49989e+00
   2.24362     5.75955e+00
   2.25610     5.47673e+00
   2.26860     5.01381e+00
   2.28134     5.65910e+00
   2.29396     5.14144e+00
   2.30651     4.15067e+00
   2.31883     4.03777e+00
   2.33131     4.03988e+00
   2.34379     3.42699e+00
   2.35620     2.92267e+00
   2.36856     3.24999e+00
   2.38127     2.78699e+00
   2.39387     1.92894e+00
   2.40629     1.39619e+00
   2.41869     1.17547e+00
   2.43124     1.61347e+00
   2.44369     1.05051e+00
   2.45637     8.53483e-01
   2.46879     9.23484e-01
   2.48121    -1.30956e-01
   2.49370     1.42992e-01
   2.50623    -6.87418e-01
   2.51865    -4.53194e-01
   2.53107    -6.38983e-01
   2.54368    -6.85398e-01
   2.55639    -1.12713e+00
   2.56875    -1.59988e+00
   2.58134    -1.48969e+00
   2.59382    -2.13514e+00
   2.60628    -2.55090e+00
   2.61873    -2.89419e+00
   2.63125    -3.15190e+00
   2.64375    -2.79519e+00
   2.65626    -3.22108e+00
   2.66870    -3.48896e+00
   2.68122    -3.61278e+00
   2.69374    -3.94033e+00
   2.70638    -3.99728e+00
   2.71888    -4.57610e+00
   2.73125    -4.76350e+00
   2.74389    -5.08497e+00
   2.75628    -5.08878e+00
   2.76868    -5.42999e+00
   2.78115    -5.31716e+00
   2.79379    -5.83753e+00
   2.80639    -5.80432e+00
   2.81871    -5.60914e+00
   2.83124    -6.25567e+00
   2.84389    -6.69094e+00
   2.85622    -6.56087e+00
   2.86878    -6.89696e+00
   2.88116    -7.13653e+00
   2.89358    -7.42624e+00
   2.90611    -7.38736e+00
   2.91881    -7.61155e+00
   2.93135    -8.08188e+00
   2.94381    -8.01439e+00
   2.95620    -8.16225e+00
   2.96870    -8.26130e+00
   2.98120    -8.34269e+00
   2.99376    -8.54198e+00
   3.00626    -8.97635e+00
   3.01885    -8.75453e+00
   3.03130    -9.13489e+00
   3.04377    -9.20288e+00
   3.05623    -9.27607e+00
   3.06869    -9.54907e+00
   3.08114    -9.82536e+00
   3.09378    -9.76789e+00
   3.10624    -1.01627e+01
   3.11878    -1.04439e+01
   3.13134    -1.06572e+01
   3.14383    -1.04758e+01
   3.15628    -1.09200e+01
   3.16884    -1.08492e+01
   3.18136    -1.12388e+01
   3.19383    -1.14855e+01
   3.20620    -1.17159e+01
   3.21875    -1.18724e+01
   3.23127    -1.18075e+01
   3.24385    -1.20476e+01
   3.25632    -1.19720e+01
   3.26882    -1.21941e+01
   3.28133    -1.24977e+01
   3.29378    -1.25294e+01
   3.30621    -1.27821e+01
   3.31875    -1.29702e+01
   3.33129    -1.29016e+01
   3.34376    -1.31550e+01
   3.35620    -1.31014e+01
   3.36875    -1.33894e+01
   3.38131    -1.35411e+01
   3.39380    -1.36158e+01
   3.40627    -1.36102e+01
   3.41876    -1.38528e+01
   3.43124    -1.40536e+01
   3.44372    -1.42558e+01
   3.45640    -1.43549e+01
   3.46891    -1.45886e+01
   3.48134    -1.46027e+01
   3.49375    -1.48466e+01
   3.50630    -1.51482e+01
   3.51882    -1.51103e+01
   3.53127    -1.53391e+01
